Name,AlarmDesc
Prochainement,
Événement,"Le magasin ""Édition limitée"" est disponible."
Prochainement,
Renforcement I,Consultez les objets soldés.
Prochainement,
Lot de monture,"Le magasin ""Édition limitée"" est disponible."
Prochainement,
Renforcement II,Consultez les objets soldés.
Recommandés,
Boîtes d'invocation,
Consommables,
Parchemins,
Diamants,
Adena,
Points d'amitié,
Topazes,
Points de loyauté,
Renfort de Diamants I,
Renfort de Diamants II,
Renfort de Diamants III,
Histoire I,
Histoire II,
Diamants I,
Diamants de connexion,
Adena I,
Adena II,
Célébration de mise à jour,
Aventurier,
Équipement,
Personnage,
Clan,
Monture,
Souvenir,
