Id,Name
1,Renouvellement du didacticiel officiel
2,Séquence d'accès à l'Île du discours
3,Fonctionnalité Quête auto I
4,Fonctionnalité Quête auto II
6,Fonctionnalité Quête auto III
11,Équip. auto
12,Trait d'âme
13,Donjon quotidien
14,Succès
15,Boîte d'équipement de haute qualité
16,Développer équipement
17,Développer une compétence
18,Arène
19,Fusionner
20,Clan
21,Donjon infini
22,Marquage de rune
23,Cristal d'âme
24,Donjon élite
25,Améliorer
26,Perfectionner
27,Codex de monstres
28,Compétence rare
29,Donjon d'extraction
30,Élixir
31,Invoquer une monture
32,Cercle d'invocation
101,Ami
102,Groupe
104,Comptoir échan.
112,Quêtes quotidiennes
113,Quêtes hebdo.
114,Donner au clan
115,Rejoindre un clan
116,Succès de clan
117,Donjon de clan
118,Progression de la quête
119,Fabriquer
201,Transfert de classe
202,Donjon d'Adena
203,Gardien du temple
205,Épreuves d'expérience
207,Cape
301,Protection de Maphr
