Id,Title,Desc
5,Non scegliere va a tuo svantaggio,Effettua {TaskCount} Estrazione/i gratuita/e.
6,Sfidante della Torre dell’Insolenza,Completa automaticamente la Torre dell’Insolenza
7,Accresci l’amicizia!,Saluta gli Amici e Acquisisci {TaskCount} Punti.
8,Al Santuario dei Ricordi sigillato!,Completa la Segreta giornaliera di oggi {TaskCount} volta/e.
10,Sii attivo nel clan!,Effettua {TaskCount} Donazione/i del clan.
11,Puro talento!,Partecipa all’Arena {TaskCount} volta/e.
12,Basi del clan!,Registrati al clan.
14,Porta a termine la quest giornaliera!,Completa la Quest giornaliera {TaskCount} volta/e.
15,Porta a termine la quest settimanale!,Completa la Quest settimanale {TaskCount} volta/e.
17,Esplora la Segreta Élite!,Completa la Segreta Élite {TaskCount} volta/e.
20,Raccogli Erbe magiche!,Effettua {TaskCount} Estrazioni nella Segreta di Estrazione.
22,Maestro dell’estrazione,Effettua {TaskCount} Estrazione/i di grado alto.
35,Esplora il Tempio Guardiano!,Completa il Tempio Guardiano {TaskCount} volta/e.
36,Esplora la Segreta di Adena!,Completa la Segreta di Adena {TaskCount} volta/e.
37,Esplora la Segreta Esp.!,Completa la Segreta Esp. {TaskCount} volta/e.
38,Esplora il Cerchio di Evocazione!,Completa il Cerchio di Evocazione {TaskCount} volta/e.
