Id,Name,Message
1,Marlow,"Che arrogante!
Questo sarà il tuo
ultimo respiro!"
2,Valdir,"Lucien!
Prepara la magia,
io li tengo lontani!"
3,Lucien,"Ok!
Ti dico io quando!
Resisti!"
4,@2,"Ancora nessun aiuto?
Combattete con tutta
la vostra energia!"
5,@3,"Pronti!
Muovetevi!"
6,,"Due di loro sono
allo stato leggendario."
7,,Ora la leggenda
8,,ha inizio.
9,@2,"Il Capitano della Difesa
Marlow è caduto!
Avanti, verso il cancello!"
10,@2,"Rinforzi nemici!
State in posizione!"
11,,Attaccate!!!
12,,Uccideteli tutti!
13,,Il porto è nostro!
14,,Non dirò nulla!!!
15,,"Ahahah!
Il silenzio è inutile."
16,,Lo sapevo...
17,,"È all’interno delle
Rovine Elfiche..."
18,,"Il frammento sembra
reagire a questo posto..."
19,,È pronto?
20,,"Capo Guerriero! Questo è l’oggetto
di cui parlavi."
21,,Fantastico!
22,,"Non ci serve più
questo monumento Umano!"
23,,Uccidi gli Umani!
24,,"Eh? Dovrebbe essere qui
da qualche parte..."
25,,È una trappola?!
26,,Caricate!!!
27,,Per l’Isola Parlante!!!
28,,"Pensavi davvero
di potermi prendere?"
29,,"Nel nome
di Gran Kain,"
30,,ascoltate la mia chiamata!
31,,Carpheous!!!
32,,Fai come credi.
33,,Luce di Einhasad!
34,,Mostraci la strada!
35,,"Ugh...
Quel mostro malvagio..."
36,,"Ah, è vero!
È stato divertente!"
37,,"Quindi direbbe...
“Ehi, Orco. Tu, Orco.”"
38,,C-Cos’è questo?
39,,Imboscata nemica!
40,,Preparatevi a combattere!
41,,"Non possiamo lasciare
che prendano questo posto!!!"
42,,"Lo sapevo...
Intervento umano..."
43,,Devo avvertire... Ugh!
44,,"Dicono che la curiosità
possa essere pericolosa."
45,,"Certi segreti
è meglio che... rimangano segreti."
46,,"Divertitevi,
ragazzi."
47,,"Fate in modo di riportare indietro
il progetto!"
48,,"Sei sicuro che sia
questo il posto?"
49,,Chi?! Chi sei tu?
50,,"È proibito entrare.
Tornate indietro."
51,,Aspetta!
52,,"È tenero che pensi
di poterci fermare."
53,,"Ancora non sai
quando ci si deve ritirare da un combattimento?"
54,,"Razza di idiota,
stai sprecando il nostro tempo."
55,,"Nessuno di voi se ne andrà
vivo da qui."
56,,Ahahah! Bruciate!
57,,"Per la dea Eva,
vi comando."
58,,Potere della purificazione!
59,,"Purifica il male all’interno
dell’Isola Parlante!"
60,,"Ahh, affascinante.
L’oggetto è qui?"
61,,"Ehi, tu. È nel tuo
migliore interesse andartene via."
62,,I-Imboscata nemica!!
63,,Fermate l’attacco!!!
64,,"Abbiamo sconfitto
i Wyvern! Sul castello!"
65,,Allontanatevi tutti!
66,,"Kingfin! L’era della paura
e dell’oppressione è ora finita!"
67,,Insieme al tuo abbietto clan!
68,,Molto divertente.
69,,Lo sai?
70,,"Molti sciocchi sono stati dove
sei tu adesso e hanno pronunciato
le tue stesse parole!"
71,,"Tutti, alla fine,
si sono inginocchiati mentre
supplicavano di essere risparmiati!"
72,,"Sarai solo
uno come loro!"
73,,"Ti sbagli! Ora è il tuo
turno, Kingfin."
74,,Tutti voi!
75,,Attaccate!!!
76,,"Valdir si impossessò del Castello di Aden 
e quell’era tumultuosa
ebbe fine."
77,,Ah! Siamo arrivati all’Isola Parlante.
78,,"Dicono che i membri principali
dei Mercenari Silverlight
vengano tutti dall’Isola Parlante!"
79,,"Beh, muoviamoci!
Iniziamo la ricerca del nostro clan:
un clan che sarà leggenda in tutta Aden!"
84,@3,"Muoviamoci!
Da questa parte!"
87,@3,"Ora!
Dobbiamo abbattere
i cancelli del castello!"
85,@2,"Soldati, voi entrate
quando diamo il segnale!"
88,Capitano della Guardia,"Li abbiamo circondati.
Eliminateli
fino all’ultimo uomo!"
83,@3,"Attenzione!!! Rinforzi
nemici. Dobbiamo
sconfiggerli e avanzare."
86,@2,"Che strano.
Ci sono meno
forze nemiche del previsto!"
89,@3,"È una trappola!
Ci serve supporto
dai soldati alleati!"
90,@2,"Maledizione!
Avanti tutta, sodati!"
91,Elpin,"Valdir! La torre di controllo del
castello è stata
attivata."
92,@91,"No... NO!
I nostri commilitoni stanno
cadendo!"
93,@91,"Dobbiamo distruggere
quella torre di controllo!"
94,@91,"Di questo passo
ci distruggeranno!!!"
95,Soldato dell’Esercito rivoluzionario,"È Marlow!
È apparso Marlow, l’Anziano
del clan nemico!"
96,@1,"Argh. Non posso credere
che questi parassiti mi abbiano sconfitto."
97,@1,"In ogni caso, nessuno di voi
sarebbe niente davanti a Kingfin...
Ugh..."
98,@91,"Valdir! Non c’è molto tempo! 
Dobbiamo distruggere la torre di controllo
immediatamente!"
99,Signore oscuro,"Le tenebre
prevarranno."
100,Gorsaur,"*Sniff.*
Carne umana?"
102,Niah,"La reliquia non c’è più!
Cos’è successo?"
103,@102,"Quello è il mantello di papà?
Oh no..."
104,Feldheim,Pensi che sia strano?
105,@104,"Andare al villaggio
è rischioso."
106,@104,"Per quale motivo andrebbero
da quella parte?"
107,@104,"Chiedi alle guardie
se li hanno visti."
108,Eugene,"Orchi! Teneteli
lontani dalla Pietra Guardiana!"
109,@108,"Per un pelo!
Andiamo avanti."
110,Custode della Grotta,"Hisssss! Vi stavo
aspettando!"
112,Russel,"Non lasciate scappare
quel mistico oscuro!"
113,Mistico Oscuro,"Parassita! Non
te ne andrai!"
114,@113,"Chi osa sfidare
la Confraternita Oscura?"
115,Orco Scorta,"Laggiù!
Proteggete la
Confraternita Oscura!"
118,Fata purificatrice,"La mia energia
è quasi finita..."
119,@118,"L’energia oscura
consumerà l’isola."
120,@118,"Sospetto che abbiano
un piano segreto."
121,@112,"Vuoi scommettere per vedere chi
ne ha uccisi di più?"
122,@112,"Ma che...!
Attenzione!"
123,@112,"L’Obelisco della Vittoria...!
Maledetti bruti!"
124,@112,"Quello non è il Capo Guerriero
che hai abbattuto prima?"
125,@115,"Non dategliela vinta!
Fermateli!"
127,Ferron,"Ho visto qualcuno
di sospetto da quella parte!"
128,@127,"Era con i nostri
carcerieri, gli Orchi."
129,@127,"Tutto in nero, portava
uno strano libro."
130,@127,"Secondo me è...
un adoratore del diavolo!"
131,Lupo mannaro,"Ha un buon profumo! Consegnalo,
umano!"
132,Orco Capo Guerriero,"Ha! Un semplice mercenario
vuole combattere?"
133,@132,"È mio. State giù
tutti quanti!"
134,Orco Macellaio,"È un inganno! Devono
aver imbrogliato!"
135,Ranger di Sangue,"Non avete nessun onore?
Accettate la sconfitta!"
136,@134,"Uccideteli!
Uccideteli tutti!"
137,@135,"Non lasciate passare
gli Orchi!"
138,@135,"Noi ci occuperemo del resto.
Vai da Russel!"
140,@108,"Sbrigati! Presto gli Orchi
saranno qui!"
141,Orco Capitano di Truppa,"Uccidi! Continuate a caricare
fino al villaggio!"
143,Harold,"Questi sono professionisti!
Potete occuparvene?"
144,@143,"Il Capitano di Truppa
è formidabile! È vostro!"
145,@143,"Non c’è tempo! Correte
all’ingresso!"
146,Austin,"Ai vostri posti,
quando siete pronti."
147,@146,"Iniziate! Non sarà
facile!"
148,@146,"Fantastico! Ma riesci a
gestirne tre?"
149,Albert il Gigante,"Non male. Ho addestrato io
quegli uomini."
150,@149,"Il prossimo che affronterò sei tu.
Sarà divertente!"
151,@149,"Zio! Hai vinto!
Sei fortissimo."
152,Arnold,"Oh-oh. Vedo
un sacco di mostri!"
153,Orco Leader,Cos’è questo trambusto?
154,@153,"Umani? Qui?
Guardie! Seguitemi!"
160,Theodore,"Veloci! Uscite! Gli
archeologi non sono qui!"
161,Orco Addestratore,"Laggiù!
Abbatteteli!"
162,Troll addomesticato,"Preparatevi. Vi farò
a pezzetti!"
164,@104,"Dobbiamo attraversare
il ponte. Muovetevi!"
165,@104,"Diamine! Il mercenario
ha già attraversato!"
169,@118,"Grazie. Terrò
gli occhi aperti."
170,@118,"Possiamo evitare guai
se il terzo si muove."
171,@118,"È un sollievo
averti incontrato."
172,Sommo Sacerdote Ethan,"Insetto schifoso!
Come osi!"
173,@172,"Pensi di poter
fermare il suo ritorno?"
174,@104,"Grazie di
aver salvato mia figlia."
175,@104,"Dimmi se mai dovessi
aver bisogno del mio aiuto."
179,@172,"Maledetto! Affronta il
terrore delle tenebre!"
180,Marinaio Thomas,"Sei qui!
Dammela!"
182,Marinaio Andrew,"Possiamo sconfiggerli
adesso! Dammela!"
186,Pan,"Ehi, tu.
Ti conoscevano bene
sull’Isola Parlante?"
