Id,Name,EffectTypeName,Desc
1,Elisir PS,Aumento PS massimi,Un elisir che aumenta i PS massimi.
2,@1,@1,@1
3,@1,@1,@1
4,@1,@1,@1
5,@1,@1,@1
6,@1,@1,@1
10,Elisir PM,Aumento PM massimi,Un elisir che aumenta i PM massimi.
11,@10,@10,@10
12,@10,@10,@10
13,@10,@10,@10
14,@10,@10,@10
15,@10,@10,@10
19,Elisir Att.,Elisir Att.,Un elisir che aumenta Att.
20,@19,@19,@19
21,@19,@19,@19
22,@19,@19,@19
23,@19,@19,@19
24,@19,@19,@19
28,Elisir Dif.,Elisir Att.,Un elisir che aumenta Dif.
29,@28,@28,@28
30,@28,@28,@28
31,@28,@28,@28
32,@28,@28,@28
33,@28,@28,@28
