Id,Name
11222,Tempesta di tuoni
11242,Occhio di Falco
11251,Fattucchiere
11261,Vescovo
12212,Cavaliere del Tempio
12251,Incantatore
12261,Anziano
13252,Urla-Incantesimi
14262,Saggio
30005,Campo dei fulmini
30007,Nugolo di Veleno
30012,Pioggia di meteoriti
60096,Respiro di Fuoco
60097,Isola Parlante Boreas
60100,Rotazione della Falce Oscura
60115,Respiro di Fuoco Dorato
60162,Respiro di Fuoco Dorato (Inferno)
71032,@60100
71072,@60096
71073,Abilità Boreas 02
71472,@60096
73012,Incubo
73032,OrfenBossSkill_02
74031,Attacco del Totem
74032,Fulmine di richiamo
74051,Miniera del Veleno
74062,@11222
74071,Acquitrino di Malizia
74131,Veleno di Marsha
74132,Maledizione di Medusa
720231,Rilascia feromone
1720231,@720231
1504021,Campo dei Fulmini di Hardin
7204311,Azzeramento tempo
7204321,@7204311
7204331,@7204311
601252,Abilità Regina Lara Ninfa 2
601451,DarkAssociation_M_HighSkill_02
741352,Marsha: Vento della lama
8010441,Aura Danno corpo a corpo
805000,Abilità del Piano Gruppo Segreta Boss (Cerchio)
805001,Abilità del Piano Gruppo Segreta Boss (Ventaglio)
805002,Abilità del Piano Gruppo Segreta Boss (Obb)
805003,Abilità del Piano Gruppo Segreta Boss (Ciambella)
72040,Pozza di Distruzione
1720223,Pozza di Veleno
17203181,Veleno Mortale
411004,Acido Corrosivo
412004,@411004
413004,@411004
413012,Sangue ardente
413023,Torrente di Sangue: Onda
414004,@411004
414012,@413012
414023,@413023
74113,Marlox 
30015,Zona Difensiva
401023,Zona di fuoco
401008,Granatiere delle Guardie di Ramog: Lancio di Bomba
401016,Soldato lunatico Autodistruttivo: Autodistruzione
401210,Grande esplosione di Paagrio
4011021,Esplosione Fiamma: Zona di fuoco
2000001,Fuoco d’artificio 1
2000002,Fuoco d’artificio 2
2000003,Fuoco d’artificio 3
2000004,Fuoco d’artificio 4
2000005,Fuoco d’artificio 5
2000006,Fuoco d’artificio 6
730212,Ondata
731351,Artigliere dei Pirati di Zaken
731401,Soldato dei Pirati di Zaken
