Id,Name,TypeDesc,LimitDesc,UsingDesc,ReplaceString1,ReplaceString2,Desc
1021,악마의 영혼석: 자켄,Consumabili,,"Acquisibili dai mostri del Sottobosco della Foresta dei Segreti. Legane 100 per acquisire “Pergamena Demoniaca: Zaken”.
La “Pergamena Demoniaca: Zaken” è una Pergamena Sottoquest da usare quando raggiungi il liv. 230.",,,
1022,악마의 스크롤: 자켄,@1021,,"Pergamena Sottoquest usata per acquisire Token di battaglia: Zaken.
Usa il Token di battaglia: Zaken per entrare nella nave pirata di Zaken","Posizione del bersaglio: Dominio di Giran
Liv. Limitazioni: 230.",,
1023,결전의 징표: 자켄,@1021,,"자켄을 처치하기로 맹세한 자의 징표입니다.
자켄의 해적선에 입장 할 수 있습니다.",,,
10001,Germoglio di primavera,Pozione,,"Questo germoglio contiene l’energia della primavera a venire.
Da usare per acquistare oggetti nel Menu Evento.",,,Aumenta Dif. di 2.000 per 10 min.
10002,Forziere del Germoglio,@1021,,"Questa scatola custodisce germogli.
Usa questa scatola per acquisire 30 germogli.",,,Gli oggetti acquistati dopo l’uso non possono essere scambiati.
10003,Biglietto Bonus Completamento,Evento,,"Usa questo biglietto per completamenti aggiuntivi dopo aver raggiunto il limite giornaliero dei completamenti nella scuola di Aymel.
Usa dal menu Evento.",,,
10004,Ben fatto,@10001,,"Che membro del clan fantastico!
Da usare per acquistare oggetti nel Menu Evento.",,,Aumenta Att. di 1.500 per 10 min.
10005,Forziere Timbri Ben Fatto,@1021,,"Questa scatola custodisce Timbri Ben Fatto.
Apri questa scatola per acquisire 30 Timbri Ben Fatto.",,,@10002
10006,Anguria,@10001,,"Un’anguria rinfrescante, perfetta per placare la tua sete.
Verrà inviata alla tua Casella di posta quando entrerai nell’Arena.",,,Aumenta PS di 3.000 per 10 min.
10007,Uva,@10001,,"Un grappolo d’uva succoso e delizioso.
Verrà inviato alla tua Casella di posta quando completerai automaticamente la Torre dell’Insolenza.",,,Aumenta il Danno critico del 3% per 10 min.
10008,Melone orientale,@10001,,"Un delizioso melone orientale, pieno di vitamina C e utile a riprenderti dalla spossatezza.
Verrà inviato alla tua Casella di posta quando entrerai nel Cerchio di Evocazione.",,,@10001
10009,Lamponi,@10001,,"I lamponi estivi sono nutrienti e deliziosi. Provali!
Verranno inviati alla tua Casella di posta quando completerai una Segreta giornaliera.",,,@10004
10010,Scatola di Frutta Estiva,@1021,,"Una cassetta piena di Frutta Estiva di stagione.
Apri questa scatola per ottenere dell’uva, un’anguria, un melone orientale o dei lamponi.
Otterai questa cassetta di frutta quando estrarrai erbe nella Segreta di Estrazione.",,,
10033,Ago di pino,@1021,,"피톤치드가 풍부하게 담겼으며, 솔향이 그윽한 솔잎입니다. 송편의 필수 재료입니다.",,,
10034,천연 벌꿀,@1021,,미네랄과 비타민 등 영양이 풍부한 천연 벌꿀입니다. 꿀송편의 달콤함을 책임집니다,,,
10035,유기농 쌀가루,@1021,,메뚜기와 함께 자라난 유기농 쌀을 방앗간에서 곱게 갈아 만든 쌀가루입니다. 송편의 필수 재료입니다.,,,
10036,참깨,@1021,,꼬소함을 자랑하는 참깨입니다. 꿀송편에 들어가 달콤함과 고소함의 밸런스를 맞추어줍니다.,,,
10037,가을밤,@1021,,잘 익은 가을 밤입니다. 맛도 영양도 일품입니다. 밤송편에 들어가는 주 재료 입니다. ,,,
510107,Fuochi d’artificio nel cielo notturno,@1021,,Fuochi d’artificio che possono illuminare il cielo notturno.,Da usare per osservare meravigliosi fuochi d’artificio.,,
510108,Fuochi d’artificio Silverlight,@1021,,Fuochi d’artificio che brillano come le stelle nel cielo.,@510107,,
510109,Fuochi d’artificio della prosperità,@1021,,Fuochi d’artificio che simbolizzano una voglia di prosperità.,@510107,,
510110,Fuochi d’artificio dell’amore,@1021,,Speciali fuochi d’artificio che garantiscono una proposta vincente.,@510107,,
510111,혈맹 이름 변경권,@1021,,혈맹 이름을 변경할 수 있습니다.,,,
510112,할로윈 캔디 폭죽,@1021,,달콤한 캔디가 쏟아지는 할로윈 폭죽입니다.,@510107,,
510113,해피 할로윈 폭죽,@1021,,행복한 할로윈을 기원하는 폭죽입니다.,@510107,,
110010,Spada da Samurai,Spada e Scudo,,Quest’arma aumenta sia Att. che Dif.,,,
110011,@110010,@110010,,@110010,,,
110012,@110010,@110010,,@110010,,,
110013,@110010,@110010,,@110010,,,
110014,@110010,@110010,,@110010,,,
110015,@110010,@110010,,@110010,,,
110016,@110010,@110010,,@110010,,,
110020,Spada della Rivoluzione,@110010,,@110010,,,
110021,@110020,@110010,,@110010,,,
110022,@110020,@110010,,@110010,,,
110023,@110020,@110010,,@110010,,,
110024,@110020,@110010,,@110010,,,
110025,@110020,@110010,,@110010,,,
110026,@110020,@110010,,@110010,,,
110030,Spada della Dinastia,@110010,,@110010,,,
110031,@110030,@110010,,@110010,,,
110032,@110030,@110010,,@110010,,,
110033,@110030,@110010,,@110010,,,
110034,@110030,@110010,,@110010,,,
110035,@110030,@110010,,@110010,,,
110036,@110030,@110010,,@110010,,,
110043,Spada di Dunamiss,@110010,,@110010,,,
