Id,NpcName,Message
101,Aymel,"Benvenuto! Come procede il tuo addestramento?<p>Addestrarsi da soli è noioso e probabilmente non sai neppure da dove iniziare. Ad Aden i gruppi di avventurieri si riuniscono formando i cosidetti Clan.<p>Viaggia insieme ad altri avventurieri, effettua donazioni al Clan e fai acquisti dal Negozio del Clan! Che ne pensi?"
102,@101,"Hai raggiunto il Grado B! Di certo saprai che sei solo all'inizio, vero?<p>Quello zuccone di Russel ha già raggiungo il Grado A!"
103,Russel,Sembri un po’ troppo rilassato. Datti da fare e arriva al mio livello! Ah ah ah!
104,@101,"Hai raggiunto il Grado A! Ora sei allo stesso livello di quella testa di rapa! Non fermarti, continua così!"
105,@101,Hai raggiunto il Grado S! A quanto pare la competizione con la testa di rapa è lo stimolo perfetto!
106,@103,Cosa?! Hai già raggiunto il Grado S? Io sono ancora al Grado A...<p>Ti raggiungerò! Vedrai!
107,@101,Hai raggiunto il Grado R!<p>Ma non rilassarti troppo ora. Devi ancora raggiungere il Grado SR!
108,Theodore,Sei solo al Grado R quindi continua a impegnarti.
109,@101,"Hai raggiunto il Grado SR! Hai fatto mangiare la polvere a quella testa di rapa di Russel!<p>Ora devi raggiungere Theodore, di Grado UR! Solo un ultimo sforzo!"
110,@101,"Hai raggiunto il Grado UR!<p>Non starai esagerando? Beh, Theodore ha già finito ed è andato via. Quella testa di rapa è parecchio indietro, perciò nessuna fretta."
111,@101,Hai raggiunto il Grado UR! Sei stato il secondo più veloce dopo Theodore!<p>Impressionante considerando che la testa di rapa e gli altri sono sul punto di mollare!<p>Ora ti tocca aspettare gli altri. Perché non provi a ricominciare da capo?
112,@101,"Wow! È un po' che non ci si vede! Sei molto più forte rispetto all'ultima volta che ci siamo incontrati.<p>Ancora, però, non è abbastanza. Theodore è già molto più forte di te.<p>Ma non devi preoccuparti! Ti ho preparato un altro manuale di addestramento. Questo è un po' più impegnativo del precedente! Quindi, cerca di non restare indietro!<p>Non temere! Andrai alla grande!"
113,@101,"Splendido, sembri cavartela bene! Hai raggiunto il grado B piuttosto in fretta!<p>Russel! A che punto sei adesso, Russel?"
114,@103,Sono già al grado A! Stavolta non perderò!
115,@101,@104
