Id,Desc
1,Posizione 1
2,Posizione 2
3,Posizione 3
4,Posizione 4
5,Posizione 5
6,Fino alla Posizione 10
7,Fino alla Posizione 50
8,Fino alla Posizione 100
9,Top 1%
10,Top 10%
11,Top 20%
12,Top 50%
13,Top 75%
14,Top 100%
15,50 PT o più
16,40 PT o più
17,30 PT o più
18,15 PT o più
19,5 PT o più
20,@1
21,@2
22,@3
23,@4
24,@5
25,@6
26,@7
27,@8
28,Posizione 1.000 o più alta
29,Posizione 3.000 o più alta
30,Posizione 5.000 o più alta
31,Posizione 10.000 o più alta
32,Posizione 15.000 o più alta
33,Posizione 30.000 o più alta
