Id,Name,Desc,Desc2
1001,20.000 Adena,Acquisisci 20.000 Adena.,
1002,42.000 Adena,Da usare per acquisire 40.000 Adena (+ 2.000 bonus).,
1003,88.000 Adena,Da usare per acquisire 80.000 Adena (+ 8.000 bonus).,
1004,184.000 Adena,Da usare per acquisire 160.000 Adena (+ 24.000 bonus).,
1005,384.000 Adena,Da usare per acquisire 320.000 Adena (+ 64.000 bonus).,
1006,800.000 Adena,Da usare per acquisire 640.000 Adena (+ 160.000 bonus).,
3001,1 Scatola Equipaggiamento speciale,"Ottieni equipaggiamento (S - SR)!
Equipaggiamenti rari possono essere acquisiti!",
3002,Pergamena Benedetta: Arma,"Una Pergamena Benedetta: Arma.
Da usare per potenziare un’arma di 1, 2 o 3 livelli.",
3003,Pergamena Benedetta: Armatura,"Una Pergamena Benedetta: Armatura.
Da usare per potenziare un’armatura di 1, 2 o 3 livelli.",
3004,Pergamena Benedetta: Accessorio,"Una Pergamena Benedetta: Accessorio.
Da usare per potenziare un accessorio di 1, 2 o 3 livelli.",
3005,Protezione di Maphr,Protegge dalla perdita di qualsiasi livello di potenziamento in seguito a un potenziamento non riuscito.,
3006,Pietra di Superamento limite grado SR,Da usare per superare il limite di un elemento dell’equipaggiamento di grado SR.,
3007,Pietra Attributo grado S,Da usare per potenziare un Attributo di un elemento dell’equipaggiamento.,
3008,Pietra Attributo di grado R,@3007,
3009,Pietra Attributo di grado SR,@3007,
3011,1 Scatola Accessorio speciale,Acquisisci Accessorio (S - SR)!,
4001,20 Pozioni PS,Da usare per ripristinare leggermente i PS.,
4002,-10%! 200 Pozioni PS,@4001,
4005,20 Pozioni PM,Da usare per ripristinare leggermente i PM.,
4006,-10%! 200 Pozioni PM,@4005,
4009,500 Colpi d’Anima,Da usare per benedire l’arma con luce spirituale e aumentarne i danni.,
4010,-10%! 5.000 Colpi d’Anima,@4009,
4013,1 Megafono,Un oggetto usato per parlare nella Chat Mondiale.,
4014,10 Megafoni,@4013,
4018,@4013,@4013,
4019,@4014,@4013,
4100,Crocifisso del Pentimento,"Da usare per ridurre il Valore Caotico di 30.
Puoi usare le croci 3 volte al giorno.",
4101,50 Pergamene di Fuga,Da usare per il teletrasporto.,
4105,Fuochi d’artificio del cielo notturno,"Fuochi d’artificio che possono illuminare il cielo notturno, anche durante il giorno.",
4106,Fuochi d’artificio Silverlight,Fuochi d’artificio che brillano come le stelle nel cielo.,
4107,Fuochi d’artificio della prosperità,Fuochi d’artificio che simbolizzano un desiderio di prosperità.,
4108,Fuochi d’artificio dell’amore,Speciali fuochi d’artificio che garantiscono una proposta vincente.,
5002,1 Equipaggiamento di grado alto,"Acquisisci equipaggiamento (A - SR)!
Equipaggiamenti rari possono essere acquisiti!",
5003,10 Equip. di grado alto (+1 bonus),"Acquisisci equipaggiamento (A - SR)!
Almeno 1 elemento dell’equipaggiamento di grado S o più alto garantito!
Equipaggiamenti rari possono essere acquisiti!",
5014,@5002,"Acquisisci equipaggiamento (A - SR)!
Equipaggiamenti rari e Equipaggiamenti commerciabili possono essere acquisiti!",
5015,@5003,"Acquisisci equipaggiamento (A - SR)!
Almeno 1 elemento dell’equipaggiamento di grado S o più alto garantito!
Equipaggiamenti rari e Equipaggiamenti commerciabili possono essere acquisiti!",
5101,1 Scatola di Rinforzo Arma,"Armi e Vernice Arma (grado A - SR) disponibili!
Livello di Acquisizione Equipaggiamento Raro aumentato!
Ottenendo Equipaggiamento Raro, possono essere acquisite solo Armi!",
5102,10 Scatole di Rinforzo Arma (+1 bonus),@5101,
5103,@5101,"Le Armi e le Vernici Arma (di grado A - SR) sono ora disponibili!
Pergamena di Alchimia - Pergamena Benedetta: Arma/Armatura/Accessorio disponibili!",
5104,@5102,"Le Armi e le Vernici Arma (di grado A - SR) sono ora disponibili!
Pergamena di Alchimia - Pergamena Benedetta: Arma/Armatura/Accessorio disponibili!
Acquista 7 volte per ottenere un'Arma Rossa di grado S!",
5201,1 Scatola Rinforzo Armatura,"Armatura e Vernice Armatura (Grado A - SR) disponibili!
Livello di Acquisizione Equipaggiamento Raro aumentato!
Ottenendo Equipaggiamento Raro, possono essere acquisite solo Armature!",
5202,10 Scatole di Rinforzo Armatura (+1 bonus),@5201,
5301,10 Scatole Materiale speciale (+1 bonus),"Sono disponibili diversi materiali rinforzanti, tra cui Pergamene Benedette, Protezioni di Maphr,
Filo del Mantello, Schegge della Follia,
Lacrime di Trisha e Cristalli dell’Anima!",
10001,10 Pozioni PS,@4001,
10002,10 Pozioni PM,@4005,
10003,250 Colpi d’Anima,@4009,
10017,1 Scatola Equipaggiamento,Equipaggiamento fino al grado A disponibile!,
10020,Croce del Pentimento,"Riduce il valore Caotico di un personaggio.
Ad ogni uso, il valore Caotico si riduce di 3.
Questo effetto può essere attivato 3 volte al giorno.",
10029,100 Pietrestella rosse,Da usare per resettare le Segrete del Clan.,
13000,Pergamena Quest di grado C (Liv. 20),Da usare per partecipare a una Sub-quest Grado C.,
13001,Pergamena Quest di grado C (Liv. 30),@13000,
13002,Pergamena Quest di grado C (Liv. 40),@13000,
13003,Pergamena Quest di grado C (Liv. 50),@13000,
13004,Pergamena Quest di grado C (Liv. 60),@13000,
13005,Pergamena Quest di grado C (Liv. 75),@13000,
13006,Pergamena Quest di grado C (Liv. 90),@13000,
13007,Pergamena Quest di grado C (Liv. 105),@13000,
13008,Pergamena Quest di grado C (Liv. 120),@13000,
13009,Pergamena Quest di grado C (Liv. 135),@13000,
13010,Pergamena Quest di grado C (Liv. 150),@13000,
13011,Pergamena Quest di grado C (Liv. 165),@13000,
13100,Pergamena Quest di grado A (Liv. 20),Da usare per partecipare a una Sub-quest Grado A.,
13101,Pergamena Quest di grado A (Liv. 30),@13100,
13102,Pergamena Quest di grado A (Liv. 40),@13100,
