Index,Name
1,Stordimento
2,Bruciatura
3,Test Colpo d’Anima
4,@2
5,Veleno
6,@5
7,Surriscaldamento
8,@5
9,Effetto Aumento di livello
10,Test Sì
11,Test Moneta
12,Test PS
13,Test Scudo Mana
14,Test No
15,Test Maledizione
16,Test Sanguinamento
17,Test Bruciatura
18,Test Stordimento
19,Test Provocazione
20,Scudo assoluto
21,Buff Invincibilità
22,Buff Durabilità
23,Buff Intelligenza
24,Velocità del Ratele
25,Velocità di Estrazione del Ratele
26,Quantità di Estrazione del Ratele
27,Sentinella del Giardino
28,Effetto di Avvio Colpo d’Anima
29,Effetto uso Pozione PS
30,Effetto uso Pozione PM
31,Effetto passaggio di Classe
32,@31
33,Buff Santuario del Campo 1
34,Buff Santuario del Campo 2
35,Buff Santuario del Campo 3
36,Buff Santuario del Campo 4
37,Buff Santuario del Campo 5
38,Scudo di Varkaron
39,Berserker Varkaron
40,Berserker Varkaron (Arma)
41,"Buff Benevolenza del Signore 1 (PS, PM)"
42,"Buff Benevolenza del Signore 2 (Esp., Essenza)"
43,"Buff Benevolenza del Signore 3 (Adena, Oggetto)"
44,Videocamera Buff Benevolenza del Signore
45,Aumento PM massimi
46,Aumento PS massimi
47,Aumento Dif.
48,Aumento Velocità
49,Aumento Vel. Att.
50,Aumento Att.
51,Formica Regina Berserker
52,Formica bomba a orologeria 1
53,Formica bomba a orologeria 2
54,Formica bomba a orologeria 3
55,Formica bomba a orologeria 4
56,Formica bomba a orologeria 5
57,Formica bomba a orologeria 6
58,Essenza di Cruma: Veleno
59,Essenza di Cruma: Silenzio
60,Essenza di Cruma: Controllo mentale
61,Barriera Formica Regina 1
62,Cristallo dell’Unità: Base
63,Cristallo dell’Unità: Rango 1
64,Cristallo dell’Unità: Rango 2
65,Cristallo dell’Unità: Rango 3
66,Effetto Monta/Smonta
67,Effetto Abilità di Marsha
68,Effetto uso Pozione della Sala del Clan
69,Pozione della Sala del Clan: Aumento Morale
70,Pozione della Sala del Clan: Tempesta di ghiaccio
71,Pozione della Sala del Clan: Aumenta la Rigen. PS
72,Pozione della Sala del Clan: Anti-magia
73,Legame
74,Aura Danno Melee (Timer)
75,Barriera di Cristallo d’Acqua
76,Gruppo della Furia
77,Annienta
78,Aumento Campo abilità
79,@74
80,@75
81,@76
82,@77
83,Ferita trapassata
84,Fatica_del Demone Marlox
85,Eroe dell’Altare del Vento
86,Eroe dell’Altare Terrestre
87,Anemia
88,Vampirizza Rango 1
89,Vampirizza Rango 2
90,Vampirizza Rango 3
91,Vampirizza Rango 4
92,Vampirizza Rango 5
93,Cambio Vampirico
94,Debuff_Ignizione Ramog
95,Debuff_Auto standby Esplosione Ramog
96,Effetto Fuoco d’artificio 1
97,Effetto Fuoco d’artificio 2
98,Effetto Fuoco d’artificio 3
99,Effetto Fuoco d’artificio 4
100,Prosciugamento PS vigoroso
101,Effetto Mantello: Barriera Immunità Attacco PVE
102,Effetto Mantello: Barriera Abilità Rara PvP
103,Zaken Berserker
104,Turno di Zaken
105,Ricompensa Campo
106,Ricompensa contributo boss
107,Danno finale boss
