AchievementLevel,Name
0,모험가 지망생
1,초보 모험가
2,평범한 모험가
3,꾸준한 모험가
4,의지의 모험가
5,강한 모험가
6,평범한 용병
7,튼튼한 용병
8,용감한 용병
9,끈기 있는 용병
10,근성의 용병
11,당당한 병사
12,용감한 병사
13,단단한 정예병
14,맷집 좋은 전사
15,숙련된 전사
16,날카로운 투사
17,매서운 투사
18,용맹한 투사
19,침착한 기사
20,결의에 찬 기사
21,영예로운 기사
22,현명한 남작
23,명석한 남작
24,도도한 자작
25,담대한 자작
26,강인한 백작
27,거침없는 백작
28,고요한 후작
29,강대한 후작
30,존귀한 공작
31,집념의 추적자
32,날카로운 감시자
33,명예로운 도전자
34,빛나는 승리자
35,폭풍의 사령관
36,증명된 군주
37,아덴의 구원자
38,폭주하는 파괴자
39,죽음의 학살자
40,신실한 수호자
41,막강한 종결자
42,영광의 정복자
43,굳건한 구원자
44,정의로운 심판자
45,단죄의 파멸자
46,대륙의 지배자
47,극한의 절대자
48,냉혹한 불멸자
49,전설의 초월자
50,전장의 신
