Id,Name,EffectTypeName,Desc
1001,공통 넉다운,넉다운,
1002,@1001,@1001,일반공격 막타용
1003,@1001,@1001,
1004,공통 무적,무적,피해를 받지 않습니다.
1005,부활 보호 버프,@1004,피해를 받지 않습니다. 적을 공격하면 무적 버프가 해제됩니다.
1011,공통 기절,기절,기절
10111,러시 임팩트:넉다운,@1001,
10122,어설트 슬래쉬:슬로우,슬로우,이동속도 {1%}% 감소
11211,슬램,어그로 획득량 증가,어그로 획득량 50% 증가
112124,벤젼스,목표 고정(PC),강제 공격
112125,@112124,공격력 감소,공격력 {1} 감소
112126,@112124,목표 고정(NPC),
11213,마제스티,"마제스티:어그로증폭,물방/마방증폭,회피감소","방어력 {2%}% 증가, 모든 공격에 어그로 {1%}% 증가, 피해 {1%}% 반사"
11221,저지먼트,방어 감소,
11222,썬더 스톰,스턴,@1011
112231,메이저러티 스위프,"멀티히트:동시타격증폭, 공속증가","한번에 타격되는 적의 수 {1}인 증가, 공격속도 {2%}% 증가"
11231,샌드 클라우드,블라인드,명중률 {1%}% 감소
11232,백스텝:스턴,@11222,@1011
112331,헤이스트,헤이스트:공격 속도 증폭,공격속도 {1%}%증가
112332,@112331,헤이스트:회피 증폭,회피 {1%}%증가
11242,애로우 레인,물공 감소,공격력 감소
11243,스나이프,"스나이프:사거리증가,공격,명중증가,이동불가","공격력 {2%}%, 명중 {3} 증가. 공격거리 증가. 이동속도저하"
11244,호크아이,"호크아이:치명증가, 방어감소","크리티컬 {1} 증가, 대미지 {2%}% 증가"
11251,몰튼보울,도트,일정 시간동안 대미지
112531,부스트 마나,부스트마나:최대MP증폭,"MP 소모량 {1%}% 증가, 스킬 대미지 {2%}% 증가"
11261,디바인 퍼니쉬먼트:스턴,@1001,
11262,레스토레이션,HOT,일정 시간동안 회복
12211,트라이뷰널,목표 고정,어그로 획득량 30% 증가
12212,에바스 그레이스,공격속도 감소,HP 회복량 50% 감소
122131,이지스 스탠스,이지스스탠스:일시 피해 면역,피해 면역
