Key,Value
ACCOUNT_CONFINE,계정이 차단되었습니다
ACHIEVEMENT,업적
ACHIEVEMENT_CLEAR_ASSETS,자원 업적 달성!
ACHIEVEMENT_CLEAR_BATTLE,전투 업적 달성!
ACHIEVEMENT_CLEAR_DAILY,일일 업적 달성!
ACHIEVEMENT_CLEAR_GROWTH,성장 업적 달성!
ACHIEVEMENT_CLEAR_ITEM,장비 업적 달성!
ACHIEVEMENT_CLEAR_MONTHLY,월간 업적 달성!
ACHIEVEMENT_CLEAR_SOCIAL,소셜 업적 달성!
ACHIEVEMENT_CLEAR_WEEKLY,주간 업적 달성!
ACHIEVEMENT_LEVELREWARD_ERROR,이미 업적 레벨 보급품을 받았습니다.
ACHIEVEMENT_POINT,업적 점수
ADENA_LOOTED,[Adena] 아데나를 획득하였습니다.
SIEGE_FESTIVAL_TICKET_LOOTED,공성전 축제 티켓 [Value]개를 획득하였습니다.
ADENA_NOT_ENOUGH,아데나가 부족합니다.
AHIEVEMENT_HEROIC_WAY,영웅의길
APP_VERSION_UNDER_MIN,최소버전보다 낮은 버전을 사용하고 있습니다.
APP_VERSION_UNDER_LATEST,"최신 버전이 있습니다.
다운로드 하시겠습니까?"
ARMOR_TYPE_HEAVY,중갑
ARMOR_TYPE_LIGHT,경갑
ARMOR_TYPE_ROBE,로브
ASSETS_ACQUIRE_FROM_GUILD_GREETING,[MemberCount]명의 혈맹원에게 인사하여 <FontYellow>[AssetCount] 혈맹 주화</>를 획득하였습니다.
ASSETS_ACQUIRE_FROM_RECEIVE_GUILD_GREET,[MemberCount]명의 혈맹원에게 인사를 받아 <FontYellow>[AssetCount] 아데나</>를 획득하였습니다.
ATTENDANCE_NO_MORE_REWARD,더 이상 받을 수 있는 보상이 없습니다.
ATTENDANCE_REWARD_SENT_TO_MAILBOX,[Param1]일차 보상이 편지함으로 발송되었습니다.
AUCTION_COST,비용
AUCTION_ESTIMATED_TIME,등록예정 [Time]
AUCTION_GROUP_ACCESSORY,장신구
AUCTION_GROUP_ARMOR,방어구
AUCTION_GROUP_ELIXIR,엘릭서/물약재료
AUCTION_GROUP_ENCHANT,강화재료
AUCTION_GROUP_EquipmentCraft,제작 재료
AUCTION_GROUP_ETC,기타
AUCTION_GROUP_MONSTERCORE,몬스터 코어
AUCTION_GROUP_SKILLBOOK,스킬북/페이지
AUCTION_GROUP_SOULSTONE,집혼석
AUCTION_GROUP_USEITEM,소모품
AUCTION_GROUP_WEAPON,무기
AUCTION_GROUP_PET,탑승펫
AUCTION_HOUSE,거래소
AUCTION_HOUSE_CATEGORY,범주
AUCTION_HOUSE_EQ_ITEM_SELL,"[Name]{[Name]|를,을} [Cost]다이아에 등록하시겠습니까?"
AUCTION_HOUSE_FAVORITE_SELLCANCEL,판매 취소
AUCTION_HOUSE_FAVORITE_SELLCOMPLETE,판매 완료
AUCTION_HOUSE_FAVORITE_SELLFAILED,만료
AUCTION_HOUSE_FAVORITE_SELLING,등록 중
AUCTION_HOUSE_FAVORITE_WAITING,등록 대기
AUCTION_HOUSE_GRADE,등급
AUCTION_HOUSE_GRADE_C,C
AUCTION_HOUSE_GRADE_A,A
AUCTION_HOUSE_GRADE_B,B
AUCTION_HOUSE_GRADE_R,R
AUCTION_HOUSE_GRADE_S,S
AUCTION_HOUSE_GRADE_SR,SR
AUCTION_HOUSE_ITEM_BUY,"[Name]{[Name]|를,을} [Cost]다이아에 구매하겠습니까?"
AUCTION_HOUSE_ITEM_FAVORITE,즐겨찾기 등록 하시겠습니까?
AUCTION_HOUSE_ITEM_FAVORITE_CANCEL,즐겨찾기 등록을 취소하시겠습니까?
AUCTION_HOUSE_ITEM_SELL,@AUCTION_HOUSE_EQ_ITEM_SELL
AUCTION_HOUSE_LOG_GAIN,획득
AUCTION_HOUSE_LOG_SPEND,소비
AUCTION_HOUSE_LOG_STATE_BUY_COMPLETED,구매완료
AUCTION_HOUSE_LOG_STATE_CANCEL_SELL,판매취소
AUCTION_HOUSE_LOG_STATE_SELL_PARTIAL,부분판매
AUCTION_HOUSE_LOG_STATE_SELL_COMPLETED,판매완료
AUCTION_HOUSE_LOG_STATE_SELL_FAILED,판매실패
AUCTION_HOUSE_LOG_STATE_SELLING,판매중
AUCTION_HOUSE_LOG_STATE_TIMEOVER,시간만료
AUCTION_HOUSE_LOG_STATE_WAITING_REGISTER,등록 대기중
AUCTION_HOUSE_MAX_PRICE,최대 가격
