Id,Name,RepresentRewardName,RepresentRewardDescription,Description
200,엘프의 유적지 1층,,,"엘프가 휴먼에게 마법을 가르치던 학교로, 휴먼은 마법 에너지가 가득한 이곳에서 대륙의 주인이 될 반석을 세웠습니다."
201,엘프의 유적지 2층,,,"엘프가 주인이던 시절, 실력이 아주 뛰어난 휴먼에게만 개방하던 층으로 1층보다 강한 마법 에너지가 작용합니다."
202,개미굴 지하 1층,,,흑마법으로 인한 대폭발로 생겨난 황무지에 적응하여 살아남은 거대 개미들의 굴입니다.
203,개미굴 지하 2층,,,"개미들이 소중한 것을 숨기기 위해 더욱 복잡한 미로로 이루어져, 개미가 아니라면 길을 찾기 매우 어렵습니다."
204,크루마 탑 2층,,,고대 거인들이 새로운 생명을 만들어내기 위한 생체연구를 진행하던 이동요새 겸 연구소로 연구실 보호를 위한 공간입니다.
205,크루마 탑 3층,,,"본래 탑의 목적대로 생체연구가 진행되었던 연구실이 많은 층으로, 거인들의 마법 에너지가 가득합니다."
206,상아탑 지하 1층,,,"운석 네뷸라이트가 떨어지며 생겨난 공간이며 과거 연구실 겸 도서관이었으나, 마법사의 폭주 사건으로 폐쇄된 곳입니다."
207,상아탑 지하 2층,,,"연금술 실험실이 있던 공간이었으나, 현재는 바닥을 뚫고 자란 딱딱한 광물 같은 버섯들이 가득 자란 공간입니다."
208,상아탑 지하 3층,,,"운석 네뷸라이트가 있는 장소이며, 네뷸라이트의 영향으로 강화된 마물들이 미쳐 날뛰는 공간입니다."
209,상아탑 지하 연구소,,,"네뷸라이트에 미쳐 인체 실험을 진행했던 어느 상아탑 마법사의 연구소이자 그의 봉인지로, 실험체들이 득시글거립니다."
210,비밀의 숲 상층,,,페어리가 거주하고 있는 거주지였으나 전쟁의 위협으로 페어리들이 사라지자 몬스터들이 점령해버린 곳입니다.
211,비밀의 숲 하층,,,비밀의 숲이 우거져 있어 햇빛이 잘 들지 않고 몬스터들에 의해 파괴된 공간입니다.
212,비밀의 숲 학살지,,,"페어리 사냥을 피해 도주하던 페어리들이 최후까지 저항하다가 학살된 곳으로, 항상 음산한 핏빛 안개가 자욱합니다."
4000,무지개 비늘 정원(더미),,,
9000,경험치 던전 I,승급석,승급석 뽑기 1개를 획득합니다.,"어둠의 결사가 설치한 마물 소환석 중에는 발견이 안된 강력한
것들도 많이 있습니다. 이것을 해제 하기 위해서는 이공간으로
들어가 마물들을 처치해야만 합니다."
