MissionInfoId,TaskName,TaskDescription
3101,혈맹 가입 또는 개설,혈맹 {0} 회 가입 또는 개설하기 ({1} / {2})
3102,혈맹 출석,혈맹에 {0} 회 출석하기 ({1} / {2})
3103,혈맹 상점,혈맹 상점에서 {0} 회 구매하기 ({1} / {2})
3104,혈맹 기부,혈맹에 아데나 {0} 만큼 기부하기 ({1} / {2})
3105,혈맹 멤버 인사,혈맹 멤버에게 {0} 회 인사하기 ({1} / {2})
3201,혈맹 업적 달성,혈맹 업적 보상 {0} 회 수령하기 ({1} / {2})
3202,@3102,@3102
3203,@3103,@3103
3204,@3104,혈맹에 피의 증거 {0} 만큼 기부하기 ({1} / {2})
3205,@3105,@3105
3301,@3201,@3201
3302,@3102,@3102
3303,@3103,@3103
3304,@3104,혈맹에 레드 스타 스톤 {0} 만큼 기부하기 ({1} / {2})
3305,@3105,@3105
3401,@3201,@3201
3402,@3102,@3102
3403,@3103,@3103
3404,@3104,@3104
3405,@3105,@3105
3501,@3201,@3201
3502,@3102,@3102
3503,@3103,@3103
3504,@3104,@3204
3505,@3105,@3105
3601,@3201,@3201
3602,@3102,@3102
3603,@3103,@3103
3604,@3104,@3304
3605,@3105,@3105
2101,장비 레벨업,장비 레벨업 {0} 회 시도하기 ({1} / {2})
2102,강화 시도,장비 강화 {0} 회 시도하기 ({1} / {2})
2103,집혼석 승급,집혼석 {0} 회 승급 하기 ({1} / {2})
2104,장비 던전 클리어,장비 던전 {0} 회 클리어하기 ({1} / {2})
2105,장비 뽑기,장비 뽑기 {0} 회 시도하기 ({1} / {2})
2201,@2101,@2101
2202,@2102,@2102
2203,@2103,@2103
2204,@2104,@2104
2205,@2105,@2105
2301,@2101,@2101
2302,@2102,@2102
2303,@2103,@2103
2304,@2104,@2104
2305,@2105,@2105
2401,@2101,@2101
2402,@2102,@2102
2403,장비 합성,장비 합성 {0} 회 시도하기 ({1} / {2})
2404,@2104,@2104
2405,옵션 변경 시도,장비 옵션 {0} 회 변경하기 ({1} / {2})
2501,@2101,@2101
2502,@2102,@2102
2503,@2403,@2403
2504,@2104,@2104
2505,@2405,@2405
2601,@2101,@2101
2602,@2102,@2102
2603,@2403,@2403
2604,@2104,@2104
2605,@2405,@2405
