Keyword,Url
MapMove,http://guide.netmarble.com/lin2ws#cont/1285
Chat,http://guide.netmarble.com/lin2ws#cont/1288
PKMode,http://guide.netmarble.com/lin2ws#cont/1301
Inventory,http://guide.netmarble.com/lin2ws#cont/1370
Skill,http://guide.netmarble.com/lin2ws#cont/1316
SkillBook,http://guide.netmarble.com/lin2ws#cont/1318
SoulshotCraft,
Guild,http://guide.netmarble.com/lin2ws#cont/1328
GuildCreate,@Guild
GuildEntrance,@Guild
GuildInfo,@Guild
GuildInventory,@Guild
GuildJoin,@Guild
GuildMain,@Guild
GuildMember,@Guild
GuildMemberInfo,@Guild
GuildQuest,@Guild
GuildRelationShip,@Guild
GuildShop,@Guild
Achievement,http://guide.netmarble.com/lin2ws#cont/1354
ElixirCraft,http://guide.netmarble.com/lin2ws#cont/1282
Friend,http://guide.netmarble.com/lin2ws#cont/1319
CastleSiege,
CastleSiegeFestival,
FortressSiege,http://guide.netmarble.com/lin2ws#cont/1330
Rune,http://guide.netmarble.com/lin2ws#cont/1283
MonsterBook,http://guide.netmarble.com/lin2ws#cont/1292
Ranking,http://guide.netmarble.com/lin2ws#cont/1371
SoulCrystal,http://guide.netmarble.com/lin2ws#cont/1342
SoulCrystalLevelUp,@SoulCrystal
AuctionHouse,http://guide.netmarble.com/lin2ws#cont/1289
Shop,http://guide.netmarble.com/lin2ws#cont/1290
ShopEquipment,@Shop
ShopUnbindEquipment,@Shop
ShopAdena,@Shop
ShopCash,@Shop
ShopTopaz,@Shop
ShopItem,@Shop
ShopMileage,@Shop
ShopPackage,http://guide.netmarble.com/lin2ws#cont/1291
DailyDungeon,http://guide.netmarble.com/lin2ws#cont/1349
EliteDungeon,http://guide.netmarble.com/lin2ws#cont/1348
ExpDungeon,http://guide.netmarble.com/lin2ws#cont/1365
InfinityDungeon,http://guide.netmarble.com/lin2ws#cont/1350
CollectDungeon,http://guide.netmarble.com/lin2ws#cont/1351
AdenaDungeon,http://guide.netmarble.com/lin2ws#cont/1364
EquipDungeon,http://guide.netmarble.com/lin2ws#cont/1358
EnchantScrollDungeon,
GuildDungeon,http://guide.netmarble.com/lin2ws#cont/1352
Pvp,http://guide.netmarble.com/lin2ws#cont/1332
Activity,http://guide.netmarble.com/lin2ws#cont/1363
QuestMap,
WorldMap,
Party,http://guide.netmarble.com/lin2ws#cont/1320
Promote,http://guide.netmarble.com/lin2ws#cont/1355
DiamondShop,@ShopPackage
DiamondShopFlatRate,http://guide.netmarble.com/lin2ws#cont/1704
DiamondShopAnnuityGrowup,http://guide.netmarble.com/lin2ws#cont/1700
DiamondShopAnnuityAccept,@DiamondShopAnnuityGrowup
DiamondShopChargeReward,@ShopPackage
DiamondShopConsumeReward,@ShopPackage
DiamondShopFlatRateAdena,@DiamondShopFlatRate
EventSurprizeBox,
EventItemEnchantGrade,
EventCastleSiegeFestival,
EquipmentLevelUp,http://guide.netmarble.com/lin2ws#cont/1334
EquipmentUpgrade,http://guide.netmarble.com/lin2ws#cont/1335
EquipmentComposition,http://guide.netmarble.com/lin2ws#cont/1336
EquipmentEnchant,http://guide.netmarble.com/lin2ws#cont/1337
EquipmentAbilityUp,http://guide.netmarble.com/lin2ws#cont/1338
EquipmentOptionChange,http://guide.netmarble.com/lin2ws#cont/1339
EquipmentLimitBreak,http://guide.netmarble.com/lin2ws#cont/1340
ClassHierarchy,http://guide.netmarble.com/lin2ws#cont/1326
Gludio,http://guide.netmarble.com/lin2ws#cont/1322
Dion,http://guide.netmarble.com/lin2ws#cont/1323
Giran,http://guide.netmarble.com/lin2ws#cont/1324
Oren,
TalkingIsland,http://guide.netmarble.com/lin2ws#cont/1321
Quest,http://guide.netmarble.com/lin2ws#cont/1284
MainQuest,http://guide.netmarble.com/lin2ws#cont/1359
DailyQuest,http://guide.netmarble.com/lin2ws#cont/1360
WeeklyQuest,http://guide.netmarble.com/lin2ws#cont/1361
InstantComplete,http://guide.netmarble.com/lin2ws#cont/1362
ClassTransferQuest,http://guide.netmarble.com/lin2ws#cont/1366
EventHotTime,
Character,http://guide.netmarble.com/lin2ws#cont/1368
EquipmentCompound,http://guide.netmarble.com/lin2ws#cont/1341
EventDailyQuest1,http://guide.netmarble.com/lin2ws#cont/1442
EventDailyQuest4,
EventDailyQuest5,
CommonEvent1,http://guide.netmarble.com/lin2ws#cont/1796
CommonEvent2,
CommonEvent3,
CommonEvent4,
CommonEvent5,
DiceEvent,http://guide.netmarble.com/lin2ws#cont/1444
Pet,http://guide.netmarble.com/lin2ws#cont/1298
SummonStoneDungeon,http://guide.netmarble.com/lin2ws#cont/1309
GuildAgit,http://guide.netmarble.com/lin2ws#cont/1297
GuildAgitKeeperHire,http://guide.netmarble.com/lin2ws#cont/1302
GuildAgitCrystal,http://guide.netmarble.com/lin2ws#cont/1303
GuildAgitQuest,http://guide.netmarble.com/lin2ws#cont/1304
GuildAgitDinner,http://guide.netmarble.com/lin2ws#cont/1305
GuildAgitRelic,http://guide.netmarble.com/lin2ws#cont/1307
GuildAgitLiquid,http://guide.netmarble.com/lin2ws#cont/1306
EquipmentCrafting,
ItemCrafting,http://guide.netmarble.com/lin2ws#cont/1346
GuildAgitFireplace,http://guide.netmarble.com/lin2ws#cont/1308
BattleField,
BattleFieldOfBrave,
CharacterTitle,http://guide.netmarble.com/lin2ws#cont/1372
BattleDeckInfo,http://guide.netmarble.com/lin2ws#cont/1344
GuildAgitAttend,http://guide.netmarble.com/lin2ws#cont/1489
AgitPersonalQuest,http://guide.netmarble.com/lin2ws#cont/1490
AgitGuildQuest,http://guide.netmarble.com/lin2ws#cont/1491
Main,http://guide.netmarble.com/lin2ws#cont/1278
Help,@Main
Buff,http://guide.netmarble.com/lin2ws#cont/1317
Stats,http://guide.netmarble.com/lin2ws#cont/1281
EquippingEquipment,http://guide.netmarble.com/lin2ws#cont/1286
UsingItems,http://guide.netmarble.com/lin2ws#cont/1287
DeathandRevivial,http://guide.netmarble.com/lin2ws#cont/1293
Reward,http://guide.netmarble.com/lin2ws#cont/1294
CharacterLevelUpGuide,http://guide.netmarble.com/lin2ws#cont/1295
ContentResetGuide,http://guide.netmarble.com/lin2ws#cont/1296
MountPetCodex,http://guide.netmarble.com/lin2ws#cont/1299
ClanHallMain,http://guide.netmarble.com/lin2ws#cont/1300
FieldBoss,http://guide.netmarble.com/lin2ws#cont/1311
HowtoTransferClass,http://guide.netmarble.com/lin2ws#cont/1327
SetEffects,http://guide.netmarble.com/lin2ws#cont/1343
EquipmentDeck,@BattleDeckInfo
RareEquipment,http://guide.netmarble.com/lin2ws#cont/1347
Raid,http://guide.netmarble.com/lin2ws#cont/1353
OneHandedSword,http://guide.netmarble.com/lin2ws#cont/1421
DualSwords,http://guide.netmarble.com/lin2ws#cont/1422
Spear,http://guide.netmarble.com/lin2ws#cont/1423
Dagger,http://guide.netmarble.com/lin2ws#cont/1424
Bow,http://guide.netmarble.com/lin2ws#cont/1425
Staff,http://guide.netmarble.com/lin2ws#cont/1426
DominusSet,http://guide.netmarble.com/lin2ws#cont/1427
DynastySet,http://guide.netmarble.com/lin2ws#cont/1428
ReggiosSet,http://guide.netmarble.com/lin2ws#cont/1429
MajesticSet,http://guide.netmarble.com/lin2ws#cont/1430
AvadonSet,http://guide.netmarble.com/lin2ws#cont/1431
NightmareSet,http://guide.netmarble.com/lin2ws#cont/1432
OptimusSet,http://guide.netmarble.com/lin2ws#cont/1433
TrackerSet,http://guide.netmarble.com/lin2ws#cont/1434
BlueWolfSet,http://guide.netmarble.com/lin2ws#cont/1435
ElvenAccessory,http://guide.netmarble.com/lin2ws#cont/1436
MoonstoneAccessory,http://guide.netmarble.com/lin2ws#cont/1437
BlackOreAccessory,http://guide.netmarble.com/lin2ws#cont/1438
PhoenixAccessory,http://guide.netmarble.com/lin2ws#cont/1439
NassenAccessory,http://guide.netmarble.com/lin2ws#cont/1440
ArbolAccessory,http://guide.netmarble.com/lin2ws#cont/1441
EXPBoostEvent,@EventDailyQuest1
MainScreenConfiguration,http://guide.netmarble.com/lin2ws#cont/1279
RegionSelect,http://guide.netmarble.com/lin2ws#cont/1587
EventJourney1,http://guide.netmarble.com/lin2ws#cont/1373
EventJourney2,@EventJourney1
EventJourney3,@EventJourney1
EventJourney4,@EventJourney1
EventJourney5,@EventJourney1
EventJourney6,@EventJourney1
EventJourney7,@EventJourney1
EventJourney8,@EventJourney1
EventJourney9,@EventJourney1
EventJourney10,@EventJourney1
EventJourney11,@EventJourney1
EventJourney12,@EventJourney1
EventJourney13,@EventJourney1
EventJourney14,@EventJourney1
EventJourney15,@EventJourney1
EventJourney16,@EventJourney1
EventJourney17,@EventJourney1
EventJourney18,@EventJourney1
EventJourney19,@EventJourney1
EventJourney20,@EventJourney1
EventJourney21,@EventJourney1
EventJourney22,http://guide.netmarble.com/lin2ws#cont/1447
EventJourney23,@EventJourney22
EventJourney24,@EventJourney22
EventJourney25,@EventJourney22
EventJourney26,@EventJourney22
EventJourney27,@EventJourney22
EventJourney28,@EventJourney22
EventJourney29,@EventJourney22
EventJourney30,@EventJourney22
EventJourney31,@EventJourney22
EventJourney32,@EventJourney22
EventJourney33,@EventJourney22
EventJourney34,@EventJourney22
EventJourney35,@EventJourney22
EventJourney36,@EventJourney22
EventJourney37,@EventJourney22
EventJourney38,@EventJourney22
EventJourney39,@EventJourney22
EventJourney40,@EventJourney22
EventJourney41,@EventJourney22
EventJourney42,@EventJourney22
EventJourney43,http://guide.netmarble.com/lin2ws#cont/1468
EventJourney44,@EventJourney43
EventJourney45,@EventJourney43
EventJourney46,@EventJourney43
EventJourney47,@EventJourney43
EventJourney48,@EventJourney43
EventJourney49,@EventJourney43
EventJourney50,@EventJourney43
EventJourney51,@EventJourney43
EventJourney52,@EventJourney43
EventJourney53,@EventJourney43
EventJourney54,@EventJourney43
EventJourney55,@EventJourney43
EventJourney56,@EventJourney43
EventJourney57,@EventJourney43
EventJourney58,@EventJourney43
EventJourney59,@EventJourney43
EventJourney60,@EventJourney43
EventJourney61,@EventJourney43
EventJourney62,@EventJourney43
EventJourney63,@EventJourney43
EventJourney64,http://guide.netmarble.com/lin2ws#cont/1698
EventJourney65,@EventJourney64
EventJourney66,@EventJourney64
EventJourney67,@EventJourney64
EventJourney68,@EventJourney64
EventJourney69,@EventJourney64
EventJourney70,@EventJourney64
EventJourney71,@EventJourney64
EventJourney72,@EventJourney64
EventJourney73,@EventJourney64
EventJourney74,@EventJourney64
EventJourney75,@EventJourney64
EventJourney76,@EventJourney64
EventJourney77,@EventJourney64
EventJourney78,@EventJourney64
EventJourney79,@EventJourney64
EventJourney80,@EventJourney64
EventJourney81,@EventJourney64
EventJourney82,@EventJourney64
EventJourney83,@EventJourney64
EventJourney84,@EventJourney64
EventJourney85,http://guide.netmarble.com/lin2ws#cont/1702
EventJourney86,@EventJourney85
EventJourney87,@EventJourney85
EventJourney88,@EventJourney85
EventJourney89,@EventJourney85
EventJourney90,@EventJourney85
EventJourney91,@EventJourney85
EventJourney92,@EventJourney85
EventJourney93,@EventJourney85
EventJourney94,@EventJourney85
EventJourney95,@EventJourney85
EventJourney96,@EventJourney85
EventJourney97,@EventJourney85
EventJourney98,@EventJourney85
EventJourney99,@EventJourney85
EventJourney100,@EventJourney85
EventJourney101,@EventJourney85
EventJourney102,@EventJourney85
EventJourney103,@EventJourney85
EventJourney104,@EventJourney85
EventJourney105,@EventJourney85
EventTreasureChest,http://guide.netmarble.com/lin2ws#cont/1445
TimeShop,http://guide.netmarble.com/lin2ws#cont/1706
MasteryShop,http://guide.netmarble.com/lin2ws#cont/1705
Compound,http://guide.netmarble.com/lin2ws#cont/1443
DailyBenefitShop,@DiamondShopFlatRate
PackageShop,@ShopPackage
PackShop,@DiamondShopAnnuityGrowup
FreeFortressSiege,http://guide.netmarble.com/lin2ws#cont/1795
Probability,http://guide.netmarble.com/lin2ws#cont/1839
