Id,Name,Description,EffectDescription,SkillDialogue
1101,휴먼 검 콤보 1,검과 방패를 이용한 기본 공격입니다,,
1102,휴먼 검 콤보 2,@1101,,
1103,휴먼 검 콤보 3,@1101,,
1104,휴먼 검 콤보 4,@1101,,
1105,휴먼 검 콤보 5,@1101,,
1106,휴먼 검 콤보 6,@1101,,
1201,엘프 검 콤보 1,@1101,,
1202,엘프 검 콤보 2,@1101,,
1203,엘프 검 콤보 3,@1101,,
1204,엘프 검 콤보 4,@1101,,
1205,엘프 검 콤보 5,@1101,,
1206,엘프 검 콤보 6,@1101,,
1301,다크 엘프 검 콤보 1,@1101,,
1302,다크 엘프 검 콤보 2,@1101,,
1303,다크 엘프 검 콤보 3,@1101,,
1304,다크 엘프 검 콤보 4,@1101,,
1305,다크 엘프 검 콤보 5,@1101,,
1306,다크 엘프 검 콤보 6,@1101,,
1401,드워프 검 콤보 1,@1101,,
1402,드워프 검 콤보 2,@1101,,
1403,드워프 검 콤보 3,@1101,,
1404,드워프 검 콤보 4,@1101,,
1405,드워프 검 콤보 5,@1101,,
1406,드워프 검 콤보 6,@1101,,
2101,휴먼 창 콤보 1,창을 이용한 기본 공격입니다,,
2102,휴먼 창 콤보 2,@2101,,
2103,휴먼 창 콤보 3,@2101,,
2104,휴먼 창 콤보 4,@2101,,
2105,휴먼 창 콤보 5,@2101,,
2106,휴먼 창 콤보 6,@2101,,
2201,엘프 창 콤보 1,@2101,,
2202,엘프 창 콤보 2,@2101,,
2203,엘프 창 콤보 3,@2101,,
2204,엘프 창 콤보 4,@2101,,
2205,엘프 창 콤보 5,@2101,,
2206,엘프 창 콤보 6,@2101,,
2301,다크 엘프 창 콤보 1,@2101,,
2302,다크 엘프 창 콤보 2,@2101,,
2303,다크 엘프 창 콤보 3,@2101,,
2304,다크 엘프 창 콤보 4,@2101,,
2305,다크 엘프 창 콤보 5,@2101,,
2306,다크 엘프 창 콤보 6,@2101,,
2401,드워프 창 콤보 1,@2101,,
2402,드워프 창 콤보 2,@2101,,
2403,드워프 창 콤보 3,@2101,,
2404,드워프 창 콤보 4,@2101,,
2405,드워프 창 콤보 5,@2101,,
2406,드워프 창 콤보 6,@2101,,
3101,휴먼 이도류 콤보 1,이도류를 이용한 기본 공격입니다,,
3102,휴먼 이도류 콤보 2,@3101,,
3103,휴먼 이도류 콤보 3,@3101,,
3104,휴먼 이도류 콤보 4,@3101,,
3105,휴먼 이도류 콤보 5,@3101,,
3106,휴먼 이도류 콤보 6,@3101,,
3107,휴먼 이도류 콤보 7,@3101,,
3108,휴먼 이도류 콤보 8,@3101,,
3201,엘프 이도류 콤보 1,@3101,,
3202,엘프 이도류 콤보 2,@3101,,
3203,엘프 이도류 콤보 3,@3101,,
3204,엘프 이도류 콤보 4,@3101,,
3205,엘프 이도류 콤보 5,@3101,,
3206,엘프 이도류 콤보 6,@3101,,
3207,엘프 이도류 콤보 7,@3101,,
3208,엘프 이도류 콤보 8,@3101,,
3301,다크 엘프 이도류 콤보 1,@3101,,
3302,다크 엘프 이도류 콤보 2,@3101,,
3303,다크 엘프 이도류 콤보 3,@3101,,
3304,다크 엘프 이도류 콤보 4,@3101,,
3305,다크 엘프 이도류 콤보 5,@3101,,
3306,다크 엘프 이도류 콤보 6,@3101,,
3307,다크 엘프 이도류 콤보 7,@3101,,
3308,다크 엘프 이도류 콤보 8,@3101,,
3401,드워프 이도류 콤보 1,@3101,,
3402,드워프 이도류 콤보 2,@3101,,
3403,드워프 이도류 콤보 3,@3101,,
3404,드워프 이도류 콤보 4,@3101,,
3405,드워프 이도류 콤보 5,@3101,,
3406,드워프 이도류 콤보 6,@3101,,
3407,드워프 이도류 콤보 7,@3101,,
3408,드워프 이도류 콤보 8,@3101,,
4101,휴먼 단검 콤보 1,단검을 이용한 기본 공격입니다,,
4102,휴먼 단검 콤보 2,@4101,,
4103,휴먼 단검 콤보 3,@4101,,
4104,휴먼 단검 콤보 4,@4101,,
4105,휴먼 단검 콤보 5,@4101,,
4106,휴먼 단검 콤보 6,@4101,,
4201,엘프 단검 콤보 1,@4101,,
4202,엘프 단검 콤보 2,@4101,,
4203,엘프 단검 콤보 3,@4101,,
4204,엘프 단검 콤보 4,@4101,,
4205,엘프 단검 콤보 5,@4101,,
4206,엘프 단검 콤보 6,@4101,,
4301,다크 엘프 단검 콤보 1,@4101,,
4302,다크 엘프 단검 콤보 2,@4101,,
4303,다크 엘프 단검 콤보 3,@4101,,
4304,다크 엘프 단검 콤보 4,@4101,,
4305,다크 엘프 단검 콤보 5,@4101,,
4306,다크 엘프 단검 콤보 6,@4101,,
4401,드워프 단검 콤보 1,@4101,,
4402,드워프 단검 콤보 2,@4101,,
4403,드워프 단검 콤보 3,@4101,,
4404,드워프 단검 콤보 4,@4101,,
4405,드워프 단검 콤보 5,@4101,,
4406,드워프 단검 콤보 6,@4101,,
5101,휴먼 활 콤보 1,활을 이용한 기본 공격입니다,,
5102,휴먼 활 콤보 2,@5101,,
5103,휴먼 활 콤보 3,@5101,,
5104,휴먼 활 콤보 4,@5101,,
5201,엘프 활 콤보 1,@5101,,
5202,엘프 활 콤보 2,@5101,,
5203,엘프 활 콤보 3,@5101,,
5204,엘프 활 콤보 4,@5101,,
5301,다크 엘프 활 콤보 1,@5101,,
5302,다크 엘프 활 콤보 2,@5101,,
