Id,Name,Desc
101011,Conclua a Ilha Falante Oriental,Derrote {TaskCount} ou mais monstros na Ilha Falante Oriental.
101012,@101011,@101011
101013,@101011,@101011
101014,@101011,@101011
101015,@101011,@101011
101016,@101011,@101011
101017,@101011,@101011
101018,@101011,@101011
101019,@101011,@101011
101021,Conclua a Ilha Falante Ocidental,Derrote {TaskCount} ou mais monstros na Ilha Falante Ocidental.
101022,@101021,@101021
101023,@101021,@101021
101024,@101021,@101021
101025,@101021,@101021
101026,@101021,@101021
101027,@101021,@101021
101028,@101021,@101021
101029,@101021,@101021
101031,Conclua a Estrada de Gludin,Derrote {TaskCount} ou mais monstros na Estrada de Gludin.
101032,@101031,@101031
101033,@101031,@101031
101034,@101031,@101031
101035,@101031,@101031
101036,@101031,@101031
101037,@101031,@101031
101038,@101031,@101031
101039,@101031,@101031
101041,Um clã rico,Doe {TaskCount} de adena ao clã.
101042,@101041,@101041
101043,@101041,@101041
101044,@101041,@101041
101045,@101041,@101041
101046,@101041,@101041
101047,@101041,@101041
101048,@101041,@101041
101049,@101041,@101041
102011,Conclua a Planície de Gludio,Derrote {TaskCount} ou mais monstros na Planície de Gludio.
102012,@102011,@102011
102013,@102011,@102011
102014,@102011,@102011
102015,@102011,@102011
102016,@102011,@102011
102017,@102011,@102011
102018,@102011,@102011
102019,@102011,@102011
102021,Conclua a Mansão Windawood,Derrote {TaskCount} ou mais monstros na Mansão Windawood.
102022,@102021,@102021
102023,@102021,@102021
102024,@102021,@102021
102025,@102021,@102021
102026,@102021,@102021
102027,@102021,@102021
102028,@102021,@102021
102029,@102021,@102021
104011,Conclua o Deserto,Derrote {TaskCount} ou mais monstros no Deserto.
104012,@104011,@104011
104013,@104011,@104011
104014,@104011,@104011
104015,@104011,@104011
104016,@104011,@104011
104017,@104011,@104011
104018,@104011,@104011
104019,@104011,@104011
105021,Sangue do nosso sangue,Doe {TaskCount} Prova(s) de Sangue.
105022,@105021,@105021
105023,@105021,@105021
105024,@105021,@105021
105025,@105021,@105021
105026,@105021,@105021
105027,@105021,@105021
105028,@105021,@105021
105029,@105021,@105021
105031,Aqueles com mesmo sangue,Conecte-se ao clã {TaskCount} ou mais vezes.
105032,@105031,@105031
105033,@105031,@105031
105034,@105031,@105031
105035,@105031,@105031
105036,@105031,@105031
105037,@105031,@105031
105038,@105031,@105031
105039,@105031,@105031
105041,Camarada de mesmo sangue,Cumprimentar os membros do clã {TaskCount} vezes.
105042,@105041,@105041
105043,@105041,@105041
105044,@105041,@105041
105045,@105041,@105041
105046,@105041,@105041
105047,@105041,@105041
105048,@105041,@105041
105049,@105041,@105041
105061,Balança da riqueza,Adquira {TaskCount} ou mais de adena.
105062,@105061,@105061
105063,@105061,@105061
105064,@105061,@105061
105065,@105061,@105061
105066,@105061,@105061
105067,@105061,@105061
105068,@105061,@105061
105069,@105061,@105061
105091,Sangue novo,Adquira {TaskCount} ou mais Provas de Sangue.
105092,@105091,@105091
105093,@105091,@105091
105094,@105091,@105091
105095,@105091,@105091
105096,@105091,@105091
105097,@105091,@105091
105098,@105091,@105091
105099,@105091,@105091
106011,Conclua a Planície de Dion,Derrote {TaskCount} ou mais monstros na Planície de Dion.
106012,@106011,@106011
106013,@106011,@106011
106014,@106011,@106011
106015,@106011,@106011
106016,@106011,@106011
106017,@106011,@106011
106018,@106011,@106011
106019,@106011,@106011
107011,Conclua as Ruínas Élficas 1,Derrote {TaskCount} ou mais monstros nas Ruínas Élficas 1.
107012,@107011,@107011
107013,@107011,@107011
107014,@107011,@107011
107015,@107011,@107011
107016,@107011,@107011
107017,@107011,@107011
107018,@107011,@107011
107019,@107011,@107011
108011,Conclua o Pântano de Cruma,Derrote {TaskCount} ou mais monstros no Pântano de Cruma.
108012,@108011,@108011
108013,@108011,@108011
108014,@108011,@108011
108015,@108011,@108011
108016,@108011,@108011
108017,@108011,@108011
108018,@108011,@108011
108019,@108011,@108011
110011,Conclua o Pico da Dissonância,Derrote {TaskCount} ou mais monstros no Pico da Dissonância.
110012,@110011,@110011
110013,@110011,@110011
110014,@110011,@110011
110015,@110011,@110011
110016,@110011,@110011
110017,@110011,@110011
110018,@110011,@110011
110019,@110011,@110011
112011,Conclua os Sacrários Uivantes,Derrote {TaskCount} ou mais monstros nos Sacrários Uivantes.
112012,@112011,@112011
112013,@112011,@112011
112014,@112011,@112011
112015,@112011,@112011
112016,@112011,@112011
112017,@112011,@112011
112018,@112011,@112011
112019,@112011,@112011
113011,Conclua as Ruínas Élficas 2,Derrote {TaskCount} ou mais monstros nas Ruínas Élficas 2.
113012,@113011,@113011
113013,@113011,@113011
113014,@113011,@113011
113015,@113011,@113011
113016,@113011,@113011
113017,@113011,@113011
113018,@113011,@113011
113019,@113011,@113011
113021,Conclua o Formigueiro 1,Derrote {TaskCount} ou mais monstros no Formigueiro 1.
113022,@113021,@113021
113023,@113021,@113021
113024,@113021,@113021
113025,@113021,@113021
113026,@113021,@113021
113027,@113021,@113021
113028,@113021,@113021
113029,@113021,@113021
103031,Conclua o Formigueiro 2,Derrote {TaskCount} ou mais monstros no Formigueiro 2.
103032,@103031,@103031
103033,@103031,@103031
103034,@103031,@103031
103035,@103031,@103031
103036,@103031,@103031
103037,@103031,@103031
103038,@103031,@103031
103039,@103031,@103031
113041,Conclua a Torre de Cruma 2,Derrote {TaskCount} ou mais monstros na Torre de Cruma 2.
113042,@113041,@113041
113043,@113041,@113041
113044,@113041,@113041
113045,@113041,@113041
113046,@113041,@113041
113047,@113041,@113041
113048,@113041,@113041
113049,@113041,@113041
113051,Conclua a Torre de Cruma 3,Derrote {TaskCount} ou mais monstros na Torre de Cruma 3.
113052,@113051,@113051
113053,@113051,@113051
113054,@113051,@113051
113055,@113051,@113051
113056,@113051,@113051
113057,@113051,@113051
113058,@113051,@113051
113059,@113051,@113051
113061,Torre de Marfim 1,Derrote {TaskCount} ou mais monstros na Torre de Marfim 1.
113062,@113061,@113061
113063,@113061,@113061
113064,@113061,@113061
113065,@113061,@113061
113066,@113061,@113061
113067,@113061,@113061
113068,@113061,@113061
113069,@113061,@113061
113071,Torre de Marfim 2,Derrote {TaskCount} ou mais monstros na Torre de Marfim 2.
113072,@113071,@113071
113073,@113071,@113071
113074,@113071,@113071
113075,@113071,@113071
113076,@113071,@113071
113077,@113071,@113071
113078,@113071,@113071
113079,@113071,@113071
113081,Torre de Marfim 3,Derrote {TaskCount} ou mais monstros na Torre de Marfim 3.
113082,@113081,@113081
113083,@113081,@113081
113084,@113081,@113081
113085,@113081,@113081
113086,@113081,@113081
113087,@113081,@113081
113088,@113081,@113081
113089,@113081,@113081
114011,Conclua o Domínio de Giran,Derrote {TaskCount} ou mais monstros no Domínio de Giran.
114012,@114011,@114011
114013,@114011,@114011
114014,@114011,@114011
114015,@114011,@114011
114016,@114011,@114011
114017,@114011,@114011
114018,@114011,@114011
114019,@114011,@114011
114021,Conclua as Praias da Névoa Mortal,Derrote {TaskCount} ou mais monstros nas Praias da Névoa Mortal.
114022,@114021,@114021
114023,@114021,@114021
114024,@114021,@114021
114025,@114021,@114021
114026,@114021,@114021
114027,@114021,@114021
114028,@114021,@114021
114029,@114021,@114021
118011,Conclua a Ilha do Demônio,Derrote {TaskCount} ou mais monstros na Ilha do Demônio.
118012,@118011,@118011
118013,@118011,@118011
118014,@118011,@118011
118015,@118011,@118011
118016,@118011,@118011
118017,@118011,@118011
118018,@118011,@118011
118019,@118011,@118011
120011,Conclua a Necrópole Assombrada,Derrote {TaskCount} ou mais monstros na Necrópole Assombrada.
120012,@120011,@120011
120013,@120011,@120011
120014,@120011,@120011
120015,@120011,@120011
120016,@120011,@120011
120017,@120011,@120011
120018,@120011,@120011
120019,@120011,@120011
