Id,Nme,Desc
1,Princípios básicos de tarefa,Derrote {TaskCount} monstro(s).
2,Profissional da masmorra elite,Entrar na masmorra elite {TaskCount} vez(es).
4,Equipamento de suprimento,Adquira {TaskCount} equipamento(s).
5,Coleção de saques,Adquira {TaskCount} núcleo(s) de monstro.
7,Derrote monstros da masmorra elite!,Derrote {TaskCount} monstro(s) nas Ruínas Élficas 1º Andar.
8,@1,@1
9,Importância da gestão de mana,Use {TaskCount} ou mais poções de PM.
10,Colete Cristais anímicos!,Adquira {TaskCount} Cristal(is) Anímico(s).
11,Especialista em combinação!,Faça {TaskCount} combinação(ões).
13,@1,@1
14,Abastecendo-se de consumíveis!,Compre um item da Loja Comum {TaskCount} vezes.
15,Importância de administrar a condição,Use {TaskCount} ou mais poções de PV.
16,@11,@11
18,Rajada ousada de vitória,Obtenha {TaskCount} vitória(s) consecutiva(s) em duelo.
19,@1,@1
20,Pergaminhos de missão: ativar!,Conclua um pergaminho de missão de grau A {TaskCount} vezes.
21,Melhoria do poder de combate,Use {TaskCount} ou mais Disparos Anímicos.
22,@11,@11
23,Evolução irrefreável!,Evoluir equipamento {TaskCount} vez(es).
24,Para fortalecer a habilidade!,Adquira {TaskCount} PH.
25,Superpoder!,Cause {TaskCount} de dano num único golpe.
26,@18,@18
28,@1,@1
29,@11,@11
30,@1,@1
31,@2,@2
33,@4,@4
34,@5,@5
36,@7,Derrote {TaskCount} monstro(s) nas Ruínas Élficas 2º Andar.
37,@1,@1
38,@9,@9
39,@10,@10
40,@11,@11
42,@1,@1
43,@14,@14
44,@15,@15
45,@11,@11
47,@18,@18
48,@1,@1
49,@20,@20
50,@21,@21
51,@11,@11
52,@23,@23
53,@24,@24
54,@25,@25
55,@18,@18
57,@1,@1
58,@11,@11
59,@1,@1
60,@2,@2
62,@4,@4
63,@5,@5
65,@7,Derrote {TaskCount} monstro(s) no Formigueiro Catacumba 1.
66,@1,@1
67,@9,@9
68,@10,@10
69,@11,@11
71,@1,@1
72,@14,@14
73,@15,@15
74,@11,@11
76,@18,@18
77,@1,@1
78,@20,@20
79,@21,@21
80,@11,@11
81,@23,@23
82,@24,@24
83,@25,@25
84,@18,@18
85,Fornecimento de baús de relíquias do clã,Adquira {TaskCount} Baús de Relíquias do Clã.
86,@1,@1
88,@1,@1
89,@2,@2
91,@4,@4
92,@5,@5
94,@7,@65
95,@1,@1
96,@9,@9
97,@10,@10
98,@11,@11
100,@1,@1
101,@14,@14
102,@15,@15
103,@11,@11
105,@18,@18
106,@1,@1
107,@20,@20
108,@21,@21
109,@11,@11
110,@23,@23
111,@24,@24
112,@7,@65
113,@18,@18
114,Fornecimento de baús de relíquias do clã,Adquira {TaskCount} Baús de Relíquias do Clã.
115,@1,@1
117,@1,@1
118,@2,@2
120,@4,@4
121,@5,@5
123,@7,Derrote {TaskCount} monstro(s) no Formigueiro Catacumba 2.
124,@1,@1
125,@9,@9
