Id,Adventure,Difficulty
1,Tudo,Tudo
2,Masmorra Elite,Ruínas Élficas 1
3,@2,Ruínas Élficas 2
4,@2,Formigueiro 1
5,@2,Formigueiro 2
6,@2,Torre de Cruma 2
7,@2,Torre de Cruma 3
8,@2,Torre de Marfim 1
9,@2,Torre de Marfim 2
10,Masmorra de extração,Masmorra de extração
11,Guardião do Templo,Fácil
12,@11,Normal
13,@11,Difícil
14,@11,Dificílimo
15,Círculo de Invocação,@11
16,@15,@12
17,@15,@13
101,Chefe de Raide,Pastor de Espíritos
102,@101,Zodiac
103,@101,Kyrios
104,@101,Barbaprata
105,@101,Vapar
106,@101,Kazir
107,@101,Flagon
108,@101,Sina
109,@101,Amadeus
111,@101,Stenoa
112,@101,Marsha
118,@2,Complete Torre de Marfim 3
124,Fenda Temporal,Altar da Loucura - fácil
125,@124,Altar da Loucura - normal
129,@124,Quarto da Condessa de Sangue - Fácil
130,@124,Quarto da Condessa de Sangue - Normal
140,Masmorra do Monstro Raro,Ilha Falante
141,@140,Gludio
142,@140,Dion
143,@140,Giran
144,@140,Oren
145,Masmorra da Pedra de Evocação de Chefe,@141
146,@145,@142
147,@145,@143
148,@145,@144
