Id,Name
1,Renovação do tutorial oficial
2,Entrando na cena da Ilha Falante
3,Função automatizar missão I
4,Função automatizar missão II
6,Função automatizar missão III
11,Equip.
12,Disparo Anímico
13,Masmorra diária
14,Conquista
15,Caixa de Equipamento de Alto Grau
16,Evoluir equipamento
17,Subir nível da habilidade
18,Arena
19,Combinar
20,Clã
21,Masmorra infinita
22,Marcação de runa
23,Cristal Anímico
24,Masmorra Elite
25,Melhorar
26,Aprimorar
27,Códice de monstros
28,Habilidade rara
29,Masmorra de extração
30,Elixir
31,Evocar montaria
32,Círculo de Invocação
101,Amigo
102,Grupo
104,Entreposto Comercial
112,Missões diárias
113,Missões semanais
114,Doar para o clã
115,Entrar no clã
116,Conquista do clã
117,Masmorra de clã
118,Avanço da missão
119,Fabricar
201,Transferência de classe
202,Masmorra de adena
203,Guardião do Templo
205,Masmorra de experiência
207,Capa
301,Proteção de Maphr
