Id,LeagueName
400,Без места
401,Бронза {LeagueStep}
402,@401
403,@401
404,Серебро {LeagueStep}
405,@404
406,@404
407,Золото {LeagueStep}
408,@407
409,@407
410,Платина {LeagueStep}
411,@410
412,@410
413,Алмаз {LeagueStep}
414,@413
415,@413
416,Мастер
417,Гроссмейстер
418,Легенда
500,@400
501,@401
502,@401
503,@401
504,@404
505,@404
506,@404
507,@407
508,@407
509,@407
510,@410
511,@410
512,@410
513,@413
514,@413
515,@413
516,Мастер {LeagueStep}
517,@516
518,@516
519,Гроссмейстер {LeagueStep}
520,@519
521,@519
522,@418
