Id,Name,EffectTypeName,Desc
1001,Обычное опрокидывание,Опрокидывание,
1002,@1001,@1001,Последний удар базовой атаки
1003,@1001,@1001,
1004,Обычная неуязвимость,Неуязвимость,Неуязвимость для любого урона.
1005,Защита при воскрешении - положит. эфф.,@1004,Неуязвимость для любого урона. Нападение на противника прекращает действие неуязвимости.
1011,Обычное оглушение,Оглушение,Оглушение
10111,Стремительный Натиск: Опрокидывание,@1001,
10122,Рассечение: Замедление,Замедление,Скорость -{1%}%
11211,Резкий удар,Повыш. прироста агрессии,Прирост агрессии +50%
112124,Мщение,Захват цели (PC),Принуждение к атаке
112125,@112124,Снижение атк.,Атк. -{1}
112126,@112124,Захват цели (NPC),
11213,Величие,"Величие: Прирост уровня угрозы, ф. защ. и м. защ., снижение уклонения","Защ. +{2%}%, Агр. всех атак +{1%}%, Отражение урона: {1%}%"
11221,Правосудие,Снижение защиты,
11222,Гроза,Оглушение,@1011
112231,Большая зачистка,Множественный удар: Одновременное повыш. числа ударов и скорости атаки,"Одновременные цели +{1}, скорость атаки +{2%}%"
11231,Облако песка,Слепота,Точность -{1%}%
11232,Шаг назад: Оглушение,@11222,@1011
112331,Спешка,Спешка: Прирост Скр. Атк.,Скорость Атк. +{1%}%
112332,@112331,Спешка: Прирост уклонения,Уклонение +{1%}%
11242,Дождь стрел,Снижение ф. атк.,Снижение атк.
11243,Снайпер,"Снайпер: Повыш. дальности атаки, атк., точности; обездвиживание","Атк.: {2%}%. Точность +{3}.
Увелич. диапазон атаки. Снижает скорость."
11244,Стрелок,"Соколиный глаз: Повыш. крит., снижение защ.",Крит. атк. +{1} и урон +{2%}%
11251,"Расход MP +{1%}%, урон от умений +{2%}%",Постепенный урон,Постепенный урон
112531,Повыш. маны,Всплеск маны: Прирост макс. MP,"Расход MP +{1%}%, урон от умений +{2%}%"
11261,Божья Кара: Оглушение,@1001,
11262,Восстановление,Постепенное лечение,Постепенное лечение
12211,Трибунал,Захват цели,Прирост агрессии +30%
12212,Милость Евы,Снижение скорости атаки,Снижает Реген. HP на 50%.
122131,Боевая Стойка Эгиды,Боевая стойка эгиды: Временная неуязвимость к урону,Неуязвимость к урону
122132,@122131,Боевая стойка эгиды: Повыш. Скорости,Скорость +{1%}%
12221,Звуковой взрыв,Звуковой Импульс: Снижение скорости,Скорость -{1%}%
122231,Ритм Сражения,"Ритм Сражения: Повыш. атк., защ.","Атк. членов группы +{1}, защ. +{3}"
122241,Песнь охотника,Песнь охотника: Крит. шанс группы,Крит. шанс членов группы +{1%}%
12231,Тройная заноза,Снижение скорости,"Защ. -{1%}%, скорость атаки -{3%}%, скорость -{4%}%."
12232,Ураган клинков,@1011,@1011
12233,Ходьба по равнине,"Прогулка Следопыта: Скр. Атк., прирост скорости, шанс поглощения HP",Скр. Атк.: {1%}%. Скорость +{2%}%. Кража HP%: {3%}%
12241,Смертельный выстрел,Повыш. крит. шанса,
12242,Выстрел по площади х2,Двойной выстрел по площади: Снижение урона урона,Ф. защ. -{1%}%
122431,Мысленный взор,Мысленный взор: Большое повыш. крит. шанса,Крит. шанс +{1}
122441,Двойной быстрый шаг,"Двойной быстрый шаг: Большое повыш. скорости, небольшое повыш. скорости атаки","Скорость +{1%}%, скорость атаки +{2%}%"
12251,Ледяное копье: Заморозка,@11222,
