Id,Name,Desc
1,Путешественник,"Начинающий искатель приключений. Может стать воином, вором или магом."
2,Воин,"Воин, атакующий врага в ближнем бою."
3,Разбойник,Искусно владеет кинжалом и луком.
4,Маг,"ДД, наносящий врагам урон с помощью магии."
5,Паладин,Танк с высокой защитой и полезными оборонительными умениями.
6,Полководец,"ДД, чьи атаки постепенно ослабляют врага."
7,Искат. Сокровищ,"ДД, оглушающий врагов и наносящий по много ударов подряд."
8,Стрелок,"Дальноб. ДД, наносящ. удары по площ. и замед. противн-ов."
9,Властитель Огня,"ДД, наносящий продолжительный урон огнем."
10,Епископ,"Целитель, лечащий своих и оглушающий врагов."
31,@1,@1
32,@2,@2
33,@3,@3
34,@4,@4
35,Рыцарь Евы,"Штурмовой танк, наносящий урон по большой площади."
36,Менестрель,"ДД, специализирующийся на атаках со средней дистанции."
37,Следопыт,ДД с огромной быстротой атак.
38,Сереб. Рейнджер,Дальнобойный ДД с быстрыми атаками.
39,Певец Заклин-ий,"ДД поддержки, атакующий или замораживающий противников."
40,Старейшина,"Целитель, восстанав. HP союзников в больш. колич."
61,@1,@1
62,@2,@2
63,@3,@3
64,@4,@4
65,Рыцарь Шилен,"Штурмовой танк, поглощающий при атаке вражеские HP."
66,Танцор Смерти,ДД с очень высоким показателем атаки.
67,Странник Бездны,"ДД с огромной быстротой атак, наносящий кровоточащие раны."
68,Фантом Рейнджер,"ДД, атакующий редко, но очень мощно."
69,Заклинат. Ветра,"ДД, проклинающий врагов и наносящий продолжительный урон по площади."
70,Мудрец Шилен,"Целитель, подним. боевую мощь и лечащий член. группы."
91,@1,@1
92,@2,@2
93,@3,@3
94,@4,@4
95,Страж,"Магический танк, примен. по площади эф. управ. сознанием."
96,Убийца,@68
97,Собиратель,"ДД, сокрушающий врагов благодаря своей невероятной быстроте."
98,Боев. Рейнджер,"Дальноб. ДД, польз. ловушками и навыками уклон."
99,Боевой Маг,"ДД, быстро творящий заклинания в стесненных условиях."
100,Мудрец,"ДД поддержки, улучшающий защиту членов группы."
