Id,Name,Message
1,Марло,"Какое самомнение!
Это будет
твой последний вздох!"
2,Валдир,"Люсьен!
Готовь магию,
пока я их удерживаю!"
3,Люсьен,"Хорошо!
Я скажу, когда буду
готов! Держись!"
4,@2,"Помощь еще не подоспела?
Сражайтесь как
в последний раз!"
5,@3,"Готово!
Пошли!"
6,,"Всего двое достигли
легендарного
статуса."
7,,А теперь
8,,"начинается твоя
легенда."
9,@2,"Капитан защиты
Марло пал! Вперед, к воротам
замка!"
10,@2,"У врага
подкрепление!
Не отступать!"
11,,В атаку!
12,,Убить всех!
13,,Этот порт наш!
14,,Я тебе не скажу!
15,,"Ха-ха-ха!
Молчание бесполезно."
16,,"Как и следовало
ожидать..."
17,,"Это в
Эльфийских руинах..."
18,,"Похоже, фрагмент
реагирует на
место..."
19,,Готово?
20,,"Владыка! Это то,
о чем ты говорил."
21,,Отлично!
22,,"Нам больше не нужен
этот человеческий
монумент!"
23,,Убить людей!
24,,"А? Это должно быть
где-то здесь..."
25,,Это ловушка?
26,,Заряжай оружие!
27,,За Говорящий остров!
28,,"Вам меня
не поймать!"
29,,"Во имя
Великого Каина,"
30,,услышь мой призыв!
31,,Карфеус!
32,,Делай как знаешь.
33,,Свет Эйнхасад!
34,,Покажи нам путь!
35,,"Ох...
Этот ужасный
монстр..."
36,,"А, верно!
Было весело!"
37,,"Он бы сказал...
«Эй, орк. Ты, орк»."
38,,Ч-что это?!
39,,Вражеская засада!
40,,Готовьтесь к битве!
41,,"Мы не можем отдать
им это место!"
42,,"Как и следовало
ожидать...
Вмешательство людей..."
43,,"Мне нужно
предупредить... ох!"
44,,"Говорят, любопытство
сгубило кошку."
45,,"Некоторые секреты
пусть останутся... 
секретами."
46,,"Хорошо повеселиться,
мальчики."
47,,"Не забудь вернуть
чертежи!"
48,,"Это точно то самое
место?"
49,,Кто? Ты кто?
50,,"Вход запрещен.
Возвращайтесь назад."
51,,Подожди!
52,,"Как мило! Вы решили,
будто сможете
остановить нас?!"
53,,"Когда вы научитесь
сдаваться?"
54,,"Черт возьми,
мы теряем время."
55,,"Никто из вас
не уйдет
отсюда живым."
56,,Ха-ха-ха! Горите!
57,,"Именем богини Евы
приказываю тебе."
58,,Сила очищения!
59,,"Очисти Говорящий
Остров от зла!"
60,,"Ах, как интересно.
Объект здесь?"
61,,"Эй, ты. 
В твоих интересах
убраться прочь."
62,,Вра-ажеская засада!
63,,Остановить их атаку!
64,,"Мы победили
Виверну! К замку!"
65,,Всем отойти!
66,,"Кингфин! Век страха
и угнетения
закончился!"
67,,"Вместе с вашим
гнусным кланом!"
68,,Очень интересно.
69,,Знаешь что?
70,,"Много глупцов 
произносило
те же речи!"
71,,"Потом все
стоя на коленях
просили пощады!"
72,,"Ты скоро будешь
одним из них!"
73,,"Ошибаешься! 
Пришел твой
черед, Кингфин."
74,,Приготовиться!
75,,В атаку!
76,,"Валдир победил, 
и смутный век
закончился."
77,,"Ах! Мы достигли
Говорящего острова."
78,,"Все главные наемники 
Серебряного света 
с Говорящего острова."
79,,"Пойдемте искать 
собственный клан,
который станет легендарным в Адене!"
84,@3,"Пошли!
Сюда!"
87,@3,"Вперед!
Нужно уничтожить
ворота замка!"
85,@2,"Солдаты подоспеют
по нашему сигналу!"
88,Начальник стражи,"Мы окружили их.
Перебить их всех
до единого!"
83,@3,"Берегись! Вражеские подкрепления. 
Нам нужно уничтожить их
и продолжить путь."
86,@2,"Странно.
Вражеских сил меньше,
чем можно было ожидать!"
89,@3,"Это ловушка!
Нам нужна помощь
солдат союзников!"
90,@2,"Проклятье!
Вперед, солдаты!"
91,Эльпин,"Валдир! 
Сторожевая башня
замка была активирована."
92,@91,"Нет... НЕТ!
Наши товарищи
погибают!"
93,@91,"Нам нужно уничтожить
эту сторожевую
башню!"
94,@91,"С такой скоростью
мы все умрем!"
95,"Солдат
революционной армии","Это Марло!
Марло, появился
старейшина вражеского клана!"
96,@1,"Гр-р! 
Не могу поверить,
что проиграл этим крысам."
97,@1,"Даже так, вы ничего
не значите
для Кингфина...Ох..."
98,@91,"Валдир! У нас нет
времени! Нужно
уничтожить
Сторожевую башню!"
99,Монарх Тьмы,"Тьма
будет править."
100,Горзавр,"*Нюхает.*
Человечина?"
102,Ния,"Реликвия пропала!
Что случилось?"
103,@102,"Это плащ отца?
О нет..."
104,Фельдхейм,"Тебе кажется это
странным?"
105,@104,"Идти в город
опасно."
106,@104,"Зачем им
идти этой дорогой?"
107,@104,"Спроси, может,
их видели стражники."
108,Юджин,"Орки! Не подпускать
их к Обелиску!"
109,@108,"Еле пронесло.
Пошли дальше."
110,Пещерный хранитель,"Фш-ш-ш! Я ждал
вас!"
112,Рассел,"Не дайте темному
магу уйти!"
113,Темный маг,"Злодей! Тебе не
скрыться!"
114,@113,"Кто смеет бросать
вызов Братству Тьмы?"
115,Охранник Орков,"Вон там!
Защищать
Братство Тьмы!"
118,Фея очищения,"Моя энергия
почти иссякла..."
119,@118,"Темная энергия
поглотит остров."
120,@118,"Думаю, у них есть
секретный план."
121,@112,"Хочешь поспорить,
кто больше убьет?"
122,@112,"Что за...
Берегись!"
123,@112,"О нет! Обелиск
Победы!.. Твари!"
124,@112,"Это не тот
владыка,
которого ты недавно одолел?"
125,@115,"Не отступать!
Остановить их!"
127,Феррон,"По дороге я видел
что-то
подозрительное!"
128,@127,"Он был с нашими
похитителями,
орками."
129,@127,"Весь в черном и со
странной книгой."
130,@127,"Я думаю...
он поклоняется дьяволу!"
131,Оборотень,"Пахнет хорошо! 
Дай это
сюда, человек!"
132,Владыка Орков,"Ха! Простой наемник
хочет сразиться?"
133,@132,"Он мой. Внимание,
отходим!"
134,Орк Убийца,"Обман! Они
нас провели!"
135,Боец Рейнджеров крови,"У вас нет чести?
Примите поражение!"
136,@134,"Убить их!
Убить их всех!"
137,@135,"Не дайте оркам
пройти!"
138,@135,"Мы разберемся.
Вперед к Расселу!"
140,@108,"Быстрее! Орки скоро
будут здесь!"
141,Шеф Банды Орков,"Убивать! 
Наступать до
самого города!"
143,Гарольд,"Эти ребята знают
свое дело!
Сможешь с ними разобраться?"
144,@143,"Главарь бандитов
огромен! Он твой!"
145,@143,"Нет времени! Быстрее
к входу!"
146,Остин,"Займи место
по готовности."
147,@146,"Началось! Легко
не будет!"
148,@146,"Фантастика! 
А трех уложить
сможешь?"
149,Альберт Великан,"Неплохо. Я их сам
тренировал."
150,@149,"А дальше твоя
очередь.
Будет весело!"
151,@149,"Дядя! Ты победил!
Ты очень силен."
152,Арнольд,"Ох-х. Вижу
полчища монстров."
