Id,Name,Desc
1,Завоюйте Эльфийские Руины 1.,Убейте {TaskCount} ликантропов.
2,@1,@1
3,@1,@1
4,@1,Убейте {TaskCount} десмодусов.
5,@1,@4
6,@1,@4
7,@1,Убейте Страхокрыла {TaskCount} раз(а).
8,@1,Убейте Рюкаона {TaskCount} раз(а).
9,@1,Убейте Арахну {TaskCount} раз(а).
10,@1,Приобретите ядра монстров в кол-ве {TaskCount}.
11,@1,@10
12,@1,Убейте {TaskCount} монстр(а/ов) в подземельях.
13,@1,@12
14,Завоюйте Эльфийские Руины 2.,Убейте берсерка Спартои {TaskCount} раз(а).
15,@14,Убейте патрульного Спартои {TaskCount} раз(а).
16,@14,Убейте пинчера-отшельника {TaskCount} раз(а).
17,@14,Убейте клыкастого паука-отшельника {TaskCount} раз(а).
18,@14,Убейте охотника Спартои {TaskCount} раз(а).
19,@14,Убейте штурмовика Спартои {TaskCount} раз(а).
20,@14,@14
21,@14,@15
22,@14,@16
23,@14,@17
24,@14,@18
25,@14,@19
26,@14,Убейте Манискулла {TaskCount} раз(а).
27,@14,Убейте Феликса {TaskCount} раз(а).
28,@14,Убейте Око Смерти {TaskCount} раз(а).
29,@14,Убейте Некросса {TaskCount} раз(а).
30,@14,@10
31,@14,@10
32,@14,@10
33,@14,@12
34,@14,@12
35,@14,@12
36,Завоюйте Муравейник 1.,Убейте личинку муравья-солдата {TaskCount} раз(а).
37,@36,Убейте личинку муравья-рабочего {TaskCount} раз(а).
38,@36,Убейте муравья-рабочего {TaskCount} раз(а).
39,@36,Убейте муравья-солдата {TaskCount} раз(а).
40,@36,@36
41,@36,@37
42,@36,@38
43,@36,Убейте Разрывателя {TaskCount} раз(а).
44,@36,Убейте Бригадира Муравейника {TaskCount} раз(а).
45,@36,@10
46,@36,@10
47,@36,@10
48,@36,@12
49,@36,@12
50,@36,@12
51,Завоюйте Муравейник 2.,Убейте личинку муравья {TaskCount} раз(а).
52,@51,Убейте муравья-надсмотрщика {TaskCount} раз(а).
53,@51,Убейте муравья-солдата рекрута {TaskCount} раз(а).
54,@51,@51
55,@51,@52
56,@51,@53
57,@51,Убейте Гвардейца Муравейника {TaskCount} раз(а).
58,@51,Убейте Хранителя площадки вылупления {TaskCount} раз(а).
59,@51,@10
60,@51,@10
61,@51,@10
62,@51,@12
63,@51,@12
64,@51,@12
65,Завоюйте Башню Крумы 2.,Убейте миньона Мордео {TaskCount} раз(а).
66,@65,Убейте экскуро {TaskCount} раз(а).
67,@65,Убейте порту {TaskCount} раз(а).
68,@65,Убейте высокого экскуро {TaskCount} раз(а).
69,@65,Убейте охранника Мордео {TaskCount} раз(а).
70,@65,Убейте скованную порту {TaskCount} раз(а).
71,@65,Убейте Тайну {TaskCount} раз(а).
72,@65,Убейте Стелоса {TaskCount} раз(а).
73,@65,Убейте Мастера Мордео {TaskCount} раз(а).
74,@65,Убейте Сербо-Прайм {TaskCount} раз(а).
75,@65,@10
76,@65,@10
77,@65,@10
78,@65,@10
79,@65,@10
80,@65,@10
81,@65,@12
82,@65,@12
83,@65,@12
84,@65,@12
85,@65,@12
86,@65,@12
87,Завоюйте Башню Крумы 3.,Убейте валидуса-стражника {TaskCount} раз(а).
88,@87,Убейте валидуса-патрульного {TaskCount} раз(а).
89,@87,Убейте Густоса Обнаружителя {TaskCount} раз(а).
90,@87,Убейте Кусиона Обнаружителя {TaskCount} раз(а).
91,@87,Убейте Мефорда {TaskCount} раз(а).
92,@87,@87
93,@87,@88
94,@87,@89
95,@87,@90
96,@87,@91
97,@87,Убейте Гризо {TaskCount} раз(а).
98,@87,Убейте Юлиуса {TaskCount} раз(а).
99,@87,Убейте Магнуса {TaskCount} раз(а).
100,@87,@10
101,@87,@10
102,@87,@10
103,@87,@12
104,@87,@12
105,@87,@12
107,Завоюйте Башню Слоновой Кости 1.,Убейте подземную пиявку {TaskCount} раз(а).
108,@107,Убейте пятнистый ходячий гриб {TaskCount} раз(а).
109,@107,@107
110,@107,@108
111,@107,Убейте Мешеемпа {TaskCount} раз(а).
112,@107,Убейте Корепио {TaskCount} раз(а).
113,@107,Убейте Прету {TaskCount} раз(а).
114,@107,@10
115,@107,@10
116,@107,@10
117,@107,@12
118,@107,@12
119,@107,@12
120,Завоюйте Башню Слоновой Кости 2.,Убейте Болотных Медуз {TaskCount} раз(а).
