Id,ItemName,Desc1,Desc2
4,Отб. коробка с эссенцией эликсира,"Используйте, чтобы выбрать и получить эссенцию эликсира.",Доступно для покупки при достижении кланом уровня {RequiredGuildLevel}.
5,Отборная коробка с автопрохождением.,Используйте для выбора и получения 1 билета на автопрохождение.,Доступно для покупки при достижении кланом уровня {RequiredGuildLevel}.
10,Коробка с фрагментом Камня призыва,Используется для приобретения различных случайных фрагментов камня призыва ездового животного.,Доступно для покупки при достижении кланом уровня {RequiredGuildLevel}.
11,Сундук со свитком модификации,"Используйте, чтобы получить случайный свиток модификации.",Доступно для покупки при достижении кланом уровня {RequiredGuildLevel}.
12,Коробка с Камнями улучшения,"Используйте, чтобы получить случайный Камень улучшения.",Доступно для покупки при достижении кланом уровня {RequiredGuildLevel}.
26,Опыт,Используйте для получения опыта.,Доступно для покупки при достижении кланом уровня {RequiredGuildLevel}.
27,Много опыта,Используется для получения большого опыта.,Доступно для покупки при достижении кланом уровня {RequiredGuildLevel}.
30,Свиток побега,Используется для телепортации.,Доступно для покупки при достижении кланом уровня {RequiredGuildLevel}.
31,5 защит Мафр,"Комбинируйте фрагменты, чтобы получить защиту Мафр.",Доступно для покупки при достижении кланом уровня {RequiredGuildLevel}.
30000103,1 сундук клана со снаряжением,Используется для получения случайного снаряжения ранга A-SR.,
30000104,10 клан. коробок с материалом (бонус +1),Используется для получения случайного снаряжения ранга A-SR.,
30000105,1 сундук Свитка Модификации клана,@11,
30000106,200 зелий HP,Используется для восстановления небольшого количества HP.,
30000107,200 зелий MP,Используется для восстановления небольшого количества MP.,
30000108,5 000 зарядов души,"Используется для пропитки оружия мистической силой, увеличивающей его урон.",
30000109,1 сундук усиления ездового животного,"Используйте, чтобы получить один из следующих предметов: Снаряжение ездового животного (A–SR), сундук с Камнем повышения (маленький – большой) или фрагмент камня призыва ездового животного (Черного медведя, Серебряного святого, Кукурина, Гривастого льва).",
30000110,11 кор. усил. езд. животного (бонус: +1),@30000109,
