Id,Name,TypeDesc,LimitDesc,UsingDesc,ReplaceString1,ReplaceString2,Desc
1021,악마의 영혼석: 자켄,Предметы,,"Можно получить благодаря монстрам с нижнего уровня Леса Секретов. Объедините 100, чтобы получить «Демонический свиток: Закен».
«Демонический свиток: Закен», — это свиток дополнительного задания, который вы сможете использовать по достижении 230 ур.",,,
1022,악마의 스크롤: 자켄,@1021,,"Свиток дополнительного задания используется, чтобы получить жетон битвы: Закен.
Используйте жетон битвы: Закен, чтобы войти на пиратский корабль Закена.","Целевая область: Гиранский доминион
Ограничение по уровню: 230 ур.",,
1023,결전의 징표: 자켄,@1021,,"자켄을 처치하기로 맹세한 자의 징표입니다.
자켄의 해적선에 입장 할 수 있습니다.",,,
10001,Весенний росток,Зелье,,"Этот росток хранит в себе энергию приближающейся весны.
Используется для покупки предметов в меню событий.",,,Увеличивает защиту на 2 000 на 10 мин.
10002,Сундук для ростков,@1021,,"В этом ящике хранятся ростки.
Откройте этот ящик, чтобы получить 30 ростков.",,,"Предметы, полученные после использования, нельзя продать."
10003,Билет дополнительного завершения,События,,"Используйте этот билет, чтобы получить дополнительные завершения в Школе Аймель.
Используйте через меню событий.",,,
10004,Отлично,@10001,,"Какой отличный член клана!
Используется для покупки предметов в меню событий.",,,Увеличивает атаку на 1 500 на 10 мин.
10005,Сундук для меток «Отлично»,@1021,,"В этом ящике хранятся метки «Отлично».
Откройте этот ящик, чтобы получить 30 меток «Отлично».",,,@10002
10006,Арбуз,@10001,,"Свежий арбуз, прекрасно утоляющий жажду.
Отправляется в ваш почтовый ящик при выходе на Арену.",,,Увеличивает HP на 3 000 на 10 мин.
10007,Виноград,@10001,,"Гроздь сладкого сочного винограда.
Отправляется в ваш почтовый ящик при автопрохождении Башни Дерзости.",,,Повыш. крит. урона на 3% на 10 минут.
10008,Восточная дыня,@10001,,"Вкуснейшая восточная дыня, насыщенная витамином C и помогающая избавиться от усталости.
Отправляется в ваш почтовый ящик при входе в Круг призыва.",,,@10001
10009,Малина,@10001,,"Спелая малина — питательная и вкусная. Попробуйте сами!
Отправляется в ваш почтовый ящик при входе в ежедневное подземелье.",,,@10004
10010,Коробка летних фруктов,@1021,,"Полная коробка фруктов летнего сезона.
Откройте коробку и получите арбуз, виноград, восточную дыню или малину.
Эту коробку вы получите при сборе трав в подземелье добычи.",,,
10033,Сосновая иголка,@1021,,"피톤치드가 풍부하게 담겼으며, 솔향이 그윽한 솔잎입니다. 송편의 필수 재료입니다.",,,
10034,천연 벌꿀,@1021,,미네랄과 비타민 등 영양이 풍부한 천연 벌꿀입니다. 꿀송편의 달콤함을 책임집니다,,,
10035,유기농 쌀가루,@1021,,메뚜기와 함께 자라난 유기농 쌀을 방앗간에서 곱게 갈아 만든 쌀가루입니다. 송편의 필수 재료입니다.,,,
10036,참깨,@1021,,꼬소함을 자랑하는 참깨입니다. 꿀송편에 들어가 달콤함과 고소함의 밸런스를 맞추어줍니다.,,,
10037,가을밤,@1021,,잘 익은 가을 밤입니다. 맛도 영양도 일품입니다. 밤송편에 들어가는 주 재료 입니다. ,,,
510107,Фейерверки ночного неба,@1021,,"Фейерверки, которые могут осветить ночное небо.","Используйте, чтобы посмотреть на красивые фейерверки.",,
510108,Фейерверки серебряного света,@1021,,"Фейерверки, сияющие в небе, точно звезды.",@510107,,
510109,Фейерверки процветания,@1021,,"Фейерверки, символизирующие стремление к процветанию.",@510107,,
510110,Любовные фейерверки,@1021,,"Особые фейерверки, которые гарантируют положительный ответ на предложение.",@510107,,
510111,혈맹 이름 변경권,@1021,,혈맹 이름을 변경할 수 있습니다.,,,
510112,할로윈 캔디 폭죽,@1021,,달콤한 캔디가 쏟아지는 할로윈 폭죽입니다.,@510107,,
510113,해피 할로윈 폭죽,@1021,,행복한 할로윈을 기원하는 폭죽입니다.,@510107,,
110010,Самур. дл. меч,Щит и меч,,Это оружие увеличивает атаку и защиту.,,,
110011,@110010,@110010,,@110010,,,
110012,@110010,@110010,,@110010,,,
110013,@110010,@110010,,@110010,,,
110014,@110010,@110010,,@110010,,,
110015,@110010,@110010,,@110010,,,
110016,@110010,@110010,,@110010,,,
110020,Меч Революции,@110010,,@110010,,,
110021,@110020,@110010,,@110010,,,
110022,@110020,@110010,,@110010,,,
110023,@110020,@110010,,@110010,,,
110024,@110020,@110010,,@110010,,,
110025,@110020,@110010,,@110010,,,
110026,@110020,@110010,,@110010,,,
110030,Меч Династии,@110010,,@110010,,,
110031,@110030,@110010,,@110010,,,
110032,@110030,@110010,,@110010,,,
110033,@110030,@110010,,@110010,,,
110034,@110030,@110010,,@110010,,,
110035,@110030,@110010,,@110010,,,
110036,@110030,@110010,,@110010,,,
110043,Меч Дунамисс,@110010,,@110010,,,
110044,@110043,@110010,,@110010,,,
110045,@110043,@110010,,@110010,,,
110046,@110043,@110010,,@110010,,,
110053,Громовержец,@110010,,@110010,,,
110054,Громовержец,@110010,,@110010,,,
110055,Громовержец,@110010,,@110010,,,
120010,Пика,Копье,,Это оружие обладает большим радиусом атаки.,,,
120011,@120010,@120010,,@120010,,,
120012,@120010,@120010,,@120010,,,
120013,@120010,@120010,,@120010,,,
120014,@120010,@120010,,@120010,,,
120015,@120010,@120010,,@120010,,,
120016,@120010,@120010,,@120010,,,
120020,Скорпион,@120010,,@120010,,,
120021,@120020,@120010,,@120010,,,
120022,@120020,@120010,,@120010,,,
120023,@120020,@120010,,@120010,,,
120024,@120020,@120010,,@120010,,,
120025,@120020,@120010,,@120010,,,
120026,@120020,@120010,,@120010,,,
120030,Двуручный Топор,@120010,,@120010,,,
120031,@120030,@120010,,@120010,,,
120032,@120030,@120010,,@120010,,,
120033,@120030,@120010,,@120010,,,
120034,@120030,@120010,,@120010,,,
120035,@120030,@120010,,@120010,,,
120036,@120030,@120010,,@120010,,,
120043,Экзидиум,@120010,,@120010,,,
120044,@120043,@120010,,@120010,,,
120045,@120043,@120010,,@120010,,,
120046,@120043,@120010,,@120010,,,
120053,Глефа Орков,@120010,,@120010,,,
120054,Глефа Орков,@120010,,@120010,,,
120055,Глефа Орков,@120010,,@120010,,,
130010,Парн.самур.длин.мечи,Парные мечи,,Это оружие наносит множество комбо-атак.,,,
130011,@130010,@130010,,@130010,,,
130012,@130010,@130010,,@130010,,,
130013,@130010,@130010,,@130010,,,
130014,@130010,@130010,,@130010,,,
130015,@130010,@130010,,@130010,,,
130016,@130010,@130010,,@130010,,,
130020,Парн.мечи Рев.,@130010,,@130010,,,
130021,@130020,@130010,,@130010,,,
130022,@130020,@130010,,@130010,,,
130023,@130020,@130010,,@130010,,,
130024,@130020,@130010,,@130010,,,
130025,@130020,@130010,,@130010,,,
130026,@130020,@130010,,@130010,,,
130030,Парные мечи Династии,@130010,,@130010,,,
130031,@130030,@130010,,@130010,,,
130032,@130030,@130010,,@130010,,,
130033,@130030,@130010,,@130010,,,
130034,@130030,@130010,,@130010,,,
130035,@130030,@130010,,@130010,,,
130036,@130030,@130010,,@130010,,,
130043,Парные мечи Дунамисс,@130010,,@130010,,,
130044,@130043,@130010,,@130010,,,
130045,@130043,@130010,,@130010,,,
130046,@130043,@130010,,@130010,,,
130053,Парные Громовержцы,@130010,,@130010,,,
130054,Парные Громовержцы,@130010,,@130010,,,
130055,Парные Громовержцы,@130010,,@130010,,,
140010,Кинжал Рока,Кинжал,,Это оружие наносит быстрые атаки.,,,
140011,@140010,@140010,,@140010,,,
140012,@140010,@140010,,@140010,,,
140013,@140010,@140010,,@140010,,,
140014,@140010,@140010,,@140010,,,
140015,@140010,@140010,,@140010,,,
140016,@140010,@140010,,@140010,,,
140020,Кинжал Тьмы,@140010,,@140010,,,
140021,@140020,@140010,,@140010,,,
140022,@140020,@140010,,@140010,,,
140023,@140020,@140010,,@140010,,,
140024,@140020,@140010,,@140010,,,
140025,@140020,@140010,,@140010,,,
140026,@140020,@140010,,@140010,,,
140030,Кристальный кинжал,@140010,,@140010,,,
140031,@140030,@140010,,@140010,,,
140032,@140030,@140010,,@140010,,,
140033,@140030,@140010,,@140010,,,
140034,@140030,@140010,,@140010,,,
140035,@140030,@140010,,@140010,,,
140036,@140030,@140010,,@140010,,,
140043,Цербер,@140010,,@140010,,,
140044,@140043,@140010,,@140010,,,
140045,@140043,@140010,,@140010,,,
140046,@140043,@140010,,@140010,,,
140053,Мифриловый кинжал,@140010,,@140010,,,
140054,Мифриловый кинжал,@140010,,@140010,,,
140055,Мифриловый кинжал,@140010,,@140010,,,
150010,Ледяной лук,Лук,,Это оружие обладает большой дальностью.,,,
150011,@150010,@150010,,@150010,,,
150012,@150010,@150010,,@150010,,,
150013,@150010,@150010,,@150010,,,
150014,@150010,@150010,,@150010,,,
150015,@150010,@150010,,@150010,,,
150016,@150010,@150010,,@150010,,,
150020,Легкий самострел,@150010,,@150010,,,
150021,@150020,@150010,,@150010,,,
150022,@150020,@150010,,@150010,,,
150023,@150020,@150010,,@150010,,,
150024,@150020,@150010,,@150010,,,
150025,@150020,@150010,,@150010,,,
150026,@150020,@150010,,@150010,,,
150030,Длинный лук Аката,@150010,,@150010,,,
150031,@150030,@150010,,@150010,,,
150032,@150030,@150010,,@150010,,,
150033,@150030,@150010,,@150010,,,
150034,@150030,@150010,,@150010,,,
150035,@150030,@150010,,@150010,,,
150036,@150030,@150010,,@150010,,,
150043,Упитеар,@150010,,@150010,,,
150044,@150043,@150010,,@150010,,,
150045,@150043,@150010,,@150010,,,
150046,@150043,@150010,,@150010,,,
150053,Лук Эльфов,@150010,,@150010,,,
150054,Лук Эльфов,@150010,,@150010,,,
150055,Лук Эльфов,@150010,,@150010,,,
160010,Посох Демона,Посох,,Это оружие наносит мощные магические атаки.,,,
160011,@160010,@160010,,@160010,,,
160012,@160010,@160010,,@160010,,,
160013,@160010,@160010,,@160010,,,
160014,@160010,@160010,,@160010,,,
160015,@160010,@160010,,@160010,,,
160016,@160010,@160010,,@160010,,,
160020,Посох Жизни,@160010,,@160010,,,
160021,@160020,@160010,,@160010,,,
160022,@160020,@160010,,@160010,,,
160023,@160020,@160010,,@160010,,,
160024,@160020,@160010,,@160010,,,
160025,@160020,@160010,,@160010,,,
160026,@160020,@160010,,@160010,,,
160030,Пылающий череп дракона,@160010,,@160010,,,
160031,@160030,@160010,,@160010,,,
160032,@160030,@160010,,@160010,,,
160033,@160030,@160010,,@160010,,,
160034,@160030,@160010,,@160010,,,
160035,@160030,@160010,,@160010,,,
160036,@160030,@160010,,@160010,,,
160043,Посох Тьмы,@160010,,@160010,,,
160044,@160043,@160010,,@160010,,,
160045,@160043,@160010,,@160010,,,
160046,@160043,@160010,,@160010,,,
160053,Ветвь Древа Жизни,@160010,,@160010,,,
160054,Ветвь Древа Жизни,@160010,,@160010,,,
160055,Ветвь Древа Жизни,@160010,,@160010,,,
170014,@110010,@160010,,@160010,,,
210010,Шлем Синего Волка,Тяж. доспехи,,Это снаряжение повышает вашу защиту.,,,
210011,@210010,@210010,,@210010,,,
210012,@210010,@210010,,@210010,,,
210013,@210010,@210010,,@210010,,,
210014,@210010,@210010,,@210010,,,
210015,@210010,@210010,,@210010,,,
210016,@210010,@210010,,@210010,,,
220010,Доспехи Синего Волка,@210010,,@210010,,,
220011,@220010,@210010,,@210010,,,
220012,@220010,@210010,,@210010,,,
220013,@220010,@210010,,@210010,,,
220014,@220010,@210010,,@210010,,,
220015,@220010,@210010,,@210010,,,
220016,@220010,@210010,,@210010,,,
230010,Перч.Синего Волка,@210010,,@210010,,,
230011,@230010,@210010,,@210010,,,
230012,@230010,@210010,,@210010,,,
230013,@230010,@210010,,@210010,,,
230014,@230010,@210010,,@210010,,,
230015,@230010,@210010,,@210010,,,
230016,@230010,@210010,,@210010,,,
240010,Сапоги Синего Волка,@210010,,@210010,,,
240011,@240010,@210010,,@210010,,,
240012,@240010,@210010,,@210010,,,
240013,@240010,@210010,,@210010,,,
240014,@240010,@210010,,@210010,,,
240015,@240010,@210010,,@210010,,,
240016,@240010,@210010,,@210010,,,
210020,Шлем Гонителя,Легкие доспехи,,@210010,,,
210021,@210020,@210020,,@210010,,,
210022,@210020,@210020,,@210010,,,
210023,@210020,@210020,,@210010,,,
210024,@210020,@210020,,@210010,,,
210025,@210020,@210020,,@210010,,,
210026,@210020,@210020,,@210010,,,
220020,Доспех Гонителя,@210020,,@210010,,,
220021,@220020,@210020,,@210010,,,
220022,@220020,@210020,,@210010,,,
220023,@220020,@210020,,@210010,,,
220024,@220020,@210020,,@210010,,,
220025,@220020,@210020,,@210010,,,
220026,@220020,@210020,,@210010,,,
230020,Перчатки Гонителя,@210020,,@210010,,,
230021,@230020,@210020,,@210010,,,
230022,@230020,@210020,,@210010,,,
230023,@230020,@210020,,@210010,,,
230024,@230020,@210020,,@210010,,,
230025,@230020,@210020,,@210010,,,
230026,@230020,@210020,,@210010,,,
240020,Сапоги Гонителя,@210020,,@210010,,,
240021,@240020,@210020,,@210010,,,
240022,@240020,@210020,,@210010,,,
240023,@240020,@210020,,@210010,,,
240024,@240020,@210020,,@210010,,,
240025,@240020,@210020,,@210010,,,
240026,@240020,@210020,,@210010,,,
210030,Шлем Династии,Маг. доспехи,,@210010,,,
210031,@210030,@210030,,@210010,,,
210032,@210030,@210030,,@210010,,,
210033,@210030,@210030,,@210010,,,
210034,@210030,@210030,,@210010,,,
210035,@210030,@210030,,@210010,,,
210036,@210030,@210030,,@210010,,,
220030,Доспехи Династии,@210030,,@210010,,,
220031,@220030,@210030,,@210010,,,
220032,@220030,@210030,,@210010,,,
220033,@220030,@210030,,@210010,,,
220034,@220030,@210030,,@210010,,,
220035,@220030,@210030,,@210010,,,
220036,@220030,@210030,,@210010,,,
230030,Перчатки Династии,@210030,,@210010,,,
230031,@230030,@210030,,@210010,,,
230032,@230030,@210030,,@210010,,,
230033,@230030,@210030,,@210010,,,
230034,@230030,@210030,,@210010,,,
230035,@230030,@210030,,@210010,,,
230036,@230030,@210030,,@210010,,,
240030,Сапоги Династии,@210030,,@210010,,,
240031,@240030,@210030,,@210010,,,
240032,@240030,@210030,,@210010,,,
240033,@240030,@210030,,@210010,,,
240034,@240030,@210030,,@210010,,,
240035,@240030,@210030,,@210010,,,
240036,@240030,@210030,,@210010,,,
210040,Шлем Кошмаров,@210010,,@210010,,,
210041,@210040,@210010,,@210010,,,
210042,@210040,@210010,,@210010,,,
210043,@210040,@210010,,@210010,,,
210044,@210040,@210010,,@210010,,,
210045,@210040,@210010,,@210010,,,
210046,@210040,@210010,,@210010,,,
220040,Доспехи Кошмаров,@210010,,@210010,,,
220041,@220040,@210010,,@210010,,,
220042,@220040,@210010,,@210010,,,
220043,@220040,@210010,,@210010,,,
220044,@220040,@210010,,@210010,,,
220045,@220040,@210010,,@210010,,,
220046,@220040,@210010,,@210010,,,
230040,Перч. Кошмаров,@210010,,@210010,,,
230041,@230040,@210010,,@210010,,,
230042,@230040,@210010,,@210010,,,
230043,@230040,@210010,,@210010,,,
230044,@230040,@210010,,@210010,,,
230045,@230040,@210010,,@210010,,,
230046,@230040,@210010,,@210010,,,
240040,Сапоги Кошмаров,@210010,,@210010,,,
