Level,Name,Desc
5,Коробка ур. {Level},Достигнут ур. {Level}
10,@5,@5
15,@5,@5
20,@5,@5
25,@5,@5
26,@5,@5
27,@5,@5
28,@5,@5
29,@5,@5
30,@5,@5
31,@5,@5
32,@5,@5
33,@5,@5
34,@5,@5
35,@5,@5
36,@5,@5
37,@5,@5
38,@5,@5
39,@5,@5
40,@5,@5
41,@5,@5
42,@5,@5
43,@5,@5
44,@5,@5
45,@5,@5
46,@5,@5
47,@5,@5
48,@5,@5
49,@5,@5
50,@5,@5
51,@5,@5
52,@5,@5
53,@5,@5
54,@5,@5
55,@5,@5
56,@5,@5
57,@5,@5
58,@5,@5
59,@5,@5
60,@5,@5
61,@5,@5
62,@5,@5
63,@5,@5
64,@5,@5
65,@5,@5
66,@5,@5
67,@5,@5
68,@5,@5
69,@5,@5
70,@5,@5
71,@5,@5
72,@5,@5
73,@5,@5
74,@5,@5
75,@5,@5
76,@5,@5
77,@5,@5
78,@5,@5
79,@5,@5
80,@5,@5
81,@5,@5
82,@5,@5
83,@5,@5
84,@5,@5
85,@5,@5
86,@5,@5
87,@5,@5
88,@5,@5
89,@5,@5
90,@5,@5
91,@5,@5
92,@5,@5
93,@5,@5
94,@5,@5
95,@5,@5
96,@5,@5
97,@5,@5
98,@5,@5
99,@5,@5
100,@5,@5
101,@5,@5
102,@5,@5
103,@5,@5
104,@5,@5
105,@5,@5
106,@5,@5
107,@5,@5
108,@5,@5
109,@5,@5
110,@5,@5
111,@5,@5
112,@5,@5
113,@5,@5
114,@5,@5
115,@5,@5
116,@5,@5
117,@5,@5
118,@5,@5
119,@5,@5
120,@5,@5
121,@5,@5
122,@5,@5
123,@5,@5
124,@5,@5
125,@5,@5
126,@5,@5
127,@5,@5
128,@5,@5
129,@5,@5
130,@5,@5
131,@5,@5
132,@5,@5
133,@5,@5
134,@5,@5
135,@5,@5
136,@5,@5
137,@5,@5
138,@5,@5
139,@5,@5
140,@5,@5
141,@5,@5
142,@5,@5
143,@5,@5
144,@5,@5
145,@5,@5
146,@5,@5
147,@5,@5
148,@5,@5
149,@5,@5
150,@5,@5
151,@5,@5
152,@5,@5
153,@5,@5
154,@5,@5
155,@5,@5
156,@5,@5
157,@5,@5
158,@5,@5
159,@5,@5
160,@5,@5
161,@5,@5
162,@5,@5
163,@5,@5
164,@5,@5
165,@5,@5
166,@5,@5
167,@5,@5
168,@5,@5
169,@5,@5
170,@5,@5
171,@5,@5
172,@5,@5
173,@5,@5
174,@5,@5
175,@5,@5
176,@5,@5
177,@5,@5
178,@5,@5
179,@5,@5
180,@5,@5
181,@5,@5
182,@5,@5
183,@5,@5
184,@5,@5
185,@5,@5
186,@5,@5
187,@5,@5
188,@5,@5
189,@5,@5
190,@5,@5
191,@5,@5
192,@5,@5
193,@5,@5
194,@5,@5
195,@5,@5
196,@5,@5
197,@5,@5
198,@5,@5
199,@5,@5
200,@5,@5
201,@5,@5
202,@5,@5
203,@5,@5
204,@5,@5
205,@5,@5
206,@5,@5
207,@5,@5
208,@5,@5
209,@5,@5
210,@5,@5
211,@5,@5
212,@5,@5
213,@5,@5
214,@5,@5
215,@5,@5
216,@5,@5
217,@5,@5
218,@5,@5
219,@5,@5
220,@5,@5
221,@5,@5
222,@5,@5
223,@5,@5
224,@5,@5
225,@5,@5
226,@5,@5
227,@5,@5
228,@5,@5
229,@5,@5
230,@5,@5
231,@5,@5
232,@5,@5
233,@5,@5
234,@5,@5
235,@5,@5
236,@5,@5
237,@5,@5
238,@5,@5
239,@5,@5
240,@5,@5
241,@5,@5
242,@5,@5
243,@5,@5
244,@5,@5
245,@5,@5
246,@5,@5
247,@5,@5
248,@5,@5
249,@5,@5
250,@5,@5
251,@5,@5
252,@5,@5
253,@5,@5
254,@5,@5
255,@5,@5
256,@5,@5
257,@5,@5
258,@5,@5
259,@5,@5
260,@5,@5
261,@5,@5
262,@5,@5
263,@5,@5
264,@5,@5
265,@5,@5
266,@5,@5
267,@5,@5
268,@5,@5
269,@5,@5
270,@5,@5
271,@5,@5
272,@5,@5
273,@5,@5
274,@5,@5
