Id,NpcName,Message
101,Аймель,"Добро пожаловать! Как проходит обучение?<p>Учиться в одиночку — скучно, и вы, скорее всего, не знаете, с чего начать. В Адене искатели приключений объединяются в группы, которые называются кланами.<p>Сражайтесь бок о бок с другими искателями приключений, делайте пожертвования в клан и совершайте покупки в магазине клана! Заинтересовались?"
102,@101,"Вы достигли ранга B!
Вы же знаете, что все только начинается, да?<p>Этот болван, Рассел, уже достиг ранга А. "
103,Рассел,"Ты совсем не напрягаешься. Давай за работу, иначе за мной не поспеешь! Ха-ха-ха!"
104,@101,"Вы достигли ранга A! Теперь вы на равных с этим болваном! Не останавливайтесь, продолжайте дальше!"
105,@101,"Вы достигли ранга S! Кажется, ваше соперничество с этим болваном стало отличным стимулом!"
106,@103,Что?! У тебя уже ранг S? У меня все еще ранг А...<p>Я тебя догоню! Еще увидишь!
107,@101,"Вы достигли ранга R!<p> Только не зазнавайтесь, Вам еще предстоит достичь ранга SR!"
108,Теодор,"У вас все еще ранг R, так что не снижайте темп."
109,@101,"Вы достигли ранга SR! Ну вот, вы с блеском обошли этого недотепу Рассела!<p>Теперь надо сравняться с Теодором - у него ранг UR. Еще чуть-чуть!"
110,@101,"Вот вы и получили ранг UR.<p>Не слишком запыхались? Теодор уже все закончил и ушел. Этот недотепа еще далеко, так что можете не слишком торопиться."
111,@101,"Вы достигли ранга UR!
Вы второй из самых быстрых, после Теодора!<p>Это доволи-таки удивительно, потому что этот болван и другие уже почти сдались.<p>Теперь нужно подождать, пока другие закончат. Почему бы не повторить с начала?"
112,@101,Ух ты! Давно не виделись! Вам удалось набрать много сил с момента прошлой встречи.<p>Но этого все еще недостаточно. Теодор уже гораздо сильнее вас.<p>Но не волнуйтесь! Мне удалось создать для вас еще одно руководство по тренировке. Однако оно посложнее прошлого! Не отставайте!<p>Не надо так волноваться! Вы отлично справитесь!
113,@101,"Отлично, похоже, вы быстро движетесь вперед. Вы очень быстро добрались до ранга B!<p>Рассел! Чего ты добился, Рассел?"
114,@103,У меня уже ранг A! На этот раз я не проиграю!
115,@101,@104
116,@101,"Вы достигли ранга S! Кажется, ваше соперничество с этим болваном стало отличным стимулом!"
117,@103,"Что?! У тебя уже ранг S? У меня все еще A...<p>Пф-ф! Кажется, в прошлый раз было то же самое."
118,@101,@107
119,@108,@108
120,@101,"Поздравляем с достижением ранга SR! Теперь болван Рассел и мечтать не смеет о том, чтобы вас догнать!<p>"
100011,,Добро пожаловать на Говорящий остров.
100021,,"Говорящий остров - идеальное место, чтобы стать сильнее."
100041,,Берегитесь местных монстров!
101171,,Мы избавили Говорящий остров от опасностей!
101181,,Еще один успешный торговый день!
101191,,Хорошее снаряжение сохранит вам жизнь!
101201,,Слушайте все! Аукцион диковинок Глудио скоро начнется!
101211,,Покупайте билеты на Глудио у меня!
101231,,Посмотрите на Обелиск Победы на Говорящем острове!
101241,,"Гавань - это просто гавань, когда она полна суеты!"
101261,,Не так давно путешественники начали стекаться к Говорящему острову.
101301,,Орки? Что значит орки?
101311,,"Корабль на Глудио скоро отходит, поэтому поторопитесь."
101331,,Видели этих путешественников? Кое-кто в моем вкусе!
101341,,"Ах, чудесный день для прогулки под парусом!"
101381,,Остерегайтесь орков!
101391,,Будьте начеку!
101441,,@101391
101451,,Нужно держаться здесь!
101461,,@101381
101471,,@101391
101501,,"Хе-хе. Интересно, уволят ли меня из армии..."
101541,,Вот диковинки Говорящего острова! У нас есть золотой мех!
101542,,Такое может быть только на Говорящем острове.
101543,,На Говорящем острове вам понадобится кое-что из этого.
101544,,"Добро пожаловать, добро пожаловать!"
101545,,Зелья на исходе?
101551,,Хе-хе. Нашему замечательному ребенку уже 3 года!
101571,,Искатели приключений глупо рискуют жизнями ради денег...
101611,,"Говорящий остров отлично подходит для рыбалки, и рыба здесь просто огромная!"
101621,,"Думаете, это правда, что орки появились к северу от города?"
101771,,Серьги! Серьги с хорошими параметрами!
101811,,Перемещайтесь в другие регионы через эту точку.
101821,,Присоединяйтесь к клану! Товарищи окажут вам неоценимую поддержку!
101831,,"Модифицируйте снаряжение, чтобы легче расправляться с врагами!"
101841,,"Я продаю Заряды души, которые наносят больше урона монстрам!"
101911,,Мы позаботимся об этих орках.
101921,,Мы укрепили оборону деревни.
101931,,Город Говорящего острова теперь в безопасности.
101941,,Добро пожаловать в наш город!
101961,,Здесь творятся какие-то странные вещи...
101971,,"Чем быстрее вы уберетесь с острова, тем лучше."
101981,,"Говорят, что на севере стоят больше 10 000 орков."
102011,,На севере появились орки!
102221,,Не беспокойтесь! Вас без проблем уволят со службы.
102501,,Проклятые орки! Я отомщу за товарищей!
102511,,Мы не можем проиграть эту битву. Моя семья прячется в городе.
