Id,Title,Name
19,,Источник восстановления
31,,Западная башня Красной команды
32,,Вост. башня Красной команды
33,,Башня Священного артефакта Красной команды
34,,Западная башня Синей команды
35,,Восточная башня Синей команды
36,,Башня Священного артефакта Синей команды
20,,@19
37,,@31
38,,@32
39,,@33
40,,@34
41,,@35
42,,@36
43,,Проверка смены класса
44,,@43
45,,Алтарь Ветра
46,,Алтарь Земли
101,,Центральный осадный лагерь
102,,Восточный осадный лагерь
103,,Западный осадный лагерь
104,,Центральная сторожка
105,,Восточная сторожка
106,,Западная сторожка
107,,Левая защитная башня Главных ворот
108,,Правая защитная башня Главных ворот
109,,Левая защ. башня зала аудиенций
110,,Правая защ. башня зала аудиенций
115,,Левая защитная башня ворот Огня
116,,Правая защ. башня ворот Огня
117,,Левая защитная башня ворот Воды
118,,Правая защитная башня ворот Воды
119,,Левая башня комнаты Священного артефакта
120,,Правая башня комнаты Священного артефакта
121,,Левая башня Священного артефакта
122,,Правая башня Священного артефакта
123,,Левая ловушка
124,,Правая ловушка
201,Хранитель заданий,Ллойд
202,Хранитель реликвий,Фельдхейм
203,Хранитель зелий,Джекки
204,Хранитель пира,Эмма
205,Торговец товарами,Пэн
211,,Кристалл единства
212,,Камин
301,,Зеленый сильный медоед
302,,Серебряный сильный медоед
303,,Золотой сильный медоед
304,,Мандрагора
305,,Хранитель сада
401,계정 창고지기,Найджел
402,Наемники Серебряного света,Аймель
403,@205,@205
404,,Наемник Серебряного света
405,,마그나딘 경비병
406,Мастер-кузнец,Мобарт
407,,Зритель
408,,@407
409,Торговец свитками,Бездорожье
410,,Маг-новичок
411,Библиотекарь,Фарджейн
412,,Читатель
413,,@412
414,Пекарь,Бремен
415,,Ребенок пекаря
416,,Голодный ребенок
417,,Скучающий ребенок
418,Торговец оружием,Понтиак
419,,Путешественник
420,,@419
421,Торговец рыбой,Тегма
422,,Рыбак
423,,Маг
424,Смотритель питомцев,Куви
425,,Юная аристократка
426,,Любопытный ребенок
427,,Роми
