Id,Description
1,Устанавливает разрешение игры. Уменьшение параметра увеличивает производительность.
2,Устанавливает дальность обзора. Уменьшение параметра увеличивает производительность.
3,"Устанавливает четкость краев. Уменьшение параметра упрощает объекты, но увеличивает производительность."
4,Устанавливает детализацию текстур. Уменьшение параметра увеличивает производительность.
5,Устанавливает качество теней. Увеличение параметра увеличивает реалистичность.
6,Устанавливает вертикальную синхронизацию. Увеличение параметра увеличивает качество картинки.
7,@5
8,Устанавливает качество текстур. Уменьшение параметра увеличивает производительность.
9,Детализация текстур
10,Устанавливает соотношение сторон экрана.
11,Выполняет 1 проход рендера.
12,Устанавливает видимость вашей тени.
13,Устанавливает частоту смены кадров.
14,"Устанавливает качество графики, связанное с APU."
15,"Устанавливает качество графики, связанное с памятью."
16,Устанавливает качество звукового канала.
17,Устанавливает цель отображения.
18,Отображать теги имен других игроков?
19,"Устанавливает максимальное количество игроков, отображаемое на экране."
20,Устанавливает отображение снаряжения.
21,Отображать плащи?
22,"Оповещения об уровне модификации (модификация удалась, модификация не удалась)."
23,Устанавливает общую громкость звука.
24,Устанавливает громкость фонового звука.
25,Устанавливает громкость звуковых эффектов.
26,Устанавливает громкость голосов.
27,Включает вибрацию.
28,Отключает автоматическое выключение телефона.
29,Отключает голосовой чат.
30,Вы можете выключить все уведомления игры.
31,Получать уведомления игры.
32,Получать уведомления об объявлении.
33,"Отключите этот параметр, чтобы блокировать все уведомления с 21:00 до 8:00."
34,"Отключите этот параметр, чтобы блокировать все всплывающие уведомления (кроме важных)."
35,"Отключите этот параметр, чтобы блокировать все всплывающие уведомления из чата 1:1."
36,"Отключите этот параметр, чтобы блокировать все всплывающие уведомления из чата клана."
37,"Отключите этот параметр, чтобы блокировать все всплывающие уведомления из чата группы."
44,"Устанавливает значение HP, при котором начинается использование зелий HP."
45,"Устанавливает значение MP, при котором начинается использование зелий MP."
46,"Устанавливает процент HP, при котором начинается использование лечащих умений."
47,Устанавливает порядок автоматического использования зелий HP.
48,Устанавливает порядок автоматического использования зелий MP.
49,Показывать дальность обычной атаки.
50,Устанавливает дальность передвижения в режиме автобитвы.
51,Устанавливает минимальный ранг получаемого снаряжения.
52,"Отображение цели, выбранной целью, выбранной игроком."
53,Отображение HP цели различными способами.
54,Позволяет сбежать при появлении элитных или более сильных монстров в режиме автобитвы.
55,Вы будете получать предметы не ниже этого ранга. (Не будете получать предметы ниже этого ранга.)
56,
57,
58,
59,Фиксирует зону управления цифровой или аналоговой схемы управления.
60,Переводит сообщения чата на используемый в интерфейсе игры язык.
61,"Позволяет выбрать языки, для которых в чате требуется перевод."
62,@61
63,@61
64,@61
65,@61
66,@61
67,@61
68,@61
69,@61
70,@61
71,@61
