Id,Name,Description,Unit
1001,Боевая мощь,Рейтинг боевой мощи,Боевая мощь
1,Ур.,Рейтинг по уровню персонажа,Ур.
2,Ф. атк.,Рейтинг по макс. ф. атк.,Ф. атк.
3,Ф. защ.,Рейтинг по макс. ф. защ.,Ф. защ.
4,М. Атк.,Рейтинг по макс. м. атк.,М. атк.
5,М. Защ.,Рейтинг по макс. м. защ.,М. защ.
6,HP,Рейтинг по макс. HP,HP
7,Нанесение руны,Рейтинг по числу успешных нанесений руны,Число
8,Эликсир,Рейтинг по использованию эликсиров,Номер
9,Бестиарий,Рейтинг по заполненным бестиариям,Выполнено
10,Общий уровень,Общий рейтинг по уровню персонажа на сервере,@1
12,Очки славы,Общий рейтинг по очкам славы,Счет
13,Всего очков,Общий рейтинг по выходам на арену,@7
14,Всего побед,Общий рейтинг по победам на арене,Победы
15,Число побед подряд,Рейтинг по числу побед подряд,@7
18,Недельный вклад,Рейтинг по личному вкладу в клан за неделю,Очки вклада
19,"Очки вклада, всего",Рейтинг по личному вкладу в клан (всего),@18
20,Вклад в осаду,Рейтинг по личному вкладу в осады,Вклад
21,Вклад в осаду крепости,Рейтинг вклада в осады крепости,@20
22,Достижения героя,Рейтинг по очкам достижений,@12
27,Отметка,Рейтинг по числу дней в игре,Кол-во дней
28,Макс. цена продажи,Рейтинг по макс. цене продажи,Цена продажи
29,Число продаж,Рейтинг по числу продаж,@7
30,Число модификаций,Рейтинг по числу модификаций,@7
31,Модиф. набор,Рейтинг по модиф. наборам,Число применений
32,Число комбинирований,Рейтинг по числу комбинирований,@7
33,Число улучшений,Рейтинг по числу улучшений,@7
34,Число прев. лим.,Рейтинг по числу превышений лимита,@7
35,Башня Дерзости,Рейтинг по Башне Дерзости,Число этажей
48,Репутация клана,Рейтинг репутации клана,@12
49,CP клана,Рейтинг боевой мощи клана,@1001
1000,Арена потасовок,Рейтинг по арене потасовок,@12
4000,Почетное поле боя,Общий рейтинг по почетному полю боя,@12
4001,@4000,Рейтинг по почетному полю боя (бронза) 3,@12
4002,@4000,Рейтинг по почетному полю боя (бронза) 2,@12
4003,@4000,Рейтинг по почетному полю боя (бронза) 1,@12
4004,@4000,Рейтинг по почетному полю боя (серебро) 3,@12
4005,@4000,Рейтинг по почетному полю боя (серебро) 2,@12
4006,@4000,Рейтинг по почетному полю боя (серебро) 1,@12
4007,@4000,Рейтинг по Почетному полю боя (золото) 3,@12
4008,@4000,Рейтинг по почетному полю боя (золото) 2,@12
4009,@4000,Рейтинг по почетному полю боя (золото) 1,@12
4010,@4000,Рейтинг по почетному полю боя (платина) 3,@12
4011,@4000,Рейтинг по почетному полю боя (платина) 2,@12
4012,@4000,Рейтинг по почетному полю боя (платина) 1,@12
4013,@4000,Рейтинг по почетному полю боя (алмаз) 3,@12
4014,@4000,Рейтинг по почетному полю боя (алмаз) 2,@12
4015,@4000,Рейтинг по почетному полю боя (алмаз) 1,@12
4016,@4000,Рейтинг по почетному полю боя (мастер),@12
4017,@4000,Рейтинг по почетному полю боя (гроссмейстер),@12
4018,@4000,Рейтинг по почетному полю боя (легенда),@12
