Index,Name
1,Оглушение
2,Огонь
3,Заряд души Тестирование
4,@2
5,Яд
6,@5
7,Перегрев
8,@5
9,Эффект повышения уровня
10,Да Тестирование
11,Деньги Тестирование
12,HP Тестирование
13,Магический щит Тестирование
14,Нет Тестирование
15,Проклятие Тестирование
16,Кровотечение Тестирование
17,Огонь Тестирование
18,Оглушение Тестирование
19,Провокация Тестирование
20,Абсолютный щит
21,Неуязвимость - положит. эфф.
22,Прочность - положит. эфф.
23,Хитрость — положит. эфф.
24,Скорость медоеда
25,Скорость добычи медоеда
26,Объем добычи медоеда
27,Хранитель сада
28,Начальный эффект заряда души
29,Эффект использования зелья HP
30,Эффект использования зелья MP
31,Эффект смены класса
32,@31
33,Полевое убежище - положит. эфф. 1
34,Полевое убежище - положит. эфф. 2
35,Полевое убежище - положит. эфф. 3
36,Полевое убежище - положит. эфф. 4
37,Полевое убежище - положит. эфф. 5
38,Щит Варкарона
39,Берсерк Варкарон
40,Берсерк Варкарон (оружие)
41,"Положительный эффект: милость лорда 1 (HP, MP)"
42,"Положительный эффект: милость лорда 2 (опыт, ядро)"
43,"Положительный эффект: милость лорда 3 (адена, предмет)"
44,Положительный эффект: милость лорда: камера
45,Повышение макс. MP
46,Повышение макс. HP
47,Повышение атак
48,Повышение скорости
49,Повышение скор. атак
50,Повышение атак
51,Королева Муравьев-берсерк
52,Муравьиная бомба замедленного действия 1
53,Муравьиная бомба замедленного действия 2
54,Муравьиная бомба замедленного действия 3
55,Муравьиная бомба замедленного действия 4
56,Муравьиная бомба замедленного действия 5
57,Муравьиная бомба замедленного действия 6
58,Ядро Крумы: Отравление
59,Ядро Крумы: Молчание
60,Ядро Крумы: Управление разумом
61,Королева Муравьев — барьер
62,Кристалл единства: Базовый
63,Кристалл единства: Уровень 1
64,Кристалл единства: Уровень 2
65,Кристалл единства: Уровень 3
66,Сесть верхом/спешиться - эффект
67,Эффект умения Марши
68,Эффект использования зелья Холла клана
69,Зелье Холла клана: Повыш. боевого духа
70,Зелье Холла клана: Ледяная буря
71,Зелье Холла клана: Повышение восст. HP
72,Зелье Холла клана: Анти-магия
73,Связывание
74,Аура урона в ближнем бою (таймер)
75,Барьер Кристалла воды
76,Яростная группа
77,Сверхсила
78,Повышение урона от навыка
79,@74
80,@75
81,@76
82,@77
83,Колотая рана
84,Марлокс_Усталость демона
85,Герой алтаря ветра
86,Герой алтаря земли
87,Анемия
88,Вампиризм ур. 1
89,Вампиризм ур. 2
90,Вампиризм ур. 3
91,Вампиризм ур. 4
92,Вампиризм ур. 5
93,Вампирское превращение
94,Отрицательный эффект Рамога: возгорание
95,Отрицательный эффект Рамога для себя: ожидание взрыва
96,Эффект фейерверка 1
97,Эффект фейерверка 2
98,Эффект фейерверка 3
99,Эффект фейерверка 4
100,Мощная кража HP
101,Эффект плаща: Барьер иммунитета к атакам PvE
102,Эффект плаща: редкий навык PvP: барьер
103,Берсерк Закен
104,Дрожь Закена
105,Полевая награда
106,Награда за наибольший вклад во время сражения с боссом
107,Конечный урон босса
