Id,Name
1,Говор.остр. - вост.
2,Говор.остр. - зап.
3,Глудинский тракт
4,Равнины Глудио
5,Особняк Виндавуд
6,Пустошь
7,Дионские равнины
8,Болото Крумы
9,Пик Диссонанса
10,Земли Плача
11,Гиранский доминион
12,Берега Смертельного тумана
13,Остров Дьявола
14,Некрополь Призраков
15,Плато Северного ветра
16,Вечные земли
17,Захваченная территория Башни Слоновой Кости
18,Долина Драконов
200,Эльфийск. Руины 1
201,Эльфийск. Руины 2
202,Муравейник 1
203,Муравейник 2
204,Башня Крумы 2
205,Башня Крумы 3
206,Б. Слон.Кости 1
207,Б. Слон.Кости 2
208,Б. Слон.Кости 3
209,Подземная лабор. Б. Слон.Кости
210,Полог Леса Секретов
211,Подлесок Леса Секретов
212,Место Бойни Леса Секретов
213,Драконья пещера 1
214,Драконья пещера 2
215,Гнездо Антараса
300,Алтарь безумия
301,Спальня Графини крови
400,Временной разлом
402,Корабль-призрак Закена
11000,Святилище Утраченных воспоминаний
12000,Башня Дерзости
13000,Подземелье добычи
14000,Арена
14001,Почетное поле боя
14002,Геройское поле боя
14005,Арена потасовок
16003,Крепость на Глудинском тракте
16004,Крепость на равнинах Глудио
16005,Крепость Поместья Виндавуд
16006,Крепость в Пустоши
16007,Крепость на Равнинах Диона
16008,Крепость на Болоте Крумы
16009,Крепость на пике Диссонанса
16010,Крепость Земель Плача
16011,Крепость в Гиранском доминионе
16012,Крепость на Берегах Смертельного тумана
16013,Крепость на Острове Дьявола
16014,Крепость в Некрополе призраков
16015,Крепость на плато Северного ветра
16016,Крепость на Вечных землях
16017,Захваченная крепость Башни Слоновой Кости
16018,Крепость в Долине Драконов
16019,Крепость в руинах дольмена
16020,Крепость в Расколотых землях
16021,Крепость Обелиска Победы
16022,Крепость Укрепленного лагеря
16023,Крепость в Лесу Ветров
16024,Крепость Леса Духов
16025,Крепость Западного пограничного поста
16026,Крепость в Эльфийских руинах
16999,Открытая осада
17001,Замок Глудио
17002,Замок Дион
17003,Замок Гиран
17004,Замок Орен
18100,Сейф Кресуса
18200,Разлом Миров
18300,Опечатанный вход
18400,Храм воды
18500,Зловещая лаборатория
19001,[Clan Hall]
20000,Лаборатория младшего гиганта
20001,@20000
20002,@20000
21000,마그나딘
211010,Лаборатория гиганта
30001,Дар бога
30002,@30001
999,Осада замка ТЕСТИРОВАНИЕ
998,PvP ТЕСТИРОВАНИЕ
1000,Протоземля 1
1001,Протоземля 2
1002,Земля гигантских чешуйчатых
1005,Земля гигантских чешуйчатых 2
1006,Земля гигантских чешуйчатых 3
1007,Осада другого замка Тестирование
1008,Осада крепости Тестирование
1009,@1008
1010,@1008
1011,@1008
1012,Мир тестирования умений
1013,Именная земля чешуйчатых
2000,Пафленд
2001,Пафленд 1
2002,Пафленд 2
2003,Пафленд 3
2004,Пафленд 4
2005,Пафленд 5
2006,Пафленд 6
2007,Пафленд 7
2008,Пафленд 8
60001,Замок Адена
70001,@60001
70002,История Адена
100200,Внешний мир
100204,@204
100018,Внутренняя часть камня призыва зла
100003,Разрушенная глудинская гавань
200001,Внешний мир Теодора
200002,Подвал
200003,Атакованный лагерь
200004,Окрестности замка Орена
200005,Подземная тюрьма замка Орен
200200,Территория Кровавого короля
211000,Первая печать Говорящего острова
211001,Вторая печать Говорящего острова
211002,Третья печать Говорящего острова
211003,Четвертая печать Говорящего острова
200206,@206
213000,Лаборатория Братства Тьмы
200010,Бездна Закена
210206,@206
210207,@207
210208,@13
299301,Мир механизмов — Спальня графини крови
299981,Мир механизмов - Говорящий остров - восток
299982,Мир механизмов - Говорящий остров - запад
299983,Мир механизмов - Глудинский тракт
299984,Мир механизмов - Равнины Глудио
299985,Мир механизмов - Поместье Виндавуд
299986,Мир механизмов - Пустошь
299987,Мир механизмов - Равнины Диона
299988,Мир механизмов - Болото Крумы
299989,Мир механизмов - Пик Диссонанса
299990,Мир механизмов - Земли Плача
299991,Мир механизмов - Гиранский доминион
299992,Мир механизмов - Берега Смертельного тумана
299993,Мир механизмов - Остров Дьявола
299994,Мир механизмов - Некрополь призраков
299995,Мир механизмов - Плато Северного ветра
299996,Мир механизмов - Вечные земли
299997,Мир механизмов - Захваченная территория Башни Слоновой Кости
299998,Мир механизмов - Долина Драконов
1500,Протоземля 5
300201,@201
300203,@203
300205,@205
300207,@207
