AchievementLevel,Name
0,Maceracı Adayı
1,Acemi Maceracı
2,Sıradan Maceracı
3,Gayretli Maceracı
4,Güçlü İradeli Maceracı
5,Güçlü Maceracı
6,Sıradan Lejyoner
7,Azimli Lejyoner
8,Cesur Lejyoner
9,İnatçı Lejyoner
10,Gözüpek Lejyoner
11,Gururlu Asker
12,Cesur Asker
13,Yiğit Elit Asker
14,Dirençli Dövüşçü
15,Yetenekli Savaşçı
16,Keskin Dövüşçü
17,Korkusuz Dövüşçü
18,Yiğit Dövüşçü
19,Sakin Şövalye
20,Azimli Şövalye
21,Onurlu Şövalye
22,Bilge Baron
23,Zeki Baron
24,Kibirli Baron
25,Cesur Baron
26,Sert Baron
27,Düşüncesiz Baron
28,Sessiz Marquis
29,Kudretli Marquis
30,Asil Marquis
31,Amansız Takipçi
32,Keskin Gözcü
33,Onurlu Meydan Okuyan
34,Işıldayan Zafer
35,Fırtına Kumandanı
36,İspatlanmış Lord
37,Aden'in Kurtarıcısı
38,Patlayan Yok Edici
39,Ölü Kasap
40,Samimi Muhafız
41,Güçlü Bitirici
42,Görkemli Fatih
43,Yenilmez Kurtarıcı
44,Adil Yargıç
45,Cezalandırıcı Yıkıcı
46,Kıta'nın Hükümdarı
47,Baş Uzman
48,Zalim Ölümsüz
49,Efsanevi Limit Kırıcı
50,Savaş Alanı Tanrısı
