Id,Name,Desc
10100,Ayrım Yapmayan Avcı (Kategori {Param1}),En az {TaskCount} canavar yen.
10101,@10100,@10100
10102,@10100,@10100
10103,@10100,@10100
10104,@10100,@10100
10105,@10100,@10100
10106,@10100,@10100
10107,@10100,@10100
10108,@10100,@10100
10109,@10100,@10100
10110,@10100,@10100
10111,@10100,@10100
10112,@10100,@10100
10113,@10100,@10100
10114,@10100,@10100
10115,@10100,@10100
10116,@10100,@10100
10117,@10100,@10100
10118,@10100,@10100
10119,@10100,@10100
10120,@10100,@10100
10501,Nadir Birini Yen (Kategori {Param1}),En az {TaskCount} elit canavar yen.
10502,@10501,@10501
10503,@10501,@10501
10504,@10501,@10501
10505,@10501,@10501
10506,@10501,@10501
10507,@10501,@10501
10508,@10501,@10501
10509,@10501,@10501
10510,@10501,@10501
10511,@10501,@10501
10512,@10501,@10501
10513,@10501,@10501
10514,@10501,@10501
10515,@10501,@10501
10516,@10501,@10501
10517,@10501,@10501
10518,@10501,@10501
10519,@10501,@10501
10520,@10501,@10501
10601,Efsanevi Bir Canavar Yen (Kategori {Param1}),En az {TaskCount} kahraman canavar yen.
10602,@10601,@10601
10603,@10601,@10601
10604,@10601,@10601
10605,@10601,@10601
10606,@10601,@10601
10607,@10601,@10601
10608,@10601,@10601
10609,@10601,@10601
10610,@10601,@10601
10611,@10601,@10601
10612,@10601,@10601
10613,@10601,@10601
10614,@10601,@10601
10615,@10601,@10601
10616,@10601,@10601
10617,@10601,@10601
10618,@10601,@10601
10619,@10601,@10601
10620,@10601,@10601
10701,Tek Vuruşla Yen (Kategori {Param1}),Bir vuruşta düşmana en az {TaskCount} hasar ver.
10702,@10701,@10701
10703,@10701,@10701
10704,@10701,@10701
10705,@10701,@10701
10706,@10701,@10701
10707,@10701,@10701
10708,@10701,@10701
10709,@10701,@10701
10710,@10701,@10701
10711,@10701,@10701
10712,@10701,@10701
10713,@10701,@10701
10714,@10701,@10701
10715,@10701,@10701
10716,@10701,@10701
10717,@10701,@10701
10718,@10701,@10701
10719,@10701,@10701
10720,@10701,@10701
10801,Kibir Kulesi Kat {Param1},Kibir Kulesi Kat {TaskCount} Temizle
10802,@10801,@10801
10803,@10801,@10801
10804,@10801,@10801
10805,@10801,@10801
10806,@10801,@10801
10807,@10801,@10801
10808,@10801,@10801
10809,@10801,@10801
10810,@10801,@10801
10811,@10801,@10801
10812,@10801,@10801
10813,@10801,@10801
10814,@10801,@10801
10901,Kibir Kulesi'nde Kaç Kez? (Kategori {Param1}),Kibir Kulesi'ni {TaskCount} kez Tamamla
10902,@10901,@10901
10903,@10901,@10901
10904,@10901,@10901
10905,@10901,@10901
10906,@10901,@10901
10907,@10901,@10901
10908,@10901,@10901
10909,@10901,@10901
10910,@10901,@10901
10911,@10901,@10901
10912,@10901,@10901
10913,@10901,@10901
10914,@10901,@10901
10915,@10901,@10901
10916,@10901,@10901
10917,@10901,@10901
10918,@10901,@10901
10919,@10901,@10901
10920,@10901,@10901
11001,Mühürlenmiş Anılar Kolayca Silinebilir Mi? (Kategori {Param1}),Kolay bir Zindanı {TaskCount} kez Oto-Temizle.
11002,@11001,@11001
11003,@11001,@11001
11004,@11001,@11001
11005,@11001,@11001
11006,@11001,@11001
11007,@11001,@11001
11008,@11001,@11001
11009,@11001,@11001
11010,@11001,@11001
11011,@11001,@11001
11012,@11001,@11001
11013,@11001,@11001
11014,@11001,@11001
11015,@11001,@11001
11016,@11001,@11001
11017,@11001,@11001
11018,@11001,@11001
11019,@11001,@11001
11020,@11001,@11001
11101,Mührü Kırmayı Umuyorum (Kategori {Param1}),Normal bir Günlük Zindanı {TaskCount} kez temizle.
11102,@11101,@11101
11103,@11101,@11101
11104,@11101,@11101
11105,@11101,@11101
11106,@11101,@11101
11107,@11101,@11101
11108,@11101,@11101
11109,@11101,@11101
11110,@11101,@11101
11111,@11101,@11101
11112,@11101,@11101
11113,@11101,@11101
11114,@11101,@11101
11115,@11101,@11101
11116,@11101,@11101
11117,@11101,@11101
11118,@11101,@11101
11119,@11101,@11101
11120,@11101,@11101
11201,Mühürlenmiş Anıyı Aç (Kategori {Param1}),Zor bir Günlük Zindanı {TaskCount} kez Temizle.
11202,@11201,@11201
11203,@11201,@11201
11204,@11201,@11201
11205,@11201,@11201
11206,@11201,@11201
11207,@11201,@11201
11208,@11201,@11201
11209,@11201,@11201
11210,@11201,@11201
11211,@11201,@11201
11212,@11201,@11201
11213,@11201,@11201
11214,@11201,@11201
11215,@11201,@11201
11216,@11201,@11201
11217,@11201,@11201
11218,@11201,@11201
11219,@11201,@11201
11220,@11201,@11201
11301,Son Anı Parçası (Kategori {Param1}),Çok Zor bir Günlük Zindanı {TaskCount} kez Temizle.
11302,@11301,@11301
11303,@11301,@11301
11304,@11301,@11301
11305,@11301,@11301
11306,@11301,@11301
11307,@11301,@11301
11308,@11301,@11301
11309,@11301,@11301
11310,@11301,@11301
11311,@11301,@11301
11312,@11301,@11301
11313,@11301,@11301
11314,@11301,@11301
11315,@11301,@11301
11316,@11301,@11301
11317,@11301,@11301
11318,@11301,@11301
11319,@11301,@11301
11320,@11301,@11301
