Id,LeagueName
400,Sıralandırılmadın
401,Bronz {LeagueStep}
402,@401
403,@401
404,Gümüş {LeagueStep}
405,@404
406,@404
407,Altın {LeagueStep}
408,@407
409,@407
410,Platin {LeagueStep}
411,@410
412,@410
413,Elmas {LeagueStep}
414,@413
415,@413
416,Usta
417,Büyük Usta
418,Efsane
500,@400
501,@401
502,@401
503,@401
504,@404
505,@404
506,@404
507,@407
508,@407
509,@407
510,@410
511,@410
512,@410
513,@413
514,@413
515,@413
516,Usta {LeagueStep}
517,@516
518,@516
519,Büyük Üstat {LeagueStep}
520,@519
521,@519
522,@418
