Id,Name,RepresentRewardName,RepresentRewardDescription,Description
200,Elf Harabeleri Kat 1,,,"Büyü enerjisi dolu bir yer, burası Elflerin insanlara büyü öğrettiği yer. İnsanlar ilerde kıtanın hakimi olmak için buraya yerleşti."
201,Elf Harabeleri Kat 2,,,Kıtayı elfler yönetirken bu kar sadece özel yetenekleri olan insanlara açıktı. Buradaki büyü enerjisi ilk kattakinden fazla.
202,Karınca Yuvası Dehliz 1,,,Devasa kara büyü patlamasıyla ortaya çıkan Çorak Diyar’a adapte olan dev karıncalarla dolu bir mağara.
203,Karınca Yuvası Dehliz 2,,,Karıncalar değerli eşyalarını korumak için daha da komplike bir labirent inşa ettiler. Sadece karıncalar yollarını bulabilir.
204,Cruma Kulesi Kat 2,,,Yeni bir yaşam türü bulmak için çalışan kadim devler tarafından kullanılan hareket eden bir şato ve bilim tesisi. Laboratuvarı korumak için kullanılırdı.
205,Cruma Kulesi Kat 3,,,Kulenin asıl amacına uyan bu katta pek çok biyolojik araştırma laboratuvarı vardır. Devlerin büyü enerjisiyle doludur.
206,Fildişi Kulesi Dehliz 1,,,Nebulite meteoru düştüğünde şekillenen alan. Aslen bir laboratuvar ve kütüphaneydi ama Delirmiş Büyücüler Olayı sonrasında kapanmıştı.
207,Fildişi Kulesi Dehliz 2,,,Burada aslen bir simya laboratuvarı vardı ama yerden biten kaya misali mantarlar tarafından istila edildi.
208,Fildişi Kulesi Dehliz 3,,,Nebulite meteorunun bulunduğu yer. Burada Nebulite’nin etkisiyle kuvvetlenen canavarlar cirit atar.
209,Fildişi Kulesi Yer Altı Laboratuvarı,,,Burası Fildişi Kulesi Büyücüsü'nün laboratuvarı ve mühürlendiği yer. Deneklerinin çoğu hâlâ buralarda dolaşır.
210,Sırların Ormanı Tepe Tacı,,,"Burada eskinden Periler yaşardı. Periler, savaşın tehlikelerinden kaçmak için başka bir diyara göç ettikten sonra canavarlar tarafından işgal edilmiştir."
211,Sırların Ormanı Yeşillik Alanı,,,Canavarlar tarafından kutsallığı bozulan Sırların Ormanı o kadar büyüdü ki artık güneş ışığı bile ormana giremiyor.
212,Sırların Ormanı Katliam Alanı,,,Peri avına direnen perilerin ebedi istirahatlarından önceki son durağı. Burada her zaman kasvetli bir kırmızı sis hakimdir.
4000,Gökkuşağı Bahçesi (Kukla),,,
9000,TP Zindanı I,Geliştirme Taşı,{1} adet Geliştirme Taşı kazanmak için kullan.,Kara Kardeşlik tarafından hazırlanmış ve keşfedilmemiş pek çok güçlü Kötülük Çağırma Taşı vardır. Dış Dünya’daki canavarları yenerek o taşları yok etmelisin.
9001,TP Zindanı II,@9000,{2} adet Geliştirme Taşı kazanmak için kullan.,@9000
9002,TP Zindanı III,@9000,{3} adet Geliştirme Taşı kazanmak için kullan.,@9000
9003,TP Zindanı IV,@9000,"{5} adet Geliştirme Taşı kazanmak için kullan.
",@9000
9100,TP Zindanı V,@9000,@9003,@9000
9004,Adena Zindanı I,@9000,@9000,"Elmoreden İmparatoru Shunaiman burayı, Kibir Kulesi’nin inşası için gereken altını depolamak için kullandı. Shunaiman’ın ölümüyle burası unutuldu ve artık Altın Ejderha Kresous’un yeri."
9005,Adena Zindanı II,@9000,@9001,@9004
9006,Adena Zindanı III,@9000,@9002,@9004
9009,Ekipman Zindanı I,@9000,@9000,Eva tarafından kutsanan Su Kristali’ne ev sahipliği yapan elf tapınağı. Hardin Su Kristali’ni Kara Kardeşlik’ten korumak için Ay Işığı Lejyonerleri’ne tapınağı korumalarını emretti.
9010,Ekipman Zindanı II,@9000,@9001,@9009
9011,Ekipman Zindanı III,@9000,@9002,@9009
9012,Ekipman Zindanı IV,@9000,@9003,@9009
9300,Ekipman Zindanı V,@9000,@9003,@9009
9013,Binek Zindanı I,@9000,@9000,Mühürlü Kutsal Kristal üstündeki büyüyü kaldırırken Feldheim'i koru ve Çağırma Taşı için zindanı tamamla.
9014,Binek Zindanı II,@9000,@9001,@9013
9015,Binek Zindanı III,@9000,@9002,@9013
9016,Binek Zindanı IV,@9000,@9003,@9013
