Id,Name,ControlText
1202,Elf Harabeleri Kat 2,
1203,@1202,
1204,@1202,
1205,@1202,
1206,Karınca Yuvası Dehliz 2,
1218,@1206,
1207,Fildişi Kulesi Kat1 Yönlendiricisi,
1208,Fildişi Kulesi Kat3 Yönlendiricisi,
1209,Fildişi Kulesi Kat1 Engeli,
1210,Fildişi Kulesi Kat3 Engeli,
1211,Sırların Ormanı Üst Kat için Yönlendirici,
1212,Sırların Ormanı Alt Kat için Yönlendirici 1,
1214,Sırların Ormanı Katliam Alanı Kuşatma Teçhizatı,
1215,@1214,
1216,Gran Kain Tapınağı: Fildişi Kulesi Yer Altı Laboratuvarı,Gran Kain’in enerjisi emiliyor...
1217,Gran Kain Tapınağı: Sırların Ormanı Katliam Alanı,@1216
1219,Cruma Kulesi 2. Kat Oku,
1220,Cruma Kulesi 3. Kat Oku,
1221,Zaken'in Hayalet Gemisi,
1222,@1221,
211010101,Etkinliğe Özel Cruma Kulesi Abluka Cihazı,
211010201,Etkinliğe Özel Cruma Kulesi Çıkış Cihazı,Kullanılan Kontrol Sistemi
82601,Etkinliğe Özel Cruma Kulesi Giriş Cihazı (Görevler),@211010201
82701,Etkinliğe Özel Cruma Kulesi Giriş Cihazı,@211010201
211010301,Dev'in Birinci Araştırma Dosyası,Dev'in Araştırma Dosyaları kontrol ediliyor...
211010401,Dev'in İkinci Araştırma Dosyası,@211010301
211010501,Dev'in Üçüncü Araştırma Dosyası,@211010301
211010601,Dev'in Dördüncü Araştırma Dosyası,@211010301
211010701,Dev'in Kutusu,Dev'in Kutusu geri getiriliyor...
211010801,Dev'in Boş Canavar Kutusu,Hiç kutu bulamadın.
211010901,Yitik Hardin,Hardin uyandırılıyor...
211011001,Öz Katı,
211011101,Engel Kaldırma Cihazı 1 - Etkinleştirme,Güç cihazı kurcalanıyor...
211011201,Engel Kaldırma Cihazı 1 - Devre Dışı Bırakma,
211011301,Engel Kaldırma Cihazı 2 - Etkinleştirme,@211011101
211011401,Engel Kaldırma Cihazı 2 - Devre Dışı Bırakma,
211011501,Dev'in Beşinci Araştırma Dosyası,@211010301
211011601,Dev'in Altıncı Araştırma Dosyası,@211010301
211011701,Dev'in Yedinci Araştırma Dosyası,@211010301
211011801,Dev'in Sekizinci Araştırma Dosyası,@211010301
1958,Tapınak Duvarı,
1959,@1958,
1960,@1958,
1961,@1958,
1962,@1958,
1963,@1958,
1964,@1958,
1965,@1958,
1970,@1958,
1971,@1958,
1982,@1958,
2014,@1958,
2015,@1958,
2016,@1958,
2017,@1958,
2021,@1958,
2022,@1958,
2023,@1958,
2027,@1958,
2029,@1958,
2038,Kırmızı Bitki,Kırmızı Bitki Toplanıyor...
2039,Mavi Bitki,Mavi Bitki Toplanıyor...
2040,Mor Bitki,Mor Bitki Toplanıyor...
2041,Sarı Bitki,Sarı Bitki Toplanıyor...
2042,İsimsiz Bitki,İsimsiz Bitki Toplanıyor...
2043,Büyük Kırmızı Bitki,Büyük Kırmızı Bitki Toplanıyor...
2044,Büyük Mavi Bitki,Büyük Mavi Bitki Toplanıyor...
2045,Büyük Mor Bitki,Büyük Mor Bitki Toplanıyor...
2046,Büyük Sarı Bitki,Büyük Sarı Bitki Toplanıyor...
2047,İsimsiz Bitki,İsimsiz Bitki Toplanıyor...
2048,Sldr. Artışı,Küçük Sldr. Artışı
2049,Sldr. Hızı Artışı,Küçük Sldr. Hızı Artışı
2050,Svn. Artışı,Küçük Svn. Artışı
2051,Hız Artışı,Küçük Hız Artışı
2052,@2048,@2048
2054,@2049,@2049
2055,@2050,@2050
2057,@2051,@2051
2058,Maks Can Artışı,Küçük Maks Can Artışı
2059,Maks Mana Artışı,Küçük Maks Mana Artışı
2060,Aegis Kristali,
2061,@2060,
2062,@2060,
2063,Görünmez Duvar,
2064,@2063,
2065,@2063,
2066,@2063,
2067,Köprü,
2068,@2067,
2069,Kresous’un Kasa Duvarı,
2070,@2063,
2071,Yetenek Hasarı Artışı,Yetenek Hasarı Biraz Artar
2072,Yakın Dövüş Hasar Aurası,Yakın Dövüş Hasar Aurası Al
2073,Su Kristali Bariyeri,Su Kristali Hasardan Korunma
2074,Öfke Grubu,Sldr. ve Svn. Artışı
2075,@2048,@2048
2076,@2049,@2049
2077,@2048,@2048
2078,@2049,@2049
2080,@2051,@2051
3001,Can Yenileme,Can Yenileme
3002,@2051,Hız Artışı
3101,Freyja Heykeli,Freyja Heykeli oyuluyor...
3102,@3001,@3001
3103,@3001,@3001
3104,@2051,@3002
3105,@2051,@3002
3106,Freyja Frizi,
3107,@3106,
3501,Kargaşa Arenası Tapınağı,Tapınaktan enerji çekiliyor...
7001,Yönlendirici: Kale Kapısı Önü,
7002,Yönlendirici: Kale İçi,
7003,Yönlendirici: Başlangıç Noktası,
7010,Kuşatma Teçhizatı: Birinci,
7011,Kuşatma Teçhizatı: Birinci Koruma/Savaş,
7012,Kuşatma Teçhizatı: İkinci Koruma/Savaş,
7013,Kuşatma Teçhizatı: Köprü,
7014,@7013,
7015,@7013,
7016,@7013,
7017,Kuşatma Teçhizatı: Marlow,
7018,@7017,
7019,Kuşatma Teçhizatı: Geçit Savaşı,
7020,@7019,
7021,Kuşatma Teçhizatı: Merkez Kule,
7022,@7021,
30020101,Klan Zindanı Kuşatması: Elf Harabeleri,
30020301,Klan Zindanı Kuşatması: Karınca Yuvası,
30020302,@30020301,
30020501,Klan Zindanı: Cruma Çekirdeği Desteği,
30020502,Klan Zindanı Kuşatması: Cruma Çekirdeği,
10101,Dolmen Parçası,Parça alınıyor...
10102,@10101,@10101
10103,@10101,@10101
10104,@10101,@10101
10105,@10101,@10101
10106,@10101,@10101
10107,@10101,@10101
10108,@10101,@10101
10109,@10101,@10101
10110,@10101,@10101
10111,@10101,@10101
10112,@10101,@10101
10113,@10101,@10101
10114,@10101,@10101
10115,@10101,@10101
10116,@10101,@10101
10117,@10101,@10101
10118,@10101,@10101
10119,@10101,@10101
10120,@10101,@10101
10121,@10101,@10101
10122,@10101,@10101
10123,@10101,@10101
10124,@10101,@10101
10125,@10101,@10101
10126,@10101,@10101
10127,@10101,@10101
10128,@10101,@10101
10129,@10101,@10101
10130,@10101,@10101
10131,@10101,@10101
10132,@10101,@10101
10133,@10101,@10101
10134,@10101,@10101
10135,@10101,@10101
10201,Işık Huzmesi,
10202,@10201,
10301,Maltız,Yarasa eti pişiriliyor...
10401,Kedinanesi,Kedinanesi toplanıyor...
10402,@10401,@10401
10403,@10401,@10401
10404,@10401,@10401
10405,@10401,@10401
10406,@10401,@10401
10407,@10401,@10401
10408,@10401,@10401
10409,@10401,@10401
10410,@10401,@10401
10411,@10401,@10401
10412,@10401,@10401
10413,@10401,@10401
10414,@10401,@10401
10415,@10401,@10401
10416,@10401,@10401
10417,@10401,@10401
10418,@10401,@10401
10419,@10401,@10401
10420,@10401,@10401
10421,@10401,@10401
10422,@10401,@10401
10423,@10401,@10401
10501,Yadigarsız Sandık,Sandık İnceleniyor...
10601,Yabancı Pelerin,Pelerin inceleniyor...
10701,Feldheim'in Çantası,Çanta inceleniyor...
10901,Tuzağa Düşürülmüş Arkeologlar,Kafes açılıyor...
