Id,Text
1,Av
2,Görev
3,İksir Üret
4,Unutulmuş Parşömen Üret
5,Başarım
6,Dinlenme Ödülü
7,Hemen Tamamla
8,Arkadaşlık Puanı Dükkanı
9,Eşya Dükkanı
10,Tek Kullanımlıklar Dükkanı
11,Adena Dükkanı
12,Topaz Dükkanı
13,Özel Paketler
14,Sadakat Puanı Dükkanı
15,Elmas Yenile
16,Günlük Elmas
17,Giriş Paketi
18,Kuvvetlendirme Paketi
19,Elit Zindan
20,Günlük Zindan
21,Kibir Kulesi
22,Botanik Zindanı
23,Arena
24,Arkadaş
25,Klan Dükkanı
26,Klan Hediye Dükkanı
27,Klan Başarımı
28,Mavi Elmas Dükkanı
29,Klan Bağışı
30,Klan Üyelerini Selamla
31,Günlük Aktivite
32,Şerefli Savaş Alanı
33,Yiğitlik Meydanı
34,Antik Savaş Alanı
35,Klan Meydanı Görevi
36,"Normal, Adlandırılan"
37,Büyük Baş Düşman
38,Saha Baş Düşmanı
39,@20
40,Bağla
41,Parçala
42,Ekipman Zindanı
43,Adena Zindanı
44,Binek Zindanı
45,Klan Meydanı Yadigarı
46,Hazine Sandığı
47,Fetih Dükkanı
48,Kale Kuşatması Festivali
49,Parşömen Dükkanı
50,Etkinlikler
51,Yolculuk Etkinliği
52,Web Etkinliği
53,Giriş Ödülü
54,Yardım Eli Uzat
55,Kale Kuşatması
56,Şato Kuşatması
57,Öz Parçala
58,Ruh Kristali
59,Takas
60,Şato Fethi
61,Zaman Yarığı
62,정복자의 전당
63,Klan Zindanı
