Index,Name
1,Hücum Darbesi
2,@1
3,@1
4,@1
5,@1
6,@1
7,@1
8,@1
9,@1
10,@1
11,Güçlü Saplama
12,@11
13,@11
14,@11
15,@11
16,@11
17,@11
18,@11
19,@11
20,@11
21,@11
22,@11
23,@11
24,@11
25,@11
26,@11
27,@11
28,@11
29,@11
30,@11
31,Kılıç Hücumu
32,@31
33,@31
34,@31
35,@31
36,@31
37,Geri Adım
38,@37
39,@37
40,@37
41,Zincir Yılanı
42,Zıplama Saldırısı
43,@42
44,Kasırga Fırtınası
45,@44
46,Kara Nefes
47,@46
48,@44
49,@44
50,Örümcek Ağı
51,Hücum
52,@51
53,@51
54,@51
55,Vahşi Savurma
56,Kan Hücumu
57,@56
58,Marsha Hücumu
59,@58
60,Satiross Hücumu
61,@60
62,@37
63,@37
64,@37
65,@37
66,Ramog'u Merkez'e Götür
67,@66
68,@66
69,@66
70,@66
71,@66
72,@66
73,@66
74,@66
75,@66
76,@66
77,@66
78,Zaken'i Merkez'e Götür
