Id,EffectTypeName
11011,
11021,
11031,
11041,
11051,
11061,
11062,Sıradan Yere Yıkma
12011,
12021,
12031,
12041,
12051,
12061,
12062,@11062
13011,
13021,
13031,
13041,
13051,
13061,
13062,@11062
14011,
14021,
14031,
14041,
14051,
14061,
14062,@11062
21011,
21021,
21031,
21041,
21051,
21061,
21062,@11062
22011,
22021,
22031,
22041,
22051,
22061,
22062,@11062
23011,
23021,
23031,
23041,
23051,
23061,
23062,@11062
24011,
24021,
24031,
24041,
24051,
24061,
24062,@11062
31011,
31021,
31031,
31041,
31051,
31061,
31071,
31081,
31082,@11062
32011,
32021,
32031,
32041,
32051,
32061,
32071,
32081,
32082,@11062
33011,
33021,
33031,
33041,
33051,
33061,
33071,
33081,
33082,@11062
34011,
34021,
34031,
34041,
34051,
34061,
34071,
34081,
34082,@11062
41011,
41021,
41031,
41041,
41051,
41061,
41062,@11062
42011,
42021,
42031,
42041,
42051,
42061,
42062,@11062
43011,
43021,
43031,
43041,
43051,
43061,
43062,@11062
44011,
44021,
44031,
44041,
44051,
44061,
44062,@11062
51011,
51021,
51031,
51041,
51042,@11062
52011,
52021,
52031,
52041,
52042,@11062
53011,
53021,
53031,
53041,
53042,@11062
54011,
54021,
54031,
54041,
54042,@11062
61011,
61021,
61031,
61041,
61042,@11062
62011,
62021,
62031,
62041,
62042,@11062
63011,
63021,
63031,
63041,
63042,@11062
64011,
64021,
64031,
64041,
64042,@11062
111111,
111121,
111123,@11062
111131,
111133,Hücum Darbesi: Yere Yıkma
111211,
111221,
111223,@11062
111231,Güçlü Saplama
111234,Sıradan Sersemletme
111241,Güçlü Atış
111242,@11062
111251,İkili Atış
111311,Enerji Oku
111321,Alev Saldırısı
111331,Rüzgar Saldırısı
121111,
121121,
121123,@11062
121131,
121133,@111133
121211,
121221,
121223,@11062
121231,@111231
121234,@111234
121241,@111241
121242,@11062
121251,@111251
121311,@111311
121321,@111321
121331,@111331
131111,
131121,
131123,@11062
131131,
131133,@111133
131211,
131221,
131223,@11062
131231,@111231
131234,@111234
131241,@111241
131242,@11062
131251,@111251
131311,@111311
131321,@111321
131331,@111331
141111,
141121,
141123,@11062
141131,
141133,@111133
141211,
141221,
141223,@11062
141231,@111231
141234,@111234
141241,@111241
141242,@11062
141251,@111251
141311,@111311
141321,@111321
141331,@111331
112111,Yere Vurma
112113,Yere Vurma: Aggro
112114,@11062
112121,İntikam
112124,İntikam: Hedefe Kitlen
112125,@112124
112126,İntikam: Sldr. Düşürme
112131,"Haşmetli: Tehdit seviyesi yükseltme, F. Svn./M. Svn. Yükseltme, Kaçınma Düşürme"
112211,
112214,@11062
112221,Yıldırım Fırtınası
112231,Geniş Savuruş: Eş Zamanlı Saldırı Artışı
112311,Sldr.
112313,Kum Bulutu: Kör Etme (İsabet Azaltma)
112321,@112311
112323,Sersemlet
112331,Hızlandır: Sldr. Hızı Artışı
112332,Hızlandır: Kaçınma Artışı
112411,@112311
112412,Yere Yıkma
112421,Ok Yağmuru
112431,"Nişancı: Saldırı Menzili, Sldr., İsabet Artışı, Hareketsizlik"
112441,"Keskingöz: Kritik Artışı, Svn. Düşürme"
112511,Volkan
112521,Lav Topu
112531,Mana Desteği: Maks Mana Artışı
112532,Mana Desteği: Mana Yenileme
112611,Ulvi Ceza
112621,Büyük İyileştirme
112622,@112621
122111,@112311
122113,Mahkeme: Hedefe Kitlen
122114,@11062
122121,Eva’nın Lütfu
122131,Aegis Duruşu: Hasar Bağışıklığı
122132,Aegis Duruşu: Hız Artışı
122211,Sonik Ateşliyici
122221,Sonik Fırtına
122231,"Savaş Ritmi: Sldr., Svn. Artışı"
122241,Avcının Şarkısı: Grubun Krit. Oranını Artırır
122311,
122313,Hız Düşürme
122321,
122323,Kılıç Kasırgası: Sldr. Hızı Düşürme
122331,"Ova Yürüyen: Sldr. Hızı., Hız Artışı"
122412,Ölümcül Atış
122413,@112323
122421,Çift Geniş Atış
122431,Akıl Gözü: Yüksek Krit. Artış Oranı
122441,Çift Hızlı Adım: Yüksek Hız Artışı
122511,Buz Mızrağı
122521,
122523,Kar Fırtınası: Yavaşlatma
122524,Kar Fırtınası: Sersemletme
122611,Kutsal Ateş
122613,@122611
122615,Kutsal Ateş: Alınan Hasar Artışı
122621,Restorasyon
122631,Zihin Yenilenmesi: Grubun Bekleme Sürelerini Azaltır
122632,Zihin Yenilenmesi: Zayıflatma Kaldırır
122641,"Grup Savunması Güçlendirme, F. ve B."
132111,
132112,"Can Emme: Svn. Düşürme, Aggro"
132113,Can Çalma Oranı
132121,@112311
132123,Çekme
132125,Zincir Yılanı: Sersemletme
132126,Zincir Yılanı: Kışkırtma Bağışıklığı
132131,"Mutlak Savunma: Yüksek F. Svn. & B. Svn. Artışı, Hareketsizlik"
132132,@132131
132211,
132213,@11062
132221,
132222,Kasırga Fırtınası: Yavaşlatma
132223,Kasırga Fırtınası: Hız Artışı
132231,Savaşçı'nın Dansı: Grubun F. Sldr.'lerini Artırır
132241,Öfke Dansı: Grubun Sldr.'lerini Hızını Artırır
132311,İğne
132312,İğne: Svn. Delme Hasarı
132313,İğne: Bonus Kanama Hasarı
132321,
132322,Jilet Yağmuru: Kanama
132323,Jilet Yağmuru: Sersemletme
132331,Acımasız Duruş: Krit. Hasarı Yükseltme
132332,Acımasız Duruş: %100 Krit. Oranı
132411,Ölümcül İğne
132421,Sersemletme Atışı
132422,@112323
132431,"Seriatak: Sldr. Hızı Artışı, Saldırı Menzili Düşürme"
