Id,Value,ButtonString1,ButtonString2
1,[ChatString],,
2,Sunucuya tekrar bağlandın.,,
3,Bir grup oluşturuldu.,,
4,Gruba katıldın.,,
5,<FontGreen>[Name]</> gruba katıldı.,,
6,Gruptan ayrıldın.,,
7,<FontGreen>[Name]</> gruptan ayrıldı.,,
8,Gruptan atıldın.,,
9,<FontGreen>[Name]</> gruptan atıldı.,,
10,Grubun lideri sen oldun.,,
11,<FontBlue>[Name]</> grup lideri olarak seçildi.,,
12,Grup dağıtıldı.,,
13,"<FontGreen>[Name]</> seni grubuna davet etti.
Gruba katılacak mısın? <FontRed>[Seconds]</> sn",Reddet,Katıl
14,Gruba katılmayı reddettin.,,
15,"Gruba katılmak isteyen birisi var.
Onaylıyor musun? <FontRed>[Seconds]</>sn.",@13,Kabul Et
16,Oto-Grup iptal edildi.,,
17,"Konum : <FontGreen>[DungeonName]</><FontRed>([Difficulty])</>
<FontBlue>[Name]</> maceraya başlamak istiyor. Hazır mısın? <FontRed>[Seconds]</>sn",@13,Kabul Et
18,"Konum: <FontGreen>[DungeonName]</> <FontRed>([Difficulty])</>
<FontRed>[Seconds]</> saniye içinde <FontGreen>[DungeonName]</> <FontRed>([Difficulty])</> zorluğuna gireceksin.
Savaşa hazırlan!",,
19,"Konum: <FontGreen>[WorldName]</>
<FontBlue>[Name]</> seni yanına çağırıyor.
Çağrıyı kabul ediyor musun? <FontRed>[Seconds]</> sn",Yürüyerek,Geçit ile
20,@19,Kapat,Gir
21,"Konum: <FontGreen>[WorldName]</>
Grubun toplandığı yere gidilsin mi? <FontRed>[Seconds]</> sn",@19,@19
22,@21,@20,@20
23,"<FontYellow>[Battlefield]</> grubu oluşturuldu.
Savaş alanına <FontBlue>tek başına</> gir veya diğer oyuncularla <FontBlue>savaş alanı grubu</> olarak gir.",,
24,<FontYellow>[Battlefield]</> grubuna katıldın.,,
25,"<FontGreen>[Name]</>, <FontYellow>[Battlefield]</> grubuna katıldı.",,
26,<FontYellow>[Battlefield]</> grubu dağıtıldı.,,
27,"<FontYellow>[Battlefield]</>, gruptan ayrıldı.",,
28,"<FontGreen>[Name]</>, <FontYellow>[Battlefield]</> grubundan ayrıldı.",,
