Key,Value
ACCOUNT_CONFINE,此账户已被封锁
ACHIEVEMENT,成就
ACHIEVEMENT_CLEAR_ASSETS,达成资源成就！
ACHIEVEMENT_CLEAR_BATTLE,达成战斗成就！
ACHIEVEMENT_CLEAR_DAILY,达成每日成就！
ACHIEVEMENT_CLEAR_GROWTH,达成成长成就！
ACHIEVEMENT_CLEAR_ITEM,达成装备成就！
ACHIEVEMENT_CLEAR_MONTHLY,达成每月成就！
ACHIEVEMENT_CLEAR_SOCIAL,达成社群成就！
ACHIEVEMENT_CLEAR_WEEKLY,达成每周成就！
ACHIEVEMENT_LEVELREWARD_ERROR,已领取成就等级补给品
ACHIEVEMENT_POINT,成就分数
ADENA_LOOTED,获得[Adena]金币
SIEGE_FESTIVAL_TICKET_LOOTED,获得了[Value]张攻城战庆典票劵
ADENA_NOT_ENOUGH,金币不足
AHIEVEMENT_HEROIC_WAY,英雄之路
APP_VERSION_UNDER_MIN,使用的版本低于最低版本限制。
APP_VERSION_UNDER_LATEST,"已有最新版本。
要开始下载吗？"
ARMOR_TYPE_HEAVY,重甲
ARMOR_TYPE_LIGHT,轻甲
ARMOR_TYPE_ROBE,长袍
ASSETS_ACQUIRE_FROM_GUILD_GREETING,向[MemberCount]名血盟成员问候获得了血盟铸币<FontYellow>[AssetCount]</>
ASSETS_ACQUIRE_FROM_RECEIVE_GUILD_GREET,接受[MemberCount]名血盟成员的问候获得了金币<FontYellow>[AssetCount]</>
ATTENDANCE_NO_MORE_REWARD,没有可以继续领取的奖励
ATTENDANCE_REWARD_SENT_TO_MAILBOX,第[Param1]日奖励发送至邮箱
AUCTION_COST,费用
AUCTION_ESTIMATED_TIME,预计登记[Time]
AUCTION_GROUP_ACCESSORY,饰品
AUCTION_GROUP_ARMOR,防具
AUCTION_GROUP_ELIXIR,灵药/药水材料
AUCTION_GROUP_ENCHANT,强化材料
AUCTION_GROUP_EquipmentCraft,制作材料
AUCTION_GROUP_ETC,其他
AUCTION_GROUP_MONSTERCORE,怪物核心
AUCTION_GROUP_SKILLBOOK,技能书/书页
AUCTION_GROUP_SOULSTONE,附魂石
AUCTION_GROUP_USEITEM,消耗品
AUCTION_GROUP_WEAPON,武器
AUCTION_GROUP_PET,骑乘宠物
AUCTION_HOUSE,交易所
AUCTION_HOUSE_CATEGORY,范围
AUCTION_HOUSE_EQ_ITEM_SELL,确定要以[Cost]钻石登记[Name]{[Name]|}吗？
AUCTION_HOUSE_FAVORITE_SELLCANCEL,出售取消
AUCTION_HOUSE_FAVORITE_SELLCOMPLETE,出售完成
AUCTION_HOUSE_FAVORITE_SELLFAILED,到期
AUCTION_HOUSE_FAVORITE_SELLING,登记中
AUCTION_HOUSE_FAVORITE_WAITING,等待登记
AUCTION_HOUSE_GRADE,阶级
AUCTION_HOUSE_GRADE_C,C
AUCTION_HOUSE_GRADE_A,A
AUCTION_HOUSE_GRADE_B,B
AUCTION_HOUSE_GRADE_R,R
AUCTION_HOUSE_GRADE_S,S
AUCTION_HOUSE_GRADE_SR,SR
AUCTION_HOUSE_ITEM_BUY,确定要以[Cost]钻石购买[Name]{[Name]|}吗？
AUCTION_HOUSE_ITEM_FAVORITE,确定要登记为我的最爱吗？
AUCTION_HOUSE_ITEM_FAVORITE_CANCEL,确定要取消登记我的最爱吗？
