Id,Name
11222,怒雷风暴
11242,鹰眼
11251,术士
11261,主教
12212,圣殿骑士
12251,咒术诗人
12261,长老
13252,狂咒术士
14262,贤者
30005,极光雷电之地
30007,毒虫
30012,陨石风暴
60096,火焰气息
60097,说话之岛巴力斯
60100,黑暗回旋边界
60115,金色火焰气息
60162,金色火焰气息(地狱)
71032,@60100
71072,@60096
71073,巴力斯技能02
71472,@60096
73012,梦靥
73032,OrfenBossSkill_02
74031,图腾撞击
74032,召唤光明
74051,毒坑
74062,@11222
74071,毒气的沼泽
74131,玛夏之毒
74132,梅杜莎的诅咒
720231,释放贺尔蒙
1720231,@720231
1504021,哈汀极光雷电之地
7204311,时间重置
7204321,@7204311
7204331,@7204311
601252,仙女皇后劳拉技能02
601451,DarkAssociation_M_HighSkill_02
741352,玛夏: 刀锋狂风
8010441,附近伤害光晕
805000,队伍副本首领范围技能(Circle)
805001,队伍副本首领范围技能(Fan)
805002,队伍副本首领范围技能(Obb)
805003,队伍副本首领范围技能(Donut)
72040,毁灭之坑
1720223,毒之坑
17203181,剧毒
411004,腐蚀酸液
412004,@411004
413004,@411004
413012,涌出的血
413023,血之洪流：海浪
414004,@411004
414012,@413012
414023,@413023
74113,摩洛克斯 : 巨石打击
30015,防御地带
401023,烈焰地带
401008,拉莫格亲卫队炸弹兵：投掷炸弹
401016,疯狂自爆兵：自爆
401210,帕格立欧大爆炸
4011021,火种爆炸：烈焰地带
2000001,烟花1
2000002,烟花2
2000003,烟花3
2000004,烟花4
2000005,烟花5
2000006,烟花6
730212,波涛
731351,札肯海盗团炮兵
731401,札肯海盗团战士
