Id,Title,Desc
31001,完成章节,通关第<RedBold>1-2</>章
31002,升级装备,尝试升级<RedBold>[Value]次</>装备（[Value1]/[Value2]）
31003,@31001,通关第<RedBold>1-5</>章
31004,战斗力,最高战斗力达到<RedBold>[Value]</>（[Value1]/[Value2]）
31005,角斗场,"挑战<RedBold>[Value]次</>角斗场
（[Value1]/[Value2]）"
31006,获得装备,"获得<RedBold>[Value]件</>装备
（[Value1]/[Value2]）"
31007,技能升级,"升级<RedBold>[Value]次</>技能
（[Value1]/[Value2]）"
31008,@31002,@31002
31009,成就分数,成就分数达到<RedBold>[Value]分</>（[Value1]/[Value2]）
31010,血盟签到,"在血盟签到<RedBold>[Value]次</>
（[Value1]/[Value2]）"
31011,血盟捐赠,"在血盟捐献<RedBold>[Value]次</>
（[Value1]/[Value2]）"
31012,血盟商店,购买<RedBold>[Value]次</>血盟增益（[Value1]/[Value2]）
31013,挑战傲慢之塔,挑战<RedBold>[Value]次</>傲慢之塔（[Value1]/[Value2]）
31014,扫荡傲慢之塔,扫荡<RedBold>[Value]次</>傲慢之塔（[Value1]/[Value2]）
31015,魔纹刻印,尝试<RedBold>[Value]次</>魔纹刻印（[Value1]/[Value2]）
31016,装备合成,"合成<RedBold>[Value]次</>装备
（[Value1]/[Value2]）"
31017,@31001,通关第<RedBold>1-11</>章
31018,装备进阶,尝试<RedBold>[Value]次</>装备进阶([Value1]/[Value2]）
31019,每日任务,完成<RedBold>[Value]次</>每日任务（[Value1]/[Value2]）
31020,@31015,成功刻印魔纹<RedBold>[Value]次</>（[Value1]/[Value2]）
31021,@31004,@31004
31101,完成每周任务,"通关每周任务<RedBold>[Value]次</>
([Value1]/[Value2]）"
31102,装备强化,"强化<RedBold>[Value]次</>装备
（[Value1]/[Value2]）"
31103,@31016,@31016
31104,精英狩猎场,完成<RedBold>[Value]个</>精英狩猎场任务（[Value1]/[Value2]）
31105,消灭精灵废墟地下1层怪物,在精灵废墟地下1层消灭<RedBold>[Value]只</>怪物（[Value1]/[Value2]）
31106,获得怪物精魄,获得<RedBold>[Value]个</>怪物精魄（[Value1]/[Value2]）
31107,登记怪物精魄,"登记<RedBold>[Value]个</>
([Value1]/[Value2]）"
31108,通关水晶守卫战,通关<RedBold>[Value]次</>水晶守卫战（[Value1]/[Value2]）
31109,傲慢之塔,通关<RedBold>[Value]层</>傲慢之塔（[Value1]/[Value2]）
31110,@31018,@31018
31111,@31001,通关第<RedBold>3-5</>章
31112,@31105,@31105
31113,@31015,@31020
31114,@31007,@31007
31115,@31109,@31109
31116,孢子秘境,在孢子秘境中采集<RedBold>[Value2]次</>药草（[Value1]/[Value2]）
31117,制作魔药,"制作<RedBold>[Value]次</>魔药
([Value1]/[Value2]）"
31118,进阶附魂石,"尝试进阶<RedBold>[Value]次</>附魂石
([Value1]/[Value2]）"
31119,@31001,通关第<RedBold>4-4</>章
31120,达成等级,达成<RedBold>31</>级（[Value1]/[Value2]）
31121,完成转职,<RedBold>完成转职</>
31201,@31101,@31101
31202,@31104,@31104
31203,@31019,@31019
31204,通关精灵圣殿,通关<RedBold>[Value]次</>每日副本（[Value1]/[Value2]）
31205,@31007,@31007
31206,@31013,@31013
31207,@31011,@31011
31208,@31108,@31108
31209,消灭蚂蚁洞窟地下1层怪物,在蚂蚁洞窟地下1层消灭<RedBold>[Value]个</>只怪物（[Value1]/[Value2]）
31210,@31107,@31107
31211,@31002,@31002
31212,@31116,@31116
31213,黄金巢穴,"通关<RedBold>[Value]次</>黄金巢穴
（[Value1]/[Value2]）"
31214,@31117,@31117
31215,@31014,@31014
31216,@31005,@31005
31217,@31018,@31018
31218,@31015,@31020
31219,@31209,@31209
31220,@31102,@31102
31221,@31118,@31118
31301,@31120,达到<RedBold>50</>级（[Value1]/[Value2]）
31302,通关召唤石副本,通关<RedBold>[Value]次</>召唤石副本（[Value1]/[Value2]）
31303,穿戴骑宠装备,"使骑宠<RedBold>穿戴装备</>
（[Value1]/[Value2]）"
31304,升级骑宠装备,尝试<RedBold>升级[Value]次骑宠装备</>（[Value1]/[Value2]）
31305,使用养成石,"对骑宠使用<RedBold>[Value]次</>养成石
（[Value1]/[Value2]）"
31306,强化骑宠装备,强化<RedBold>[Value]次</>骑宠装备（[Value1]/[Value2]）
31307,达到骑宠等级,"骑宠达到<RedBold>[Value]</>级
（[Value1]/[Value2]）"
31308,进阶骑宠,使骑宠进阶<RedBold>[Value]次</>（[Value1]/[Value2]）
31309,@31302,@31302
31310,获得骑宠装备,获得<RedBold>[Value]个</>精良以上骑宠装备（[Value1]/[Value2]）
31311,@31304,@31304
31312,@31305,@31305
31313,@31306,@31306
31314,@31307,@31307
31315,@31305,@31305
31316,@31302,@31302
31317,@31310,获得<RedBold>[Value]个</>史诗以上骑宠装备（[Value1]/[Value2]）
31318,@31304,@31304
31319,@31305,@31305
31320,@31306,@31306
31321,@31310,获得<RedBold>[Value]个</>完美以上骑宠装备（[Value1]/[Value2]）
32001,@31204,@31204
32002,@31014,@31014
32003,@31116,@31116
32004,@31108,@31108
32005,@31213,@31213
32006,经验值副本,通关<RedBold>[Value]次</>经验值副本([Value1]/[Value2])
32007,@31302,@31302
32008,@31019,@31019
32009,@31101,@31101
32010,@31015,@31020
32011,@31002,@31002
32012,@31102,@31102
32013,@31007,@31007
32014,@31117,@31117
32015,@31204,@31204
32016,@31014,@31014
32017,@31116,@31116
32018,@31108,@31108
32019,@31213,@31213
32020,@32006,@32006
32021,@31302,@31302
