Id,Name,TypeDesc,LimitDesc,UsingDesc,ReplaceString1,ReplaceString2,Desc
1021,恶魔灵魂石：札肯,消耗品,,"可以从秘密森林下层怪物身上获得，组合100个可以获得“恶魔卷轴：札肯”。
“恶魔卷轴：札肯”是达到230级后可以进行的支线任务卷轴。",,,
1022,恶魔卷轴：札肯,@1021,,"可以获得“决战之徽：札肯”的支线任务卷轴。
使用“决战之徽：札肯”可以进入札肯的海盗船。","执行区域：奇岩领地
等级限制：230",,
1023,决战之徵：札肯,@1021,,"发誓消灭札肯之人的标志。
可以进入札肯的海盗船。",,,
10001,春意盎然的新芽,药水,,"春意盎然的新芽。
于活动菜单中购买道具时使用。",,,10分钟内防御力会增加2000。
10002,新芽保管箱,@1021,,"安全保管新芽的箱。
开箱即可获得新芽30个。",,,使用获得的道具将无法进行交易
10003,追加完成券,活动,,即使在艾尔美的培训所用完今日完成次数也可额外增加完成的票券。可于活动菜单使用。,,,
10004,做得好,@10001,,优秀的血盟成员！于活动菜单购买道具时使用。,,,10分钟内攻击力会增加1500。
10005,做得好印鉴保管箱,@1021,,"安全保管做得好印鉴的箱子。
开箱即可获得30个印鉴。",,,@10002
10006,西瓜,@10001,,"凉爽的时令西瓜。十分解渴。
进入竞技场后可在邮箱获得。",,,10分钟HP增加3000。
10007,葡萄,@10001,,香气四溢的当季葡萄。含有丰富的铁质，可预防贫血。扫荡傲慢之塔时，可通过邮箱获得。,,,10分钟暴击伤害增加3%。
10008,香瓜,@10001,,香甜的香瓜。含有丰富的维生素C，对肌肤很好。召唤石副本入场时可通过邮箱获得。,,,@10001
10009,覆盆子,@10001,,覆盆子的味道和营养是夏日圣品。真的很好，很难解释它究竟有多好。每日副本过关时可通过邮箱获得。,,,@10004
10010,夏季时令水果箱,@1021,,"装有夏季时令水果的箱子。
开箱后可获得西瓜，葡萄，香瓜，覆盆子其中之一。
在采集副本中采集药草时可获得。",,,
10033,松针,@1021,,富含植物杀菌素，散发松香的松针。是制作松饼的必需材料。,,,
10034,天然蜂蜜,@1021,,富含矿物质和维生素等营养成分的天然蜂蜜。可以用来制作味道香甜的蜂蜜松饼。,,,
10035,有机米粉,@1021,,把伴随蚂蚱一同生长的有机大米细细地研磨而成的米粉。是制作松饼的必需材料。,,,
10036,芝麻,@1021,,喷香美味的芝麻。加入蜂蜜松饼之中，寻求甜蜜与香气的完美平衡。,,,
10037,秋夜,@1021,,熟透的秋日夜晚，美味又营养丰富。是制作夜松饼的主要材料。,,,
510107,夜空烟花,@1021,,可以把白日装点成夜空的烟花。,使用后可以看到美丽的烟花。,,
510108,银河烟花,@1021,,可以让你看见满天小星星的银河烟花。,@510107,,
510109,恭喜发财烟花,@1021,,传达恭喜发财的祝福的烟花。,@510107,,
510110,我爱你烟花,@1021,,专为恋人们准备，使告白成功率提升至100%的特别烟花。,@510107,,
510111,血盟更名券,@1021,,可以修改血盟名称、,,,
510112,万圣节糖果烟花,@1021,,会炸出美味糖果的万圣节烟花。,@510107,,
510113,万圣节快乐烟花,@1021,,祝你度过一个愉快的万圣节的烟花。,@510107,,
110010,瑟鲁基长剑,剑盾,,能同时提升攻击力与与防御力的武器。,,,
110011,@110010,@110010,,@110010,,,
110012,@110010,@110010,,@110010,,,
110013,@110010,@110010,,@110010,,,
110014,@110010,@110010,,@110010,,,
110015,@110010,@110010,,@110010,,,
110016,@110010,@110010,,@110010,,,
110020,革命剑,@110010,,@110010,,,
110021,@110020,@110010,,@110010,,,
110022,@110020,@110010,,@110010,,,
110023,@110020,@110010,,@110010,,,
110024,@110020,@110010,,@110010,,,
110025,@110020,@110010,,@110010,,,
110026,@110020,@110010,,@110010,,,
110030,王朝剑,@110010,,@110010,,,
110031,@110030,@110010,,@110010,,,
110032,@110030,@110010,,@110010,,,
110033,@110030,@110010,,@110010,,,
110034,@110030,@110010,,@110010,,,
110035,@110030,@110010,,@110010,,,
110036,@110030,@110010,,@110010,,,
110043,潜能之剑,@110010,,@110010,,,
110044,@110043,@110010,,@110010,,,
110045,@110043,@110010,,@110010,,,
110046,@110043,@110010,,@110010,,,
110053,风暴使者,@110010,,@110010,,,
110054,风暴使者,@110010,,@110010,,,
110055,风暴使者,@110010,,@110010,,,
120010,长枪,枪矛,,以可增加攻击范围为特色的武器。,,,
120011,@120010,@120010,,@120010,,,
120012,@120010,@120010,,@120010,,,
120013,@120010,@120010,,@120010,,,
120014,@120010,@120010,,@120010,,,
120015,@120010,@120010,,@120010,,,
120016,@120010,@120010,,@120010,,,
120020,蝎尾鞭,@120010,,@120010,,,
120021,@120020,@120010,,@120010,,,
120022,@120020,@120010,,@120010,,,
120023,@120020,@120010,,@120010,,,
120024,@120020,@120010,,@120010,,,
120025,@120020,@120010,,@120010,,,
120026,@120020,@120010,,@120010,,,
120030,巨斧,@120010,,@120010,,,
120031,@120030,@120010,,@120010,,,
120032,@120030,@120010,,@120010,,,
120033,@120030,@120010,,@120010,,,
120034,@120030,@120010,,@120010,,,
120035,@120030,@120010,,@120010,,,
120036,@120030,@120010,,@120010,,,
120043,毁灭之枪,@120010,,@120010,,,
120044,@120043,@120010,,@120010,,,
120045,@120043,@120010,,@120010,,,
120046,@120043,@120010,,@120010,,,
120053,兽人阔剑,@120010,,@120010,,,
120054,兽人阔剑,@120010,,@120010,,,
120055,兽人阔剑,@120010,,@120010,,,
130010,双瑟鲁基长剑,二刀流,,能施展大量连击的武器。,,,
130011,@130010,@130010,,@130010,,,
130012,@130010,@130010,,@130010,,,
130013,@130010,@130010,,@130010,,,
130014,@130010,@130010,,@130010,,,
130015,@130010,@130010,,@130010,,,
130016,@130010,@130010,,@130010,,,
130020,双革命剑,@130010,,@130010,,,
130021,@130020,@130010,,@130010,,,
130022,@130020,@130010,,@130010,,,
130023,@130020,@130010,,@130010,,,
130024,@130020,@130010,,@130010,,,
130025,@130020,@130010,,@130010,,,
130026,@130020,@130010,,@130010,,,
130030,双王朝剑,@130010,,@130010,,,
130031,@130030,@130010,,@130010,,,
130032,@130030,@130010,,@130010,,,
130033,@130030,@130010,,@130010,,,
130034,@130030,@130010,,@130010,,,
130035,@130030,@130010,,@130010,,,
130036,@130030,@130010,,@130010,,,
130043,双潜能之剑,@130010,,@130010,,,
130044,@130043,@130010,,@130010,,,
130045,@130043,@130010,,@130010,,,
130046,@130043,@130010,,@130010,,,
130053,双风暴使者,@130010,,@130010,,,
130054,双风暴使者,@130010,,@130010,,,
130055,双风暴使者,@130010,,@130010,,,
140010,厄运匕首,匕首,,能快速进行攻击的武器。,,,
140011,@140010,@140010,,@140010,,,
140012,@140010,@140010,,@140010,,,
140013,@140010,@140010,,@140010,,,
140014,@140010,@140010,,@140010,,,
140015,@140010,@140010,,@140010,,,
140016,@140010,@140010,,@140010,,,
140020,黑暗狂啸者,@140010,,@140010,,,
140021,@140020,@140010,,@140010,,,
140022,@140020,@140010,,@140010,,,
140023,@140020,@140010,,@140010,,,
140024,@140020,@140010,,@140010,,,
140025,@140020,@140010,,@140010,,,
140026,@140020,@140010,,@140010,,,
140030,水晶匕首,@140010,,@140010,,,
140031,@140030,@140010,,@140010,,,
140032,@140030,@140010,,@140010,,,
140033,@140030,@140010,,@140010,,,
140034,@140030,@140010,,@140010,,,
140035,@140030,@140010,,@140010,,,
140036,@140030,@140010,,@140010,,,
140043,赛佛勒斯之刃,@140010,,@140010,,,
140044,@140043,@140010,,@140010,,,
140045,@140043,@140010,,@140010,,,
140046,@140043,@140010,,@140010,,,
140053,惊爆匕首,@140010,,@140010,,,
140054,惊爆匕首,@140010,,@140010,,,
140055,惊爆匕首,@140010,,@140010,,,
150010,冰晶弓,弓,,射程距离为远程的武器。,,,
150011,@150010,@150010,,@150010,,,
150012,@150010,@150010,,@150010,,,
150013,@150010,@150010,,@150010,,,
150014,@150010,@150010,,@150010,,,
150015,@150010,@150010,,@150010,,,
150016,@150010,@150010,,@150010,,,
150020,风暴弓,@150010,,@150010,,,
150021,@150020,@150010,,@150010,,,
150022,@150020,@150010,,@150010,,,
150023,@150020,@150010,,@150010,,,
150024,@150020,@150010,,@150010,,,
150025,@150020,@150010,,@150010,,,
150026,@150020,@150010,,@150010,,,
150030,阿卡特长弓,@150010,,@150010,,,
150031,@150030,@150010,,@150010,,,
150032,@150030,@150010,,@150010,,,
150033,@150030,@150010,,@150010,,,
150034,@150030,@150010,,@150010,,,
150035,@150030,@150010,,@150010,,,
150036,@150030,@150010,,@150010,,,
150043,朱比特,@150010,,@150010,,,
150044,@150043,@150010,,@150010,,,
150045,@150043,@150010,,@150010,,,
150046,@150043,@150010,,@150010,,,
150053,精灵弓,@150010,,@150010,,,
150054,精灵弓,@150010,,@150010,,,
150055,精灵弓,@150010,,@150010,,,
160010,恶魔魔杖,魔杖,,具有强大魔法攻击力的武器。,,,
160011,@160010,@160010,,@160010,,,
160012,@160010,@160010,,@160010,,,
160013,@160010,@160010,,@160010,,,
160014,@160010,@160010,,@160010,,,
160015,@160010,@160010,,@160010,,,
160016,@160010,@160010,,@160010,,,
160020,生命魔杖,@160010,,@160010,,,
160021,@160020,@160010,,@160010,,,
160022,@160020,@160010,,@160010,,,
160023,@160020,@160010,,@160010,,,
160024,@160020,@160010,,@160010,,,
160025,@160020,@160010,,@160010,,,
160026,@160020,@160010,,@160010,,,
160030,火龙之首,@160010,,@160010,,,
160031,@160030,@160010,,@160010,,,
160032,@160030,@160010,,@160010,,,
160033,@160030,@160010,,@160010,,,
160034,@160030,@160010,,@160010,,,
160035,@160030,@160010,,@160010,,,
160036,@160030,@160010,,@160010,,,
160043,黑暗深渊,@160010,,@160010,,,
160044,@160043,@160010,,@160010,,,
160045,@160043,@160010,,@160010,,,
160046,@160043,@160010,,@160010,,,
160053,世界树的树枝,@160010,,@160010,,,
160054,世界树的树枝,@160010,,@160010,,,
160055,世界树的树枝,@160010,,@160010,,,
170014,@110010,@160010,,@160010,,,
210010,蓝狼头盔,重甲,,能提升防御力的装备。,,,
210011,@210010,@210010,,@210010,,,
210012,@210010,@210010,,@210010,,,
210013,@210010,@210010,,@210010,,,
210014,@210010,@210010,,@210010,,,
210015,@210010,@210010,,@210010,,,
210016,@210010,@210010,,@210010,,,
220010,蓝狼盔甲,@210010,,@210010,,,
220011,@220010,@210010,,@210010,,,
220012,@220010,@210010,,@210010,,,
220013,@220010,@210010,,@210010,,,
220014,@220010,@210010,,@210010,,,
220015,@220010,@210010,,@210010,,,
220016,@220010,@210010,,@210010,,,
230010,蓝狼手套,@210010,,@210010,,,
230011,@230010,@210010,,@210010,,,
230012,@230010,@210010,,@210010,,,
230013,@230010,@210010,,@210010,,,
230014,@230010,@210010,,@210010,,,
230015,@230010,@210010,,@210010,,,
230016,@230010,@210010,,@210010,,,
240010,蓝狼长靴,@210010,,@210010,,,
240011,@240010,@210010,,@210010,,,
240012,@240010,@210010,,@210010,,,
240013,@240010,@210010,,@210010,,,
240014,@240010,@210010,,@210010,,,
