Id,Value
1,[Param1]加入血盟
2,[Param1]退出血盟
3,[Param1]的阶级变成了[Param2]
4,[Param1]被任命为新的盟主
5,血盟的等级变成[Param1]
6,已与[Param1]血盟缔结同盟
7,已与[Param1]血盟解除同盟
8,[Param1]给[Param2]奖励
9,[Param1]给所有血盟成员奖励
10,已成功攻略[Param1]
11,请更新[Param1]的投标金额！
12,已延长[Param1]的投标
13,[Param1] 血盟的攻城阵营正遭受攻击
14,[Param1] 血盟的攻城阵营已被破坏
15,攻城战开始后，庆典票券将全部重置。 请快去抽商品券。
16,[Time][Param1]已登录
17,由于前盟主长期未登录，已任命[Param1]为盟主。
18,下个增益将在[Param1]秒后生效。
19,[Param1]击杀[Param2]
20,蓝队获得了[Param1]{[Param1]|}
21,红队获得了[Param1]{[Param1]|}
22,[Param1]达成连续击杀[Param2]！
23,[Param1]血盟的[Param2]达成连续击杀[Param3]！
24,名誉战场已开启。赶紧一起加入战场吧!
25,[Param1]分之后，名誉战场就要开始了。赶紧准备战斗吧!
26,勇猛战场已开启了。一起加入战场吧!
27,[Param1]分之后勇猛战场就要开始啰。赶紧准备战斗吧!
28,[Param1]给与[Param2]包含在内总[Param3]名奖励
