Id,PlaceName
1,生机勃勃的关口
2,巨石棚遗址
3,说话之岛村庄
4,崩坏的胜利之地
5,战胜纪念塔
6,临时防御基地
7,安赫班特魔法学院
8,风之森林
9,残留的精灵森林
10,西部边境哨所
11,精灵废墟
12,古鲁丁港口
13,古鲁丁村庄
14,风车的平原
15,沉默的墓地
16,掠夺者的巢穴
17,古鲁丁城村庄
18,魔物扫荡地
19,遭到掠夺的农耕地
20,雄性蜥蜴人栖息地
21,土瑞克兽人野营地
22,帕米尔湖
23,古鲁丁城外围
24,古鲁丁城
25,温达伍德废墟
26,激战地
27,堕落的精灵圣所
28,土瑞克兽人兵营
29,尘风峡谷
30,不毛之地
31,史坦瑞斯兵营
32,赤岩棱线
33,狄恩城外围
34,狄恩城村庄
35,伐木地
36,狄恩开垦地
37,避难处
38,狄恩牧草地
39,阴森之地
40,遗迹调查团帐篷
41,遗迹挖掘地
42,沼泽地
43,克鲁玛高塔入口
44,树荫沼泽地
45,寂静的森林
46,豺狼据点
47,塔诺前哨基地
48,纷争地区
49,曼陀罗草栽培地
50,刑场
51,苦痛的城堡
52,崩坏的城堡
53,焚烧场
54,奇岩城村庄
55,哥肯的花园
56,奇岩城外围
57,歌唱森林
58,朗克蜥蜴人兵营
59,寂静的空地
60,奇岩城
61,贸易路
62,亡者海岸
63,巨人们的森林
64,奇岩港口
65,豺狼盗贼群巢穴
66,巨人祭坛
67,海风沼泽地
68,黄金洞穴
69,怨恨之坑
70,布赖卡兽人巢穴
71,死亡回廊
72,死亡峡谷
73,猎人之谷
74,欧瑞城村庄
75,欧瑞城外围
76,蜥蜴沼泽地
77,提玛克前哨基地
78,愤怒的塔诺高原
79,崩塌的结界
80,孢子之海
81,魔女的森林
82,无法者的森林
83,魔道的森林
84,提玛克兽人兵营
85,象牙塔喷火口
90,邪恶裂缝
91,绝望的要塞
92,猎人的坟墓
93,龙族之地
94,安塔瑞斯的洞穴入口
95,精灵废墟地下1楼
96,精灵废墟地下2楼
97,蚂蚁洞窟地下1楼
98,蚂蚁洞窟地下2楼
99,克鲁玛高塔2楼
100,克鲁玛高塔3楼
101,象牙塔地下1楼
102,象牙塔地下2楼
103,象牙塔地下3楼
104,象牙塔地下研究所
105,秘密树林上层
106,秘密树林下层
107,秘密树林屠杀者
1001,巴勒凯伦的痕迹
1002,巨蚁女王的洞穴
1003,象牙塔地下1楼
30000004,古鲁丁港口
30000005,地下室
30000006,魔物召唤石内部
30000007,异空间
30000008,克鲁玛高塔2楼
30000009,札肯的深渊
30000010,札肯的深渊
30000011,鲜血之王的领地
30000012,克鲁玛高塔3楼
