Id,Name
11131,能量弹
11125,连环箭
11132,火焰狂袭
11133,狂风之击
12131,@11131
12125,@11125
12132,@11132
12133,@11133
13131,@11131
13125,@11125
13132,@11132
13133,@11133
14131,@11131
14125,@11125
14132,@11132
14133,@11133
11252,火焰球
12221,波动冲击
12222,波动风暴
12242,二连矢
12251,冰锥术
13241,死之螯针
30004,血之弓箭
30006,飞弹箭
31003,巨型猛击
50001,怪物：火焰球
50002,怪物：冰枪
50003,怪物：大地魔法
50004,怪物：风魔法
50005,怪物：黑暗魔法
50006,怪物：能量弹
50007,怪物：连环箭
60107,@11132
60109,能量箭
73022,札肯技能2
77085,任务首领札肯的幻影技能
74061,电流波动
74101,MTG_DullahanBossSkill_01
74111,MTG_DarkLordBossSkill_01
74121,涌出的泥土
80001,攻城防御塔发射体
1508031,@11133
1512031,@11131
1513021,@11131
1513071,@11125
1514051,@60109
1518031,冰箭术
1519021,@11131
720441,致命重力
601261,沛尔里
601391,DragonPythonSkill_01
601441,DarkAssociation_M_HighSkill_01
731271,释放-1阶段
731281,释放-2阶段
731291,释放-3阶段
731301,释放-4阶段
731311,释放-5阶段
731371,札肯海盗团水手
730311,释放-本体
