Name,TaskName,QuestNpcName,QuestNpcDialog,QuestNpcName2,QuestNpcDialog2
暴政的尽头,等鲁西恩,,,,
暴政的尽头,跟鲁西恩去,,,,
暴政的尽头,消灭国王军士兵,,,,
暴政的尽头,破坏外城门,,,,
暴政的尽头,进入广场,,,,
暴政的尽头,消灭国王军的增援军,,,,
暴政的尽头,接近守护塔,,,,
暴政的尽头,消灭副盟主玛路,,,,
暴政的尽头,消灭副盟主玛路,,,,
暴政的尽头,破坏守护塔,,,,
暴政的尽头,移动至外城门前,,,,
旅行的开始,寻找佣兵团长,港口管理人普赛克,"这里是最适合冒险家们累积经验的地方。
<p>要不要先做点简单的工作，慢慢熟悉这里呢？
<p>佣兵团长道格拉斯正在把工作分配给新手们，你可以去找他。",,
证明实力,狩猎黑狼,佣兵团长道格拉斯,"很好！真是个聪明的家伙！
<P>好，你说你正在找工作，那你应该知道若想赚钱，
需要具备最基本的资格吧？
<p>刚好周边有黑狼出没，就让我看看你的实力吧。",,
正规的工作,狩猎红毛熊,佣兵团长道格拉斯,"很少人能这么快就消灭黑狼。你应该会是很有用处的人。
<p>那就给你正式的工作。你有看到黑狼附近的红毛熊吗？往返港口与村庄的商人们因为黑狼与红毛熊可是吃尽了苦头。
<p>你要不要也趁这机会狩猎一下红毛熊呢？当然我不会让你白白付出劳力。有还不错的奖励，敬请期待喔！",佣兵团长道格拉斯,可恶，不好了！兽人们从港口那边袭击过来了！
正规的工作,寻找佣兵团长,,,,
正规的工作,兽人的袭击,,,,
正规的工作,兽人的袭击,,,,
紧急状况！,寻找警卫队长,佣兵团长道格拉斯,我会跟部下们一同守护百姓，你能替我赶往港口吗？<p>到那里见到警卫队长的话，就说是我派你去的！你或许会因为突发状况感到很慌张，但一切就拜托你了。,,
兽人们的袭击,消灭兽人战士,警卫队长 哈洛德,"兽人正在渡船口集合！如同鬼魅般的出现！到底是利用什么方法让那么多兵力偷偷移动的，我完全想不出来！
<p>总之得守住渡船口！一起战斗吧！",,
兽人们的袭击,消灭兽人护卫兵,,,,
兽人们的袭击,寻找兽人突击队长,,,,
兽人们的袭击,寻找兽人突击队长,警卫队长 哈洛德,"什么！兽人突袭队长不见了！
<p>那家伙好像一下子就来到港口入口了！赶快向入口处前进吧！快点！！",,
兽人们的袭击,移动至港口入口,,,,
兽人们的袭击,消灭想离开港口的兽人,,,,
兽人们的袭击,阻止突击队长与护卫兵,,,,
战斗准备,学习自动装备,警卫队长 哈洛德,"谢谢。多亏你，才能够化解危机。虽然看起来经验还是稍嫌不足，但以后的发展很令人期待啊。
<P>就当作答谢好吗？我告诉你一个有助于新手佣兵的装备管理方法。就是<YellowBold>自动装备</>。",,
失踪的考古团,与柯迪莉雅对话,警卫队长 哈洛德,"一直拜托你什么的，让我感到有些抱歉啊…你可以再帮我一件简单的事吗？
<p>最近这附近好像有几名遗迹考古团员失踪了。
<p>虽然我们想去找寻，但港口那边的兽人不知道什么时候会再来…
<p>可以的话，你能帮忙找寻一下吗？",柯迪莉雅,"是谁啊？啊！你是队长派来的人啊。
<p>谢谢你过来。"
寻找线索吧,寻找考古团员的背包,柯迪莉雅,"你应该听说了，我的伙伴们失踪了。大家都是深爱考古学的人…
<p>虽然我已察看过此地，并没有发现任何离开巨石棚地区外的痕迹。故一定就在这附近的某处…
<p>但不容易找到线索啊…搞不好是这附近的怪物掩盖了考古团失踪的痕迹。
<p>请先帮我确认周遭有没有考古团员的物品。",柯迪莉雅,蝙蝠抢走了考古团员的包包。若从考古团员们作业的地方到这里的话…<p>感觉目的地应该是那边...谢谢。你帮了我很多。
绑架犯的真面目,从兽人那获得钥匙,柯迪莉雅,"总之那些兽人很可疑。是以前此地没有的兽人…
<p>不如你去调查一下那些兽人如何？抓几个家伙来问话，搞不好能获得些情报！",柯迪莉雅,果然那些家伙是犯人。还有…考古团好像被关在铁笼里对吧？刚好也取得钥匙啦！
救出考古团,解放被关的考古团I,柯迪莉雅,"不好意思！考古团员好像被抓到那里去了。
<p>请赶快救出他们吧！时间过越久的话，说不定会来不及解救！我也会找找其他地方。",铁匠史密斯,哎唷，谢谢你！我只是来传达东西给考古团，这是什么灾难啊！
救出考古团,解放被关的考古团II,,,,
救出考古团,解放被关的考古团III,,,,
救出考古团,跟随铁匠史密斯,,,,
救出考古团,与铁匠史密斯对话,,,,
铁匠的好意,学习装备升级,铁匠史密斯,我就知道会有大事发生！哈哈！<P>我来看看有没有什么能够答谢你的…<P>那么我来告诉你提高装备性能的方法吧。,,
铁匠的好意,学习装备升级,,,,
柯迪莉雅的呼唤,与柯迪莉雅对话,铁匠史密斯,那我得回去村庄了。那里好像有人在叫你，快去吧！谢啦！,,
黑暗降临,靠近可疑的魔法师,柯迪莉雅,"谢谢！多亏你，几乎找回了所有团员。
<P>在解救团员时，我看到了疑似犯人的一群人！
<P>好像正在威胁着仍未救出的伙伴！
<P>我已经请警备兵过来了，请一定要阻止他们。",,
黑暗降临,可疑的魔法师登场,,,,
黑暗降临,靠近可疑的魔法师,,,,
黑暗降临,消灭魔法师召唤的魔物,可疑的魔法师,"你微不足道的性命，比起我跟这里的兽人约定好的奖励更为廉价啊。我实在不想浪费时间在你身上。
<p>但问题是你的确妨碍了我，那我就让你死在恐惧中！",,
黑暗降临,消灭魔法师召唤的魔物,,,,
黑暗降临,消灭魔法师召唤的魔物,,,,
黑暗降临,与可疑的魔法师对话,,,,
可疑魔法师的撤退,告诉柯迪莉雅状况,可疑的魔法师,"什么，看来是我小看了你的实力。但不管怎么看都是第一次碰面的家伙，真不知道你为什么要妨碍我们。
<p>虽然现在我们暂时撤退，但你小心点，你那不自量力的正义感会带你走向死亡的。",柯迪莉雅,刚好警卫队员整理完这里。<p>多亏你，才能救出伙伴啊！真的很谢谢你！
考古学家佩勒奈,寻找考古团长佩勒奈,柯迪莉雅,啊！还有，你救出的考古团长说想感谢你。你去找他一下如何呢？,,
妨碍的要素,消灭狼人,佩勒奈,"是你救了我们考古团员吧？真的很谢谢你。你应该听说过，我们正在这里挖掘精灵的遗迹。这是很重要的事情，但我们现在无法顺利完成工作。
<p>虽然听起来可能不太好意思，但你能再帮我们一下吗？我会给你很多谢礼的。
<p>需要做什么？哈哈哈哈哈！我果然看对了人。
<p>是你的话，应该不会太难。请帮我赶走附近的狼人。因为刚发生大事，考古团员们都很害怕。",,
灵魂弹的威力,学习灵魂弹使用方法,佩勒奈,"谢谢！多亏你，考古团员应该能安心工作了。我想想该回报你什么呢…
<p>好！这个应该不错！你知道<YellowBold>灵魂弹</>吗？它是借助精灵的力量，能进行强力攻击的道具！",,
灵魂弹的威力,学习灵魂弹使用方法,,,,
灵魂弹的威力,学习灵魂弹使用方法,佩勒奈,"怎么样？你要不要去试用一下？打开那个桶子的盖子吧。
<p>那个桶子里装满了狼人最爱吃的肉，他们受到诱惑会一下子全部冲上来的！你准备好使用<YellowBold>灵魂弹</>了吧？",,
灵魂弹的威力,打开来历不明的桶子,,,,
灵魂弹的威力,试验灵魂弹,,,,
妨碍的要素II,消灭吸血蝙蝠,佩勒奈,"你，能再答应我一个请求吗？也算趁这机会正式测试灵魂弹的威力。
<p>从这里再上去一点的话，有个叫尼亚的助手正在进行挖掘工作，他因为吸血蝙蝠的出现而困扰着。
<p>就拜托你处理那些家伙了。可以的话，希望能不被助手发现……",尼亚,"喂，是你处理掉吸血蝙蝠的吗？
<p>嗯？是佩勒奈拜托的？嗤，还不如减少我像山一样的工作。就说他会在奇怪的地方花心思啊。
<p>对了，佩勒奈是我爸爸。是疼爱女儿又痴迷考古学的考古团长。"
散落的巨石棚碎片,收集巨石棚碎片,尼亚,"哈～虽然烦人的家伙减少了是好事，但这意味着有更多的工作要做。你还不知道吗？这都是爸爸的策略。
<p>那从现在起就请帮忙收集这附近散落的巨石棚吧。使用这个精灵的戒指的话，就能看出巨石棚碎片。
<p>为什么叫你做这个？变成这样，你得负责啊。",净化的妖精,快来吧，值得信任的你。我一直在等你啊。我是守护结界的净化的妖精。
散落的巨石棚碎片,移动至巨石棚光里,尼亚,啊啊！一把巨石棚碎片组合起来，遗迹的中间就散发出光芒了！怎么会发生这种事？,,
散落的巨石棚碎片,结界解放,,,,
散落的巨石棚碎片,移动至巨石棚光里,,,,
散落的巨石棚碎片,移动至巨石棚光里,,,,
结界中的怪物,消灭戈索尔的亲卫兵,净化的妖精,"过去精灵们在这座岛种了四棵世界树，并设置了结界。
<p>多亏如此，这座岛受到保护，免于遭到强力魔物的攻击，故又称为起始之岛或冒险家之岛。
<p>最近结界受到了黑暗的侵蚀。倘若结界崩毁，说话之岛就很有可能会遭受强力魔物的攻击。
<p>幸好使用净化装置，可以抵御黑暗。但要想启动净化装置的话，就需要你的帮助。",,
结界中的怪物,与净化的妖精对话,,,,
净化开始,保护净化的妖精,净化的妖精,大事不好了。魔物好像趁结界变弱从结界缝隙跑进来了。<p>得加紧净化的脚步才行。为了净化结界，得移动到此处的中心。快过去吧。,,
净化开始,与净化的妖精对话,,,,
前往净化装置之路,消灭戈索尔的亲卫队,净化的妖精,越靠近中心，魔物越来越强。这怎么可能，我甚至感觉到其中有个家伙拥有强大的力量。<p>得趁他出现之前，处理掉其他魔物。请帮帮我。,,
前往净化装置之路,与净化的妖精对话,,,,
结界中的不速之客,消灭戈索尔,净化的妖精,啊啊！！！怎么可能…魔物戈索尔！戈索尔居然在这里！<p>得击退戈索尔才行！,净化的妖精,戈索尔这种魔物居然侵入结界里，这是不可能会发生的事。<p>一定发生了什么事情。得赶快先启动净化装置。
结界中的不速之客,与净化的妖精对话,,,,
结界中的不速之客,与净化的妖精对话,,,,
第一次净化,启动移动魔法石,净化的妖精,现在可以了。但是还不能放心，剩下三个结界的状况应该也不好。<p>得再启动其他结界的净化装置。拜托帮我到那时候吧！<p>首先得离开这里。准备好的话，我会再找你的。来～利用这个移动魔法石，就可以出去外面。,,
第一次净化,启动移动魔法石,,,,
被封印的记忆之圣所,学习进入每日副本的方法,尼亚,发生了什么事呢？你说你也很难说明？<p>等一下。你消失的期间，我调查遗迹时发现了一些东西。那就是进入结界的方法。<p>我再深入调查了一下，发现有比单纯进入更加有趣的其他方法。如何？感兴趣吗？<p>啊！我这么做可不是为了进去救你出来，不要误会了。,,
被封印的记忆之圣所,学习进入每日副本的方法,,,,
其实很温柔,与垂钓者阿曼对话,尼亚,呼～今天真的发生了好多事。差不多该回去村庄了。<p>啊，在那之前，你可以答应我一个小请求吗？你能在那边的钓鱼场帮我取得一些可以烤来吃的鱼吗？<p>我得做团长喜欢的烤鱼。虽然是会给人许多工作的坏团长，但也是唯一真心为尼亚着想的人。<p>可以在钓鱼场向常年在那的垂钓者询问看看。,垂钓者 阿曼,喂～你喜欢钓鱼吗？你说什么？尼亚的请求？又有一个牺牲者登场啦。她的专长就是使唤周遭的人啊。
完美的诱饵,取得吸血蝙蝠肉,垂钓者 阿曼,嗯…不过啊。我现在没有鱼，已经都卖掉了。<p>想再钓鱼的话需要鱼饵，偏偏鱼饵也都用完了怎么办？<p>啊，你能帮我取得一下做鱼饵用的吸血蝙蝠肉吗？拿吸血蝙蝠肉来的话，我就多钓一些鱼给你。,垂钓者 阿曼,"喔喔！你拿来的真多啊。那要不要开始钓鱼了呢？
<p>你也在这里钓鱼看看如何呢？之后搞不好会在这里举行钓鱼大赛，得选好位置啊。"
钓鱼的乐趣,拿烤蝙蝠肉给佩斯卡,垂钓者 阿曼,还需要更多的鱼吗？那也拜托其他垂钓者看看吧。<p>那边有个叫佩斯卡的垂钓者。虽然外表看不出来，但钓鱼实力可是相当惊人的！去找她吧。<p>对了，带着烤吸血蝙蝠去的话，会更好说话的。<p>吃蝙蝠肉…多少还是令人觉得恶心啊。,,
扫光所有鱼,寻找杂货商潘,垂钓者 佩斯卡,"鱼？怎么办？我钓的鱼不久前都被杂货商买走了。他提供给我很好的价钱。
<p>总之商人往那边走了。虽然不知道他想做什么，但他好像打算买下这里所有垂钓者的鱼？
<p>以后这里变成钓鱼场的话，他会是常客吧。",,
扫光所有鱼,收集猫草,杂货商潘,你看起来很可疑。嗯？在这里遇见全身武装的人，当然会警戒吧？你有什么事？<p>啊，鱼？你想买这些鱼？但是我也需要，在这里抓到的鱼最好吃了。<p>真的需要鱼的话，就拿钓鱼场周围的猫草来吧。<p>有那个猫草的话，我就不需要执着于鱼了。,,
扫光所有鱼,收集猫草,,,,
急躁的尼亚,寻找尼亚,杂货商潘,我虽然喜欢猫草，但挖猫草时从根部散发的味道好恶心。来，这是说好的鱼。猫咪杂货商会遵守约定。,补给兵泰勒,我是补给兵泰勒。尼亚小姐说有急事，就把这里交给我，她往那边跑去了。<p>赶快追上去的话，应该能见到尼亚小姐。
急躁的尼亚,寻找考古团的箱子,尼亚,"大事不好了！我听到类似尖叫的声音所以跑来，结果爸爸跟考古团员都消失了！
<p>得看看有没有被抓走的人留下的痕迹。请帮帮我！",,
急躁的尼亚,寻找考古团的箱子,,,,
急躁的尼亚,寻找考古团的披风,,,,
急躁的尼亚,寻找佩勒奈的背包,,,,
急躁的尼亚,寻找目击者,尼亚,"这是爸爸的背包。爸爸不可能随便丢弃他的背包！物品也都消失了…
<p>嗯？你叫我冷静？好…好。如你所说，要离开这个地区只有一条路。搞不好路上会有目击者！",,
急躁的尼亚,寻找目击者,,,,
被夺走的拖运马车,调查拖运马车,海尔莉雅,"请…请帮帮我！突然有一些恶棍出现，把我的马车抢走了。
<p>我的马车应该还在这附近！在那里…！！！就在那里！！",海尔莉雅,谢…谢谢。多亏你，我才能找到我的马车！
被夺走的拖运马车,消灭可疑的魔法师,可疑的魔法师,我明明警告过你了，你还是要妨碍我吗？胆子真大。我就在这里结束你的生命！,,
被夺走的拖运马车,消灭可疑的魔法师,,,,
逃脱的佩勒奈,与佩勒奈对话,海尔莉雅,可疑的人？我想起来了，除了我的马车之外，还有另一辆马车。但不知道为什么他们却只攻击我的马车…<p>啊！！那里有人！！快…快去！！,,
需要安定剂,收集草原羚羊之角,佩勒奈,那些家伙把团员带走了。虽然我试着抵抗，但那些家伙把我打晕了。呜呜呜呜…我需要冷静下来才行。<p>你能抓这附近的羚羊，拿它的角粉给我吗？听说有镇定心情的效果。,佩勒奈,现在终于能安定一点了。我说到哪里了呢？没错，我打起精神后发现，被马车载着往某处移动。<p>我拼命翻滚才能够逃脱，这时候圆滚滚的身躯才发挥了作用啊…
追踪绑架犯,跟随佩勒奈,佩勒奈,现在不是说这个的时候，你帮我一下吧。都是跟着我到这里的团员们，不能让他们死在这里。<p>我知道那些人带走团员的方向。我会带头，你跟我来吧。,村庄哨兵,你说可疑的人吗？因为这里的流动人口很多，我们除了指名的通缉犯之外不会特别确认。
拥有情报的人,寻找统治者,村庄哨兵,去找村庄的统治者的话，搞不好能获得什么帮助。不只村庄，连村庄附近的情报也全在他手中。,统治者塔尼尔,绑架事件…最近也有冒险家们失踪，跟那个可能也有关系啊。应该会指示调查了。
累积成就,学习成就,统治者塔尼尔,"等一下…我听说了你的事。一到说话之岛，就让警卫队欠你人情了。
<p>我也从港口管理人那听说了。在我看来也是，你跟其他的冒险家有点不同。该怎么说？感觉好像会做出很厉害的事？
<p>请空出一点时间吧。我来告诉你确认<YellowBold>成就</>的方法。",,
累积成就,学习成就,,,,
应征讨伐队,书写讨伐队应征表,统治者塔尼尔,我听说了有人看到来历不明的一群人往北方走了。很有可能就是你说的那些人。你能往那边去吗？<p>北方现在是跟兽人发生纷争的区域，小心一点，我会先跟讨伐队长说。,讨伐队长奥斯汀,太优秀了！不愧是说话之岛港口的英雄！
应征讨伐队,书写讨伐队应征表,讨伐队长奥斯汀,"我从统治者的传令得知了。你就是传闻中的英雄啊。
<p>虽然听说在港口及遗址很活跃，但我只相信我亲眼看到的事。你能跟我们士兵们较劲，让我看一下实力吗？",,
应征讨伐队,移动至路中间的空地,,,,
应征讨伐队,向队员炫耀,,,,
应征讨伐队,向多数队员炫耀,,,,
应征讨伐队,向训练教官炫耀,,,,
应征讨伐队,向训练教官炫耀,,,,
应征讨伐队,与奥斯汀对话,,,,
其他的佣兵,寻找罗赛尔,讨伐队长奥斯汀,"这件事已经全权委任给某个佣兵团了，你就跟着他们行动吧。
<p>因为兽人突然变得猖獗，没办法把兵力调到其他地方了。抱歉没办法直接给你帮助。",罗赛尔,什么？你？哈哈，很高兴见到你！你在港口的战斗令人印象深刻。
佩勒奈托付的奖励,寻找杂货商人,罗赛尔,"佩勒奈联络我了。他说为了帮助你尽快解决这次的绑架事件，把某个东西寄放在杂货商人那里。
<p>大概也是为了奖励素不相识的你帮他吧。
<p>嗯？我也不太清楚那是什么。好奇的话，就赶快去找杂货商人啊。",,
高级召唤,学习高级召唤,杂货商人 亚奈斯,佩勒奈寄放的东西就是这个箱子。<YellowBold>高级装备召唤箱</>。从现在起，我告诉你有关这个东西的事，你听好了。,杂货商人 亚奈斯,因为不是很常有的机会，错过的话就太可惜了吧？<p>不要忘了，一定要拿着，成为不仅实力，连装备都很优秀的佣兵！呵呵～
高级召唤,学习高级召唤,,,,
罗赛尔的口信,寻找统治者,杂货商人 亚奈斯,"啊，对了，我在说明的时候，罗赛尔留了纸条。
<p><GreenBold>他说“记得来找统治者，我会在那里与你见面。”</>？
<p>赶快回去看看吧。还是你还有事要找我？",,
