Id,Name,Description,Unit
1001,战斗力,战斗力排名,战斗力
1,级,角色等级排名,级
2,物理攻击力,最高物理攻击力排名,物理攻击力
3,物理防御力,最高物理防御力排名,物理防御力
4,魔法攻击力,最高魔法攻击力排名,魔法攻击力
5,魔法防御力,最高魔法防御力排名,魔法防御力
6,HP,最高HP排名,HP
7,符文刻印,符文刻印成功次数排名,次数
8,灵药,灵药使用排名,数量
9,怪物图鉴,怪物图鉴完成数排名,完成数
10,总合等级,服务器内角色总合等级排名,@1
12,名誉分数,累积名誉分数排名,分数
13,累积次数,累积竞技场次数排名,@7
14,累积胜场数,累积竞技场胜场数排名,胜场数
15,连胜次数,最高连胜次数排名,@7
18,每周贡献度,每周个人血盟贡献度排名,贡献度
19,累积贡献度,累积个人血盟贡献度排名,@18
20,攻城战贡献度,个人累积攻城战贡献度排名,贡献度
21,要塞战贡献度,个人累积要塞战贡献度排名,@20
22,英雄成就,英雄成就分数排名,@12
27,签到,累积签到天数排名,天数
28,最高交易价,最高交易价排名,交易价
29,交易次数,最高交易次数排名,@7
30,强化次数,最高强化次数排名,@7
31,附加强化,最高附加强化排名,套用数
32,合成次数,最高合成次数排名,@7
33,进阶次数,最高进阶次数排名,@7
34,超越次数,最高超越次数排名,@7
35,傲慢之塔,傲慢之塔到达楼层排名,楼层数
48,血盟名声,血盟名声排名,@12
49,血盟战斗力,血盟战斗力排名,@1001
1000,乱斗场,混战场排名,@12
4000,名誉战场,名誉战场整体排名,@12
4001,@4000,名誉战场铜色排名第3,@12
4002,@4000,名誉战场铜色排名第2,@12
4003,@4000,名誉战场铜色排名第1,@12
4004,@4000,名誉战场银色排名第3,@12
4005,@4000,名誉战场银色排名第2,@12
4006,@4000,名誉战场银色排名第1,@12
4007,@4000,名誉战场金色排名第3,@12
4008,@4000,名誉战场金色排名第2,@12
4009,@4000,名誉战场金色排名第1,@12
4010,@4000,名誉战场白金排名第3,@12
4011,@4000,名誉战场白金排名第2,@12
4012,@4000,名誉战场白金排名第1,@12
4013,@4000,名誉战场钻石排名第3,@12
4014,@4000,名誉战场钻石排名第2,@12
4015,@4000,名誉战场钻石排名第1,@12
4016,@4000,名誉战场大师排名,@12
4017,@4000,名誉战场英雄排名,@12
4018,@4000,名誉战场传说排名,@12
