Key,Value
1,封包版本与服务器不一致。请重新执行游戏。
2,请重新执行游戏进行更新。
3,服务器错误 (DB)
4,服务器错误 (LUA)
5,Excel表格错误
6,服务器错误 (Parameter)
7,服务器错误 (Logic)
8,服务器错误
9,尚未登入。
10,已连接。
11,没有踢除的目标。
12,错误的认证
13,错误的角色标识符
14,错误的分类信息
15,错误的性别
16,错误的名字
17,错误的NPC信息
18,无法获取的玩家信息
19,错误的种族信息
20,错误的技能
21,错误的技能目标
22,错误的状态
23,无法继续进入。
24,空的装置标识符
25,此名称已被使用
26,施展技能中
27,无法行动
28,没有死亡
29,MP不足
30,金币不足
31,尚未选择玩家
32,钻石不足
33,角色等级不足
34,相同的识别者无法转职
35,无法转职成该职业
36,目前等级太低无法进行转职
37,错误的安全码
38,无法获取的玩家信息
39,错误的增益效果标识符
40,错误的商店信息标识符
41,客户端序列号不一致，无法正常进行游戏。
42,错误的技能特效标识符
43,错误的成就标识符
44,错误的符文等级
45,符文碎片不足
46,错误的符文情报
47,符文升级失败
48,符文最大等级
49,前置符文等级不足
50,超出金币最大持有量
51,超出黄宝石最大持有量
52,超出钻石最大持有量
53,@NotEnoughFreeDiamondStorage
54,黄宝石不足
55,抽奖积分不足
56,死亡状态。
57,"长度限制为2~16字。
(如果包含中文，韩文则限为2~12字)"
58,"不能使用空格。
请输入其他名字。"
59,SP不足
60,达到金币最大持有量
61,达到血盟铸币最大持有量
62,请补满前置符文页面
63,友情点数不足
64,错误的奖励类型
65,晕眩状态
66,还在战斗中
67,非创立角色时可以选择的职业
68,超出积分持有量
69,队伍等候中
70,无法使用小工具
71,无法使用安全码的时间
72,"受限制的内容
您无法入场"
73,错误的基本职业编号
74,"该角色为盟主。
盟主可在委任其他血盟成员或是退出血盟后删除。"
75,非绑定钻石不足
76,绑定钻石不足
77,此为制裁对象
78,禁止聊天中
79,因入场人数限制而无法入场
80,血盟红色星石不足
81,转职后可以
82,"这是事前登录的昵称。
如果您已经提前登录好了，请移动到认证过程。"
83,错误的昵称
84,此为删除的玩家
85,隐藏的世界
86,账号为空值
87,token为空值
100,服务器维修中，连接已断开。
101,"复活时间等候中。
现在还无法复活。"
102,频道已满
103,变更时间限制
201,无法完成成就
202,没有成就
203,已收到成就等级奖励
251,错误的对话追加信息类型
252,错误的聊天消息标识符
253,错误的聊天追加信息标识符
254,错误的聊天宣传类型
255,冷却时间限制
256,已在聊天封锁列表内
257,尚未在聊天封锁列表内
258,登记于聊天封锁列表内
259,已封锁对方
301,技能冷却时间
302,创建第一个账号
303,之前使用的技能检查失败
370,错误的签到信息
371,错误的签到信息标识符
372,错误的签到奖励标识符
373,已确认签到
374,已获得奖励
375,非每周签到奖励期间
401,错误的道具标识符
402,@InvalidItemInfoId
403,无法强化的道具
404,结晶体不足
405,道具数量不足
406,必须达到5级才能进行合成或进阶
407,强化卷轴不足
408,无法再强化
409,强化装备失败
410,"装备已封印。
无法强化被封印的装备。"
411,只能解除封印的装备。
412,此为穿戴中的装备
413,此为尚未穿戴的装备
414,背包字段不足
415,已穿戴的装备无法进行
-1,此为无法再解除封印的装备
417,此为无法进阶的道具
418,此为无法再进阶的装备
419,此为无法再合成的装备
420,无法使用“收藏”道具。
421,"合成材料的类型不同。
只能合成相同类型的装备。"
422,"合成材料的阶级不同。
只能合成相同阶级的装备。"
423,属性编号错误
424,此为无法使用的道具
425,此为无法再精炼的装备
426,这不是装备
427,进阶时所需的材料不足
428,无法再扩张背包
429,错误的材料道具标识符
430,这不是强化卷轴
431,道具信息标识符不同
432,此为无法超越的道具
433,无法再超越道具
434,这不是搜魂石
435,错误的道具镶嵌孔编号
436,此为已安装的搜魂石类型
437,此道具已是最大等级
438,此为没有属性的道具
439,此为没有特性的道具
440,特性不一致
441,强化道具特性失败
442,无法再使用灵药
443,此为错误的道具制作种类或组合
444,道具制作材料不足
445,守护宝石不足
446,错误的装备类型
447,错误的卡片组合编号
448,此为使用中的装备组合
449,服务器与组合不同
450,背包空间不足，导致道具制作失败。
451,无法使用信息表
452,此为已完成的怪物图鉴
453,没有可添加至背包的非绑定怪物精魄。
454,组合标识符错误
455,此为已完成的怪物图鉴组合
456,没有可以进行的怪物图鉴
457,错误的休息奖励种类
458,休息数值不足
459,追加使用货币类型不同
460,技能书道具属性类型错误
461,非技能书道具
462,无法使用技能书道具
463,已经是技能最大等级
464,错误的材料数量
465,此为其他类型的强化卷轴
466,HP已满，无法使用。
467,MP已满，无法使用。
468,无法再制作
469,移动卷轴不足
470,惊喜箱是空的
471,没有已镶嵌的搜魂石
472,此为无法使用的灵药
473,此为装备特性最大等级
474,非扩音器道具
475,错误的搜魂石效果类型
476,错误的道具掉落信息标识符
477,已超过一天能使用的次数
478,冷却时间时无法使用
479,这不是您的职业装备，无法进行穿戴。
480,传送中
481,武器尚未解除。请换成其他武器。
482,已为最高等级
483,灵魂弹已经为启动状态
484,竞技场中
485,此为无法召唤魔物召唤石的地方
486,因杀戮值变为0故无法使用
487,已无法再获得
488,超出一次性可以出售的最大数量
489,错误的属性字段
490,尚未可以制作成装备的道具
491,制作装备道具的等级不足
492,制作装备道具的阶级不足。
493,无法出售的道具
501,无法收信
502,"邮箱已满，无法进行。
请收到邮箱的奖励后，
再次尝试。"
503,"邮箱已满，无法收到奖励。
请清空邮箱后重新联机。"
511,今日活动点数不足
512,错误的每日活动奖励标识符
513,错误的每日活动奖励组合标识符
514,没有可领取的奖励
521,错误的立刻达成信息标识符
522,非立刻达成目标标识符
523,错误的立刻达成奖励组合标识符
531,错误的任务委托类型
532,错误的任务委托情报标识符
533,非可进行任务的状态
534,无法完成的状态
535,非正在进行任务的状态
536,此为已完成的任务
537,没有可更新的每日任务
538,没有进行中的每周任务
539,@NoMoreDailyActivityRewardGet
540,已经有正在进行的每周任务
541,今天已完成能进行的每日任务次数
601,错误的领土信息标识符
602,错误的传送点信息标识符。
603,错误的区域信息标识符。
604,错误的任务信息标识符。
605,任务进行中
606,没有在进行任务
607,任务无法完成
608,尚未完成前置任务
609,任务券不足
610,任务完成次数不足
611,没有任务变更事项
612,尚未完成的区域
613,尚未完成的区域传送点
614,任务失败
615,任务没有失败
616,此任务无法复活
617,错误的小工具标识符
618,距离太远
619,没有NPC
620,错误的任务状态
621,任务已完成
622,任务扫荡券不足
623,错误的讨伐任务奖励信息
624,讨伐完成星数不足
625,没有完成过
626,非讨伐任务
627,任务券已到上限
628,任务券储值次数已到上限
629,必须在该点获得3颗星以上才能使用扫荡券
630,没有剩余的小工具操作次数
631,已操作小工具
632,错误的任务动作编码
633,尚未完成的任务动作
634,已收到完成任务动作的奖励
635,已收到完成进行任务动作的奖励
636,可执行的任务卷轴次数不足
637,可重置任务卷轴次数不足
701,"技能等级已到上限。
请提升角色等级后再尝试。"
702,技能组合标识符错误
703,技能组合变更失败
704,此为该武器上无法使用的技能
801,已经是好友
802,已经发送邀请
803,不接受好友邀请
804,非好友
805,无法获取的玩家信息
806,好友已满
807,无法接受更多的好友邀请
808,不能向自己问候
809,问候过的对象
810,不能邀请自己
811,创立好友推荐目录失败
812,"非好友玩家。
好友玩家之间可以使用1:1对话。"
813,没有收到好友的问候
814,该玩家尚未完成好友新手引导
815,已接受好友邀请
816,已超过每日问候次数上限
817,没有可问候的好友
818,该玩家的好友已满
819,已送出太多好友邀请
847,只有队长才能申请进入。
848,正在参与其他副本。
849,该操作无法在组队状态下进行。
850,此为邀请过的玩家
851,不存在的队伍
852,未收到队伍的邀请
853,已加入队伍
854,尚未加入队伍
855,队长是脱机状态
856,此为无法去的地方
857,已经是队长
858,没有权限
859,无法对自己进行
860,队伍已满
861,非联机状态
862,未发出队伍邀请
863,目标处于无法召唤或移动的区域
864,不在房间里
865,在无法进行的地区里
866,攻城战 / 要塞战中不能组队
867,队员不足。
868,只有队长可以取消
869,该玩家尚未完成队伍新手引导
870,已在配对中
871,在无法快速寻找的地区里
872,此状况下无法进行的动作
873,非队伍
874,无法进行的动作
875,没有在队伍副本里等待的状态
876,找不到该队员
877,队伍人数不足
878,此为配对队伍时无法进行的动作
879,已加入队伍语音聊天
880,尚未加入队伍语音聊天
881,阿波罗首领错误
882,非正在共享队伍任务
883,有等级不足的玩家
884,招募中
885,有成员在无法入场的地区里
886,有副本入场次数不足的队员
887,有不符合副本入场资格的队员
888,此为队伍已满状态下无法进行的动作
889,此为邀请队员时无法进行的动作
890,可在[Time]后申请
891,此为已申请加入的队伍。
892,队长在附近
893,尚有无法入场的队员
894,此为无法加入的队伍
901,此为不存在或错误的血盟标识符
902,血盟名字的长度错误
903,已有相同名字的血盟
904,已加入血盟
905,尚未加入血盟
906,没有血盟权限
907,此为非公开的血盟
908,已申请加入
909,未申请加入血盟
910,无法再接收血盟成员
911,只能对低阶级的血盟成员进行
912,此为无法捐赠的货币
913,捐赠次数错误
914,您已进行弹劾投票
915,您已确认血盟签到
916,无法再进行血盟问候
917,已问候该玩家
918,血盟铸币不足
919,错误的血盟增益效果标识符
920,已持有该血盟增益效果
921,错误的城堡信息标识符
922,血盟金币不足
923,无法再强化城堡
924,错误的血盟盟辉信息标识符
925,无法再赋予该血盟成员阶级。
926,没有血盟
927,已是同盟
928,已申请同盟
929,未收到血盟邀请
930,非同盟血盟
931,无法再同盟
932,目标血盟无法再同盟
933,盟主无法退出
934,无法再登录敌对血盟
935,已是敌对血盟
936,非敌对血盟
937,敌对血盟无法战争
938,敌对血盟无法删除
939,敌对战争无法投降
940,没有血盟增益效果
941,敌对血盟无法成为同盟
942,同盟无法成为敌对血盟
943,必须比投标的最低金额还高
944,因血盟等级太低，无法使用该功能
945,因对方血盟等级太低，无法进行敌对宣布
946,"已将加入等级限制调高。
无法申请加入。"
947,"已变更为批准加入方式。
无法申请加入。"
948,已超过一天可捐赠的额度
949,血之证不足
950,已买完每日可购买的次数
951,无法再接收加入申请
952,错误的血盟名字
953,血盟名字内不能使用空格
954,必须所有成员都退出才能解散血盟
955,受到退出及重新加入血盟的惩罚，一天之内无法进行血盟活动。
956,已是血盟成员
957,@GuildJoined
958,已登录所有敌对血盟
959,不是盟主。
960,已买完每周可购买的次数
961,已买完每月可购买的次数
962,无法踢出高级成员
963,该玩家尚未完成血盟新手引导
964,无法再登记敌对
965,血盟的血之证不足，无法进行购买
966,无法在攻城战中加入，退出，解散血盟及委任盟主。
967,无法在要塞战中加入，退出，解散血盟及委任盟主。
968,此为无法入场的血盟副本。
969,不是该血盟成员。
970,已经完成的血盟副本。
971,已超过可以重置的次数。
972,尚未完成。
973,红色星石不足。
974,尚无血盟签到奖励。
975,尚无血盟签到。
976,已领取血盟签到奖励。
977,长时间没有登入的血盟成员
978,为不存在或未登记之血盟
1001,错误的传送点标识符
1002,无法操作
1101,攻城战投标失败
1102,攻城战取消投标失败
1103,此为错误的攻城战
1104,没有攻城战投标信息。
1105,攻城战庆典优惠券不足
1106,没有攻城战庆典商品券
1107,投标金额不足
1108,非投标期间
1109,已延长投标
1110,此为错误的攻城战庆典字段
1111,只有投标成功的血盟可以入场
1112,无法接收商品券奖励的状态
1113,目前没有进行攻城战
1114,无法用相同的金额投标
1115,为无法移动至攻城战的世界
1116,尚无血盟占领。
1117,尚无攻城战纪录。
1118,非攻城战庆典时间。
1119,因城堡被占领或没有投标的血盟，无法进行购买。
1151,投标失败
1152,取消投标失败
1153,错误的要塞战登录
1154,没有要塞战投标信息
1155,错误的领土信息
1156,错误的要塞信息标识符
1157,拥有城堡的血盟进行无法投标
1158,目前没有进行要塞战
1159,非参与要塞战的血盟
1160,只有占领城堡的血盟可以购买
1161,只有占领要塞的血盟可以购买
1162,拥有要塞的血盟无法进行投标
1190,唯进入攻城战与要塞战战场的血盟成员可加入
1201,错误的价格
1202,@InvalidName
1203,没有可使用的道具
1204,错误的状态
1205,必须为绑定道具才行
1206,卖家
1207,没有搜寻结果
1208,此为无法登录的类型
1209,已售出
1210,已超过登录数量
1211,道具阶级不符
1212,没有此名字和类型
1213,此名称和阶级不存在
1214,登录在交易所的金币不足
1215,"交易所内""我的最爱""已满"
1216,"有相同""我的最爱""的道具"
1217,"没有""我的最爱""的道具"
1218,此为无法登录的道具
1219,已镶嵌搜魂石
1220,已超过可以登录的道具数量。
1221,交易所数量不足
1222,已出售的部分道具。
1301,错误的商品标识符
1302,错误的购买商品
1303,错误的货币类型
1304,错误的抽奖类型
1305,无法购买首购商品
1306,冷却时间内无法购买
1307,已超过每日可购买次数
1308,已超过每周可购买次数
1309,已超过每月可购买次数
1310,非购买期间
1332,此商品出售已结束
1311,非免费购买的道具
1312,正在使用相同类型的月礼包
1313,接收月礼包奖励的次数不足
1314,错误的邀请
1315,购买商品的标签类型不符合
1316,正在使用年金型商品
1317,错误的商店奖励情报标识符
1318,非商城奖励活动期间
1319,错误的商城奖励类型
1320,没有可领取的奖励
