id,Name,HumanDialog,ElfDialog,DarkElfDialog,DwarfDialog
1,突击,全部突击!,突击!,突击!,突击!
2,胜利,唯有胜利!,为了胜利!,唯有胜利!,为了胜利!
3,握手问候,最近好吗!,哈啰?,很高兴见到你,哈啰!
4,笑容,哈哈哈哈哈!,哈哈哈！,啊哈哈哈哈哈!,啊哈哈哈哈哈!
5,悲伤,呃啊啊……,哭!哭!,哭哭，哭，哭……,哭哭哭!
6,击掌,击掌!,击掌!,击掌!,击掌!
7,拍手,好棒!,好棒喔？,好棒喔？,哇呜!真棒!
8,挫折,无法相信……,怎么可以这样……,怎么会有这种事……,糟糕……
9,愤怒,好生气!!,哼!!,呀啊啊啊啊!!!,阿呀!!生气!
1001,召唤魔物,,,,
1002,村庄移动,,,,
10001,竞技场人类胜利,,,,
10002,竞技场人类战败,,,,
10003,竞技场精灵胜利,,,,
10004,竞技场精灵战败,,,,
10005,竞技场黑暗精灵胜利,,,,
10006,竞技场黑暗精灵战败,,,,
10007,竞技场矮人胜利,,,,
10008,竞技场矮人战败,,,,
100001,touch action #1,,,,
100002,touch action #2,,,,
100003,touch action #3,,,,
100004,touch action #4,,,,
