Index,Name
1,晕眩
2,烧伤
3,灵魂弹测试
4,@2
5,毒
6,@5
7,过热
8,@5
9,升级特效
10,肯定测试
11,货币测试
12,生命测试
13,魔力盾测试
14,否定测试
15,诅咒测试
16,出血测试
17,烧伤测试
18,眩晕测试
19,挑衅测试
20,绝对防御
21,无敌增益
22,绝对防御增益
23,灵动增益
24,拉泰尔移动速度
25,拉泰尔采集速度
26,拉泰尔采集量
27,庭院守卫
28,灵魂弹起始效果
29,生命药水使用效果
30,魔力药水使用效果
31,转职特效
32,@31
33,区域圣殿增益1
34,区域圣殿增益2
35,区域圣殿增益3
36,区域圣殿增益4
37,区域圣殿增益5
38,巴尔卡洛保护盾
39,巴尔卡洛狂暴化
40,巴尔卡洛狂暴化（武器）
41,盟主狩猎祝福增益1（生命，魔力）
42,盟主狩猎祝福增益2（经验，精魄）
43,盟主狩猎祝福增益3（金币，道具）
44,盟主狩猎祝福增益镜头
45,魔力上限提升
46,生命上限提升
47,防御提升
48,移动速度提升
49,攻速提升
50,攻击力提升
51,狂暴的巨蚁女王
52,工蚁定时炸弹1
53,工蚁定时炸弹2
54,工蚁定时炸弹3
55,工蚁定时炸弹4
56,工蚁定时炸弹5
57,工蚁定时炸弹6
58,克鲁玛核心：毒
59,克鲁玛核心：沉默
60,克鲁玛核心：精神支配
61,巨蚁女王护盾
62,誓言水晶：基础
63,誓言水晶：1阶段
64,誓言水晶：2阶段
65,誓言水晶：3阶段
66,骑乘/解除骑宠效果
67,玛夏技能效果
68,据点药水服用效果
69,据点药水：振作士气药水
70,据点药水：寒冰暴风药水
71,据点药水：生命恢复量增加药水
72,据点药水：魔力消减药水
73,束缚
74,近程伤害奥奥拉(Timer)
75,水之水晶护盾
76,狂暴宴会
77,超限力量
78,提高技能伤害
79,@74
80,@75
81,@76
82,@77
83,刺伤
84,马洛斯_恶魔疲劳
85,风之祭坛的英雄
86,地之祭坛的英雄
87,贫血
88,吸血鬼化1阶段
89,吸血鬼化2阶段
90,吸血鬼化3阶段
91,吸血鬼化4阶段
92,吸血鬼化5阶段
93,吸血鬼转换
94,拉莫格_点火减益
95,拉莫格_爆炸倒计时自身减益
96,烟花特效1
97,烟花特效2
98,烟花特效3
99,烟花特效4
100,生命掠夺
101,披风装备效果：PVE攻击免疫护盾
102,披风装备效果：PVP稀有技能护盾
103,札肯狂暴化
104,札肯Shift
105,区域奖励
106,首领贡献奖励
107,首领最后一击
