Type,Name
0,物理攻擊力
1,魔法攻擊力
2,物理攻擊力大幅提升
3,魔法攻擊力大幅提升
4,一般攻擊攻擊力增加
5,依照隊員數量攻擊力大幅增加
6,攻擊速度大幅增加
7,戰鬥力
126,쿨타임증가
9,暴擊率
10,暴擊抵抗率
11,暴擊傷害大幅增加
12,暴擊命中值
13,暴擊抵抗值
14,暴擊命中大幅增加
15,暴擊抵抗大幅增加
16,物理防禦力
17,魔法防禦力
18,物理防禦力大幅增加
19,魔法防禦力大幅增加
20,迴避
21,迴避大幅增加
22,迴避率
23,命中
24,命中大幅增加
25,命中率
26,傷害量增加率
27,物理傷害量增加率
28,@IncreaseDamagePhyMul
29,對緩速目標的傷害量增加率
30,無視防禦傷害
31,傷害量減少率
32,物理傷害量減少率
33,魔法傷害量減少率
34,固定傷害減少
35,推開機率
36,推開傷害減少率
37,經驗值
38,經驗值獲得量增加率
39,威脅值大幅增加
40,HP
41,HP恢復量
42,HP吸收率
43,道具掉落率增加
44,最大HP
45,最大HP大幅增加
46,最大MP
47,最大MP大幅增加
48,MP
49,MP消耗大幅增加
50,MP恢復量
51,移動速度
52,移動速度大幅增加
53,緩速抵抗率
54,衝擊抵抗率
55,異常狀態抵抗率
56,拉近目標抵抗率
126,擊退抵抗率
58,金幣
59,金幣獲得量增加率
60,免費鑽石
61,付費鑽石
62,任務券
63,討伐掃蕩券
64,符文碎片
65,SP
66,友情點數
67,黃寶石
68,紅利
69,無敵
70,一擊必殺
71,聰明
72,健壯
73,職業經驗值
74,血盟鑄幣
75,成就分數
76,攻城戰慶典卷
77,PVP入場券
78,PVP名譽分數
79,級
80,貫穿
81,韌性
82,技能範圍增加
83,技能擊打數增加
84,採集速度增加
85,採集數量增加
86,魔法護盾率(魔力吸收傷害率)
87,防止PK
88,怪物核心掉落率增加
89,@CombatPower
90,連擊時間增加
