Id,Name,EffectTypeName,Desc
1001,共同擊倒,擊倒,
1002,@1001,@1001,一般攻擊尾刀用
1003,@1001,@1001,
1004,共同無敵,無敵,不會收到傷害。
1005,復活保護增益效果,@1004,不會受到傷害。攻擊敵人後，無敵效果將會被解除。
1011,共同暈眩,暈眩,暈眩
10111,疾襲衝擊：擊倒,@1001,
10122,突襲斬：緩速,緩速術,減少移動速度 {1%}%
11211,猛擊,增加仇恨值獲得量,仇恨值獲得量50%增加
112124,復仇,목표 고정(PC),강제 공격
112125,@112124,減少攻擊力,減少攻擊力{1}
112126,@112124,목표 고정(NPC),
11213,霸體,霸體：仇恨值增幅、物防/魔防增幅、迴避減少,"방어력 {2%}% 증가, 모든 공격에 어그로 {1%}% 증가, 피해 {1%}% 반사"
11221,審判,減少防禦,
11222,怒雷風暴,衝擊,@1011
112231,大滅絕,多重打擊：大幅增加同時攻擊、增加攻擊速度,一次可攻擊的敵人數量增加 {1}、攻擊速度增加 {2%}%
11231,砂雲,盲目,減少命中率 {1%}%
11232,推開：衝擊,@11222,@1011
112331,速度激發,헤이스트:공격 속도 증폭,增加攻擊速度 {1%}%
112332,@112331,速度激發：迴避增幅,회피 {1%}%증가
11242,箭雨,物攻減少,減少攻擊力
11243,狙擊者,狙擊：射程增加、攻擊、命中增加、不可移動,攻擊力增加{2}%、命中增加{3}。攻擊距離增加。減少移動速度。
11244,鷹眼,鷹眼：增加暴擊、減少防禦,暴擊增加{1}、傷害增加{2%}%
11251,熔化球,持續傷害,一定時間內的傷害
112531,魔力強化,魔力強化：大幅增加最大MP,"MP 소모량 {1%}% 증가, 스킬 대미지 {2%}% 증가"
11261,神聖懲罰：衝擊,@1001,
11262,修復術,HOT,一定時間內恢復
12211,裁決,固定目標,仇恨獲得量增加30%
12212,伊瓦斯格雷斯,減少攻擊速度,HP恢復量減少50%
122131,庇護之勢,增益狀態：暫時傷害免疫,傷害免疫
122132,@122131,增益狀態：移動速度增加,이동 속도 {1%}% 증가
12221,波動衝擊,소닉 블래스터:이속 감소,이동 속도 {1%}% 감소
122231,리듬 오브 컴뱃,리듬오브컴뱃:공방증가,"파티원들의 공격력 {1} 증가, 방어력 {3} 증가"
122241,獵者之歌,獵人之歌：隊伍暴擊率,隊員們的暴擊率{1%}%增加
12231,三分裂,減少移動速度,"防禦力減少{1}%, 攻擊速度減少{3}%, 移動速度減少{4}%"
12232,刀刃颶風,@1011,@1011
12233,平原行走,"플레인워크:공속,이속증폭,HP흡수율","공격속도 {1%}%, 이동속도 {2%}% 증가, HP 흡수율 {3%}%"
12241,斷魂箭,增加暴擊率,
12242,二連矢,더블 와이드 샷:방어력 감소,물리 방어력 {1%}% 감소
122431,心眼,心眼：暴擊率大增,增加暴擊 {1}
122441,雙倍移動加速,雙倍移動加速：移動速度大幅增加,增加移動速度{1%}%、攻擊速度{2%}%
12251,冰錐術：冰結,@11222,
12252,暴風雪,@10122,@10122
122521,@12252,@1011,@1011
122614,夢靨,@10122,移動速度減少10%
122615,神聖之火,增加減傷,增加所受傷害{1%}%
12263,極大治癒術,治癒術,
122631,恢復精神,精神恢復：隊伍冷卻時間減少,減少隊員技能冷卻時間{1#}秒
12264,跟隨防禦,防禦隊伍物理/魔法增益效果,增加隊員防禦力{1%}%
13211,生命吸取,防禦力減少,減少防禦力 {1%}%
132125,灼蛇鎖鍊,@11222,@1011
132126,@132125,免疫挑釁與拉近,仇恨集中效果
13213,極限防禦,終極防禦：物防魔防大幅增加、無法移動,防禦力增加{1%}%及額外增加{3}、攻擊目標減少移動速度
132132,@13213,終極防禦：攻擊緩速,이동 속도 감소
13222,劇烈風暴,@10122,@10122
132221,@13222,이동속도 증가,이동속도 {1%}% 증가
132231,戰士之舞,戰士之舞：增加隊伍物理攻擊力,增加隊員物理攻擊力 {1}
132241,狂暴之舞,憤怒之舞：增加隊伍攻擊速度,增加隊員攻擊速度 {1%}%
13231,要害刺擊,出血額外傷害,傷害量：攻擊力的{[Use34Param]1-1%}% + {1-1}
13232,腥血之雨：出血額外傷害,@13231,
132322,腥血之雨,@11222,@1011
132331,痛擊之勢,痛擊之勢：大幅增加暴擊傷害,增加暴擊傷害{1%}%
132332,痛擊之勢暴擊,痛擊之勢：暴擊率100%,最大的暴擊機率
13242,衝擊箭,@11222,
13243,火速疾射,火速疾射：增加攻擊速度、減少射程距離,攻擊速度增加{1%}%、射程距離減少{2%}
13244,致命反擊,致命反擊：大幅增加攻擊力、減少迴避,增加攻擊力{1}、減少迴避 {2%}%
13251,黑暗氣息,@10122,
13252,腐化,減少防禦、移動速度,減少防禦力{1%}%、移動速度 {3%}%
132531,致命智慧,致命智慧：大幅增加魔法攻擊力,增加魔法攻擊力{1}
132623,血腥暴怒,@10122,@10122
132624,血腥暴怒：增加傷害,增加攻擊,
132631,魔力催化,엠파워:HP 소모 제한,HP {1} 아래로 감소되지 않음
132632,@132631,@132631,
14211,猛推,減少防禦力、固定目標,@13211
14212,烈震閃,@1011,@1011
14213,@14212,@112125,공격력 20% 감소
14222,跳躍攻擊,@1001,
14223,憤怒矮人,憤怒矮人：增加攻擊、減少防禦,增加攻擊力 {1}、減少防禦力{2%}%
14231,刀刃亂舞,減少致命抵抗,減少暴擊抵抗機率 {1%}%
14232,五芒星耀,@12231,@10122
142321,@14232,沉默,沉默
142331,尋找金幣,尋找金幣：增加金幣獲得量,戰鬥時多發現{1%}%金幣、移動速度增加{2%}%
242331,@142331,尋找金幣：迴避增幅,"中毒傷害, 移動速度減少{2}%"
14241,爆射箭,@11251,@13231
14242,迴避射擊,@12231,@10122
142422,@14242,사거리 증가,사거리 증가
14251,大地尖刺,@1001,
142531,近身出擊,近身出擊：大幅增加隊伍一般攻擊,增加隊員基本攻擊力 {1%}%
14261,聖恩加護,增加防禦,增加隊員防禦力 {1}
14262,聖恩蟹,@11222,
142631,超級活力,超級活力：增加隊伍最大HP,增加隊員的最大HP {1}
20211,防禦強化,防禦力增加,@14261
20221,攻擊強化,攻擊力增加,增加隊員攻擊力{1}
20231,移動加速,移動速度增加,增加隊員移動速度{1%}%
20241,導引,增加命中,增加隊員命中 {1}
20251,死之呢喃,增加暴擊傷害量,增加隊員暴擊傷害{1%}%
20261,生命強化,增加最大HP,@142631
21221,復仇,@20221,攻擊力增加{1}
21231,潛行,減少技能冷卻時間,스킬 재사용시간 {1} 감소
212311,@21231,潛行：攻擊力增加,@21221
21241,強化緩速術,@10122,@10122
21242,強化緩速：出血傷害,@10122,傷害量:攻擊力的{[Use34Param]1-1%}%
21251,赤焰燃燒,@11251,
212512,@21251,@20221,@21221
212611,聖恩連結,@20211,파티 인원 당 방어력 {1%}% 증가
212621,마나 쉴드,마나 쉴드,被攻擊時以MP代替HP消耗
22211,極限閃避,增加迴避,增加迴避率 {1%}%
22221,活躍生命,增加暴擊率,增加暴擊率 {1%}%
22231,快速憤怒,"공격 속도, 이동 속도 증가",增加攻擊速度 {[StackMul]1%}%、移動速度增加{[StackMul]1%}%
22241,掃蕩,增加暴擊傷害,@132221
22261,@22211,@22211,增加迴避{1%}%
23211,靈魂吸取,吸血效果,吸收賦予傷害的{1-1%}%
23221,狂熱,@22241,@132331
23231,血之渴望,"방어력, 크리티컬 저항 감소","防禦力減少{1}%, 暴擊抵抗減少{3%}%"
23241,致命訊號,增加命中率,命中率增加{1%}%
23251,@23221,@22241,@132331
23261,侵略精神,@20221,흡혈률 {1%}% 증가
24211,忍耐力,攻擊力增加增益效果,@21221
242121,天使的禮物,幸運氣脈術：隊伍遭到攻擊時有機率機率減少冷卻時間,技能冷卻時間減少{1#}秒
24221,碰撞渴望,@24211,@21221
242231,幸運狂熱,幸運狂暴：隊伍攻擊時有機率增加攻擊速度,공격속도 {1%}% 증가
24231,@22221,@22221,@22221
242321,幸運致命,럭키페이탈:크리티컬 증가,@122431
24241,特技精通,增加迴避率,@22211
242421,幸運移動加速,럭키퀵스텝:기절,@1011
2424211,@242421,럭키퀵스텝:공격력 감소,減少攻擊力{1%}%
24251,@23261,@20221,@21221
24252,幸運防禦,幸運防禦：隊伍攻擊時有機率增加物防、魔防,增加防禦力 {1}
24261,防禦專業,HP 회복력 증가,HP 회복력 {1%}% 증가
30001,完美護盾,減少所受傷害、抵抗不可行動,暫時減少所受傷害 {1%}%、無法行動效果抵抗機率 +30%
30002,敏捷的步伐,@132221,@132221
30003,不滅,@1004,
30004,血光之箭：持續傷害,@13231,出血傷害 {[Use34Param]1%}%
30006,飛彈箭：衝擊,@11222,@1011
30008,寒霜裝甲：全體,寒霜裝甲,緩速術
30010,魔法護盾,魔法護盾,@212621
30013,減緩時間,減少冷卻時間,一定時間內減少自己的技能冷卻時間
30014,致命撞擊,減少傷害量，減少移動速度,減少傷害量{1%}% 、減少移動速度{2%}%
300141,@30014,中毒傷害,中毒傷害{[Use34Param]1%}%
30015,防禦地帶,異常狀態抵抗率,增加{1%}%異常狀態抵抗率
300151,@30015,減少所受傷害,減少{1%}%所受傷害，額外減少{2%}%稀有技能
31001,寒霜裝甲：緩速術,@10122,@30008
35001,워리어 웨폰 마스터리,워리어 웨폰 마스터리,
35002,헤비 아머 마스터리,헤비 아머 마스터리,
35003,로그 웨폰 마스터리,로그 웨폰 마스터리,
35004,라이트 아머 마스터리,라이트 아머 마스터리,
35005,메이지 웨폰 마스터리,메이지 웨폰 마스터리,
35006,로브 마스터리,로브 마스터리,
35011,패링 마스터리,패링 마스터리,
35021,컴뱃 마스터리,컴뱃 마스터리,
35031,임프로브 크리티컬,임프로브 크리티컬,
35111,@35011,@35011,
35121,@22221,에스프리,
35122,@35021,@35021,
35131,크리티컬 챈스,크리티컬 챈스,
35141,@22241,스위프트,
35151,프로스트 시길,프로스트 시길,
35161,@22211,엘더링 닷지,
35221,@35021,@35021,
35231,크리티컬 파워,크리티컬 파워,
35311,패링 엑스퍼티,패링 엑스퍼티,
35321,@35021,@35021,
35331,@22221,@35121,
35332,럭키페이탈리티,럭키페이탈리티,
35341,@24241,아크로뱃,
40001,經驗值HotTime增益效果,增加經驗值獲得量,Hot Time時間可獲得大量經驗值
40002,金幣HotTime增益效果,增加金幣獲得量,Hot Time時間可獲得大量金幣
40003,裝備獲得HotTime增益效果,增加裝備獲得量,Hot Time時間可大量增加裝備獲得機率
40004,物理攻擊力,物理攻擊力,
40005,魔法攻擊力,魔法攻擊力,
40006,物理攻擊力增加率,物理攻擊力增加率,
40007,魔法攻擊力增加率,魔法攻擊力增加率,
40008,一般攻擊的攻擊力,一般攻擊的攻擊力,
40009,比照隊員的攻擊力增加率,比照隊員的攻擊力增加率,
40010,攻擊速度增加率,攻擊速度增加率,
40011,增加暴擊傷害機率,增加暴擊傷害機率,
40012,暴擊命中率,暴擊命中率,
40013,暴擊抵抗率,暴擊抵抗率,
40014,物理傷害,物理傷害,
40015,魔法傷害,魔法傷害,
40016,無視防禦力,無視防禦力,
40017,目標的HP減少,目標的HP減少,
40018,目標的HP減少(%),目標的HP減少(%),
40019,物理防禦力,物理防禦力,
40020,魔法防禦力,魔法防禦力,
40021,物理防禦力增加率,物理防禦力增加率,
40022,魔法防禦力增加率,魔法防禦力增加率,
40023,迴避,迴避,
40024,迴避增加率,迴避增加率,
40025,迴避率,迴避率,
40026,命中,命中,
40027,命中增加率,命中增加率,
40028,命中率,命中率,
40029,傷害量增加率,傷害量增加率,
40030,物理傷害量增加率,物理傷害量增加率,
40031,@40030,@40030,
40032,對緩速目標的傷害量增加率,對緩速目標的傷害量增加率,
40033,無視防禦傷害,無視防禦傷害,
40034,傷害量減少率,傷害量減少率,
40035,物理傷害量減少率,物理傷害量減少率,
40036,魔法傷害量減少率,魔法傷害量減少率,
40037,減少固定傷害,減少固定傷害,
40038,推開機率,推開機率,
40039,推開傷害減少率,推開傷害減少率,
40040,持續物理傷害,持續物理傷害,
40041,持續魔法傷害,持續魔法傷害,
40042,以攻擊力為基礎恢復HP,以攻擊力為基礎恢復HP,
40043,持續傷害治癒,持續傷害治癒,
40044,威脅數值增加率,威脅數值增加率,
40045,HP回復量,HP回復量,
40046,HP吸收率,HP吸收率,
40047,HP吸收（主動吸收的技能）,HP吸收（主動吸收的技能）,
40048,HP吸收（本人或是分配給隊員吸收）,HP吸收（本人或是分配給隊員吸收）,
40049,最大HP,最大HP,
40050,最大HP增加率,最大HP增加率,
40051,最大MP,最大MP,
40052,最大MP增加率,最大MP增加率,
40053,移動速度增加率,移動速度增加率,
40054,MP消耗減少率,MP消耗減少率,
40055,減少MP消耗,減少MP消耗,
40056,MP回復量,MP回復量,
40057,技能冷卻時間,技能冷卻時間,
40058,嘲弄(仇恨值升到最大),嘲弄(仇恨值升到最大),
40059,固定目標,固定目標,
40060,移動對象,移動對象,
40061,拉近目標,拉近目標,
40062,拉近抵抗率,拉近抵抗率,
40063,擊退抵抗率,擊退抵抗率,
40064,經驗值獲得量增加率,經驗值獲得量增加率,
40065,金幣獲得量增加率,金幣獲得量增加率,
40066,緩速抵抗率,緩速抵抗率,
40067,衝擊抵抗率,衝擊抵抗率,
40068,異常狀態抵抗率,@30015,
40069,增加技能範圍,增加技能範圍,
40070,增加技能擊打數,增加技能擊打數,
40071,增加連擊到期時間,增加連擊到期時間,
40072,貫穿,貫穿,
40073,韌性,韌性,
40074,暴擊,暴擊,
40075,暴擊抵抗,暴擊抵抗,
40076,暴擊增加率,暴擊增加率,
40077,暴擊抵抗增加率,暴擊抵抗增加率,
50001,火焰,怪物：火焰,
50002,寒氣,怪物：寒氣,
50003,盲目,怪物：盲目,
50004,詛咒,怪物：詛咒,
50005,衝擊,怪物：衝擊,
50006,出血,怪物：出血、減少攻擊速度,
50007,中毒,怪物：中毒、減少移動速度,
50008,惡化,怪物：惡化,
50010,@50005,@50005,
60099,@50006,說話之島怪物：出血,
60103,測試技能,@132221,
60115,金色偶像,燒傷,5秒內持續給予傷害
60118,末路-極限防禦,@13213,大幅增加防禦力
60136,骷髏追趕者(+衝擊/強化卷軸副本用),@50005,
60137,石高崙(+衝擊/強化捲軸複本用),@50005,
71023,暴擊噪音,@10122,이동 속도 40% 감소
71452,@50006,블러디킹 데스바이트:출혈,
71462,@50006,오르비스 스크래치:출혈,
73013,基洛德：憤怒,憤怒,
