Id,Name
11222,怒雷風暴
11242,鷹眼
11251,術士
11261,主教
12212,聖殿騎士
12251,咒術詩人
12261,長老
13252,狂咒術士
14262,賢者
30005,極光雷電之地
30007,毒蟲
30012,隕石風暴
60096,火焰氣息
60097,說話之島巴力斯
60100,黑暗迴旋邊界
60115,金色火焰氣息
60162,골든 파이어 브레스(지옥)
71032,@60100
71072,@60096
71073,巴力斯技能02
71472,@60096
73012,夢靨
73032,OrfenBossSkill_02
74031,圖騰撞擊
74032,召喚光明
74051,毒坑
74062,@11222
74071,毒氣的沼澤
74131,瑪夏之毒
74132,梅杜莎的詛咒
720231,釋放賀爾蒙
1720231,@720231
1504021,哈汀極光雷電之地
7204311,時間重置
7204321,@7204311
7204331,@7204311
601252,仙女皇后勞拉技能02
601451,DarkAssociation_M_HighSkill_02
741352,瑪夏: 刀鋒狂風
8010441,근접 데미지 오오라
805000,파티 던전 보스 장판 스킬 (Circle)
805001,隊伍副本首領範圍技能(Fan)
805002,隊伍副本首領範圍技能 (Obb)
805003,隊伍副本首領範圍技能(Donut)
72040,파멸의 웅덩이
1720223,毒之坑
17203181,劇毒
411004,부식성 산
412004,@411004
413004,@411004
413012,湧出的血
413023,血之激流 : 海浪
414004,@411004
414012,@413012
414023,@413023
74113,摩洛克斯 : 巨石打擊
30015,防禦地帶
401023,화염 지대
401008,라모그 친위대 폭탄병 : 폭탄 투척
401016,광기의 자폭병 : 자폭
401210,파아그리오 대폭발
4011021,불씨 폭발: 화염 지대
2000001,폭죽1
2000002,폭죽2
2000003,폭죽3
2000004,폭죽4
2000005,폭죽5
2000006,폭죽6
730212,파도
731351,자켄 해적단 포병
731401,자켄 해적단 전투원
