Id,Title,Desc
31001,에피소드 완료,에피소드 <RedBold>1-2</> 클리어하기
31002,장비 레벨업,장비 레벨업 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2])
31003,@31001,에피소드 <RedBold>1-5</> 클리어하기
31004,전투력,최대 전투력 <RedBold>[Value]</> 달성하기 ([Value1]/[Value2])
31005,결투장,결투장 <RedBold>[Value]회</> 도전하기 ([Value1]/[Value2])
31006,장비 획득,장비 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2])
31007, 스킬 레벨업,스킬 레벨업 <RedBold>[Value]회</> 진행하기 ([Value1]/[Value2])
31008,@31002,@31002
31009,업적 점수,업적 점수 <RedBold>[Value]점</> 달성하기 ([Value1]/[Value2])
31010,혈맹 출석,혈맹에 <RedBold>[Value]회</> 출석하기 ([Value1]/[Value2])
31011,혈맹 기부,혈맹에 <RedBold>[Value]회</> 기부하기 ([Value1]/[Value2])
31012,혈맹 상점,혈맹 버프 <RedBold>[Value]회</> 구입하기 ([Value1]/[Value2])
31013,오만의 탑 도전,오만의 탑 <RedBold>[Value]회</> 도전하기 ([Value1]/[Value2])
31014,오만의 탑 소탕,오만의 탑 <RedBold>[Value]회</> 소탕하기 ([Value1]/[Value2])
31015,룬 각인,룬 각인 <RedBold>[Value]회</> 각인 시도하기 ([Value1]/[Value2])
31016,장비 합성,장비 합성 <RedBold>[Value]회</> 시도하기 ([Value1]/[Value2])
31017,@31001,에피소드 <RedBold>1-11</> 클리어하기
31018,장비 승급,장비 승급 <RedBold>[Value]회</> 시도하기([Value1]/[Value2])
31019,일일임무,일일 퀘스트 <RedBold>[Value]회</> 완료하기 ([Value1]/[Value2])
31020,@31015,룬 각인 <RedBold>[Value]회</> 각인 성공하기 ([Value1]/[Value2])
31021,@31004,@31004
31101,주간퀘스트 완료,주간퀘스트 <RedBold>[Value]번</> 클리어하기([Value1]/[Value2])
31102,장비 강화,장비 <RedBold>[Value]회</> 강화하기 ([Value1]/[Value2])
31103,@31016,@31016
31104,정예 던전,정예 던전 퀘스트 <RedBold>[Value]개</> 완료하기 ([Value1]/[Value2])
31105,엘프의 유적지 지하 1층 몬스터 처치,엘프의 유적지 지하 1층 몬스터 <RedBold>[Value]개</> 처치하기 ([Value1]/[Value2])
31106,몬스터 코어 획득,몬스터 코어 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2])
31107, 몬스터 코어 등록,몬스터 코어 <RedBold>[Value]개</> 등록하기([Value1]/[Value2])
31108,장비던전 클리어,장비던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2])
31109,오만의 탑,오만의 탑 <RedBold>[Value]층</> 클리어하기 ([Value1]/[Value2])
31110,@31018,@31018
31111,@31001,에피소드 <RedBold>3-5</> 클리어하기
31112,@31105,@31105
31113,@31015,@31020
31114,@31007,@31007
31115,@31109,@31109
31116,채집 던전,채집 던전에서 약초 <RedBold>[Value2]회</> 채집하기 ([Value1]/[Value2])
31117,엘릭서 제작,엘릭서 <RedBold>[Value]회</> 제작하기([Value1]/[Value2])
31118,집혼석 승급,집혼석 승급 <RedBold>[Value]회</> 시도하기([Value1]/[Value2])
31119,@31001,에피소드 <RedBold>4-4</> 클리어하기
31120,레벨 달성,레벨 <RedBold>31</> 달성하기 ([Value1]/[Value2])
31121, 전직 완료,<RedBold>전직 완료</> 하기
31201,@31101,@31101
31202,@31104,@31104
31203,@31019,@31019
31204,요일던전 클리어,요일던전 <RedBold>[Value]번</> 클리어하기 ([Value1]/[Value2])
31205,@31007,@31007
31206,@31013,@31013
31207,@31011,@31011
31208,@31108,@31108
31209,개미굴 지하 1층 몬스터 처치,개미굴 지하 1층 몬스터 <RedBold>[Value]개</> 처치하기 ([Value1]/[Value2])
31210,@31107,@31107
31211,@31002,@31002
31212,@31116,@31116
31213,아데나 던전,아데나 던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2])
31214,@31117,@31117
31215,@31014,@31014
31216,@31005,@31005
31217,@31018,@31018
31218,@31015,@31020
31219,@31209,@31209
31220,@31102,@31102
31221,@31118,@31118
31301,@31120,레벨 <RedBold>50</> 달성하기 ([Value1]/[Value2])
31302,소환석 던전 클리어,소환석 던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2])
31303,탑승펫 장비 장착,탑승펫에게 <RedBold>장비 장착</>시키기 ([Value1]/[Value2])
31304,탑승펫 장비 레벨업,탑승펫 <RedBold>장비 레벨업 [Value]회</> 시도하기 ([Value1]/[Value2])
31305,육성석 사용,탑승펫에게 육성석 <RedBold>[Value]회</> 사용하기 ([Value1]/[Value2])
31306,탑승펫 장비 강화,탑승펫 장비 <RedBold>[Value]회</> 강화하기 ([Value1]/[Value2])
31307,탑승펫 레벨 달성,탑승펫 레벨 <RedBold>[Value]</> 달성하기 ([Value1]/[Value2])
31308,탑승펫 승급,탑승펫 <RedBold>[Value]회</> 승급하기 ([Value1]/[Value2])
31309,@31302,@31302
31310,탑승펫 장비 획득,A등급 이상 탑승펫 장비 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2])
31311,@31304,@31304
31312,@31305,@31305
31313,@31306,@31306
31314,@31307,@31307
31315,@31305,@31305
31316,@31302,@31302
31317,@31310,S등급 이상 탑승펫 장비 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2])
31318,@31304,@31304
31319,@31305,@31305
31320,@31306,@31306
31321,@31310,R등급 이상 탑승펫 장비 <RedBold>[Value]개</> 획득하기 ([Value1]/[Value2])
32001,@31204,@31204
32002,@31014,@31014
32003,@31116,@31116
32004,@31108,@31108
32005,@31213,@31213
32006,경험치 던전,경험치 던전 <RedBold>[Value]회</> 클리어하기 ([Value1]/[Value2])
32007,@31302,@31302
32008,@31019,@31019
32009,@31101,@31101
32010,@31015,@31020
32011,@31002,@31002
32012,@31102,@31102
32013,@31007,@31007
32014,@31117,@31117
32015,@31204,@31204
32016,@31014,@31014
32017,@31116,@31116
32018,@31108,@31108
32019,@31213,@31213
32020,@32006,@32006
32021,@31302,@31302
