Id,ItemName,Desc1,Desc2
4,靈藥精髓選擇箱,使用後可選擇1種靈藥精髓。,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
5,掃蕩券選擇箱,使用時可選擇並獲得掃蕩券中其中一種。,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
10,召喚石碎片箱,使用時可隨機獲得多樣的坐騎召喚石碎片。,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
11,強化卷軸箱,可隨機獲得強化卷軸。,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
12,進階石箱,可隨機獲得進階石。,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
26,경험치,경험치를 획득합니다.,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
27,고급 경험치,대량의 경험치를 획득합니다.,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
30,텔레포트 주문서,텔레포트에 사용됩니다.,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
31,마프르의 가호 조각 5개,조각을 합성하여 마프르의 가호를 획득합니다.,혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
30000103,혈맹 장비 상자 1개,可隨機獲得A-SR級裝備。,
30000104,혈맹 장비 상자 10+1개,可隨機獲得A-SR級裝備。,
30000105,혈맹 강화주문서 상자 1개,@11,
30000106,HP포션 200개,사용 시 HP를 소량 회복합니다.,
30000107,MP포션 200개,사용 시 MP를 소량 회복합니다.,
30000108,정령탄 5000개,무기에 신비한 힘을 부여하여 데미지가 증가합니다.,
30000109,탑승펫 성장 상자 1개,"사용 시 탑승펫 장비(A~SR), 육성석 상자(소~대), 탑승펫 소환석 조각(블랙베어, 샤이닝레이디, 쿠쿠린, 갈기사자) 중 1개를 획득합니다.",
30000110,탑승펫 성장 상자 10+1개,@30000109,
201,增加遺物刻印時間1級,遺物刻印所需時間增加1秒。,
202,增加遺物刻印時間2級,遺物刻印所需時間增加2秒。,
203,增加遺物刻印時間3級,遺物刻印所需時間增加3秒。,
204,增加遺物刻印時間4級,遺物刻印所需時間增加4秒。,
205,增加遺物刻印時間5級,遺物刻印所需時間增加5秒。,
206,增加防禦塔耐久度1級,,
207,增加防禦塔耐久度2級,防禦塔的耐久度增加20000 。,
208,增加防禦塔耐久度3級,防禦塔的耐久度增加30000 。,
209,增加防禦塔耐久度4級,防禦塔的耐久度增加40000 。,
210,增加防禦塔耐久度5級,防禦塔的耐久度增加50000 。,
211,增加陷阱攻擊力1級,"額外增加陷阱的攻擊力1% 。
陷阱能給予敵人最大 HP%的傷害。",
212,增加陷阱攻擊力2級,"額外增加陷阱的攻擊力2% 。
陷阱能給予敵人最大 HP%的傷害。",
213,增加陷阱攻擊力3級,"額外增加陷阱的攻擊力3% 。
陷阱能給予敵人最大 HP%的傷害。",
214,增加陷阱攻擊力4級,"額外增加陷阱的攻擊力4% 。
陷阱能給予敵人最大 HP%的傷害。",
215,增加陷阱攻擊力5級,"額外增加陷阱的攻擊力5% 。
陷阱能給予敵人最大 HP%的傷害。",
301,藥水效率增加效果,"血盟可獲得1小時的盟主增益效果。
增加HP、MP藥水的效率20% (攻城戰、要塞戰除外)",
302,打獵經驗值/核心獲得增加效果,"血盟可獲得1小時的盟主增益效果。
消滅怪物時獲得的經驗值、怪物核心的機率增加20%",혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
303,打獵金幣/道具獲得增加效果,"血盟可獲得1小時的盟主增益效果。
消滅怪物時獲得的金幣、道具機率增加20%",혈맹 레벨 {RequiredGuildLevel} 달성 시 구매 가능
158,HP靈藥精髓1個,製作HP靈藥所需的紅色精髓。,"C등급 이상 요새
점령 시 구매 가능"
159,MP靈藥精髓1個,製作MP靈藥所需的藍色精髓。,@158
160,攻擊力靈藥精髓1個,製作攻擊力靈藥所需的紫色精髓。,@158
161,防禦力靈藥精髓1個,製作防禦力靈藥時需要的黃色精髓。,@158
165,武器進階石1個,武器進階至下一個階級時使用。,@158
166,防具進階石1個,用於進階防具至下個階級。,@158
401,혈맹 망토 염색약 : 하급,혈맹 망토의 색을 변경할 때 필요한 아이템 입니다.,"요새 점령 시 
구매 가능"
402,혈맹 망토 염색약 : 중급,@401,"A등급 이상 요새 
점령 시 구매 가능"
404,혈맹 망토 문장 염색약 : 하급,혈맹 망토 문장의 색을 변경할 때 필요한 아이템 입니다.,@401
405,혈맹 망토 문장 염색약 : 중급,@404,@402
810000001,아데나 입수 버프 혈맹 물약 Lv.5,1시간 동안 아데나 획득량이 50% 증가합니다. (필드 사냥시에만 적용),@158
810000002,낡은 유물함,"낡은 유물입니다.
아지트의 유물 관리인에게 감정을 맡기면 보상을 획득할 수 있습니다.",@158
810000003,코어 드랍 버프 혈맹 물약 Lv.5,"사용시 몬스터 코어 드랍율이 50% 만큼 증가합니다.
효과는 1시간 동안 지속됩니다.","B등급 이상 요새
점령 시 구매 가능"
810000004,馬夫勒的庇佑,裝備強化失敗時，不會減少強化值。,"A등급 이상 요새
점령 시 구매 가능"
810000005,祝福的強化卷軸箱,隨機獲得祝福的強化卷軸,@810000003
810000006,S級特性之石,使用後可強化裝備特性的道具。,@810000003
810000007,R級特性之石,使用後可強化裝備特性的道具。,@810000004
