ID,SkillName,SkillDesc
1,목표 포착,"자신 주변의 대상 중 한명을 <YellowBold>표적</>으로 지목합니다.
이 기술은 매우 빠르기 때문에
범위 안에 있는 이상 피할 수 없습니다.

대상은 <YellowBold>기절</> 상태가 되어 움직일 수 없게 됩니다."
2,도끼 던지기,"표적에게 도끼를 던져 <YellowBold>고정 피해</>를 줍니다.
도끼 던지기를 맞는 인원 수에 따라
그 <YellowBold>피해량이 분산</>됩니다.
도끼 던지기를 맞은 대상은 <YellowBold>불씨</>가 붙습니다.

<YellowBold>불씨</>는 일정 시간 후 폭발해
걸린 대상을 <YellowBold>넉다운</>시키며 피해를 줍니다.
또한, 피해를 입은 대상의 발밑에
<YellowBold>화염</>을 생성해 추가 피해를 줍니다."
3,대지 파열,<YellowBold>전방 범위</>내 모든 대상에게 피해를 줍니다.
4,광기의 검,"전방 부채꼴 범위내 모든 대상에게 피해를 주며,
피격된 대상은 <YellowBold>발화</> 상태에 걸립니다.

<YellowBold>발화</> 상태에 걸린 대상은
<RedBold>파아그리오의 불씨</>가 <YellowBold>대폭발</>할 때
<YellowBold>발화 1중첩 당 추가 피해</>를 받습니다.
발화는 최대 5회까지 누적됩니다."
5,파멸,"<RedBold>라모그</>가 중앙으로 이동 후,
<YellowBold>자신 주변 270도</>의 범위에 피해를 줍니다.
이 기술은 한번 시전되면 총 <YellowBold>4회 연속 발동</>되며,
발동할 때마다 그 방향이 변경됩니다.
파멸을 맞은 대상은 <YellowBold>발화</> 상태에 걸립니다.

<YellowBold>발화</> 상태에 걸린 대상은
<RedBold>파아그리오의 불씨</>가 <YellowBold>대폭발</>할 때
<YellowBold>발화 1중첩 당 추가 피해</>를 받습니다.
발화는 최대 5회까지 누적됩니다."
6,폭발 준비,"<RedBold>라모그</>가 중앙으로 이동 후,
<RedBold>파아그리오의 불씨</>를 소환합니다.

소환된 <RedBold>파아그리오의 불씨</>는 <RedBold>라모그</>를 향해
전진하며, <RedBold>라모그</>와 접촉하는 순간 대폭발해
화면 전체에 막대한 피해를 줍니다.

또한, <YellowBold>발화</> 상태에 걸린 대상에게
<YellowBold>발화 상태 수만큼 추가 피해</>를 줍니다."
7,@1,@1
8,@2,@2
9,@3,@3
10,@4,@4
11,@5,@5
12,@6,@6
13,@1,@1
14,@2,"표적에게 도끼를 던져 <YellowBold>고정 피해</>를 줍니다.
도끼 던지기를 맞는 인원 수에 따라
그 <YellowBold>피해량이 분산</>됩니다.
도끼 던지기를 맞은 대상은 <YellowBold>불씨</>가 붙습니다.

<YellowBold>불씨</>는 일정 시간 후 폭발해
걸린 대상을 <YellowBold>넉다운</>시키며 피해를 줍니다.
또한, 피해를 입은 대상의 발밑에
<YellowBold>화염</>을 생성해 추가 피해를 줍니다.

<YellowBold>- 일정 확률로 2회 연속 도끼 던지기를</>
<YellowBold>사용합니다.</>"
15,@3,@3
16,@4,@4
