Id,ActName,ChapterName
1,1.說話之島東部,英雄的誕生
2,@1,顯露出的黑暗
3,@1,第一個結界
4,@1,尼亞的好友
5,@1,組成獸人討伐隊！
6,@1,初次登場
7,@1,熱情的新手
8,@1,精靈的花冠
9,@1,無法相信的事
10,@1,第二個結界
11,@1,消失的尼亞
12,2.說話之島西部,考古團的痕跡
13,@12,展開搜索作戰
14,@12,無血無淚
15,@12,追蹤去向
16,@12,第三個結界
17,@12,不能錯過
18,@12,那位
19,3.古魯丁街道,緊急狀況！
20,@19,反擊作戰！
21,@19,可疑的案件調查
22,@19,發現線索！
23,@19,寂寞的女人
24,@19,悲劇
25,@19,掃蕩綁架犯！
26,@19,熟悉的面孔
27,@19,貪心鬼
28,@19,打一巴掌再給糖吃
29,4.古魯丁平原,順便賺錢
30,@29,遭到襲擊的村莊
31,@29,脫逃！
32,@29,危機的第2小隊
33,@29,分裂
34,@29,熟悉的物品
35,@29,那就對了！
36,@29,可預見的結果
37,@29,沒時間了！
38,@29,古魯丁的英雄
39,5.溫達伍德莊園,失蹤的士兵們
40,@39,救援作戰
41,@39,再次集結
42,@39,廢墟的決戰
43,@39,水晶爭奪戰
44,@39,謎樣的男子
45,@39,古代的惡魔
46,@39,溫達伍德復仇戰
47,@39,升起反擊的信號吧
48,@39,決戰
49,6.荒原,象牙塔魔法師
50,@49,貧困的魔法師
51,@49,揭開真相吧
52,@49,史坦瑞斯
53,@49,等待死去的他們
54,@49,特殊的行商人們
55,@49,轉折點
56,@49,豺狼紛爭
57,@49,鎮壓叛亂
58,@49,各自的苦衷
59,7.狄恩牧草地,獸人的襲擊
60,@59,可疑的信
61,@59,蜥蜴人侵略
62,@59,失去記憶的少女
63,@59,往安全的地方
64,@59,找到艾利
65,@59,混亂的原因
66,@59,狄恩士兵們的鬥爭
67,@59,黑暗團體覬覦的東西
68,8.克魯瑪沼澤,擴散的蜘蛛們
69,@68,令人高興的面孔
70,@68,沼澤的黑暗團體
71,@68,背信棄義！
72,@68,遭到襲擊的研究員們
73,@68,找到鑰匙
74,@68,往克魯瑪高塔
75,@68,陷阱
76,@68,可疑的貓
77,9.鬥爭的山峰,森林的獵人
78,@77,不速之客
79,@77,去塔諾族長那邊
80,@77,@78
81,@77,光榮的塔諾
82,@77,正式作戰
83,@77,公敵
84,@77,黑暗內的背後
85,10. 吶喊之地,為了離去的人們
86,@85,無限挑戰
87,@85,熟悉的臉孔
88,@85,不能存在的物品
89,@85,醞釀的死亡
90,@85,無情的陷阱
91,@85,契約
92,@85,重新沈睡吧
93,@85,繼續做生意
94,11. 奇岩自治區,生意是從銷售開始
95,@94,貓的報恩
96,@94,尋找哥哥I
97,@94,尋找哥哥II
98,@94,哥肯的女王
99,@94,潘朵拉的盒子
100,@94,被封印的過去
101,@94,隱蔽
102,@94,消失的使節團
103,@94,救出使節團
104,12. 死亡之霧海岸,潘的報酬
105,@104,消失的運輸團
106,@104,破解真實
107,@104,求實派逃亡者
108,@104,重新裝備
109,@104,外送物品
110,@104,克諾西斯的痕跡
111,@104,永遠的睡眠
112,@104,研究將會持續下去
113,@104,暗黑的港口
114,@104,復活的海賊團
115,13. 惡魔島,先遣隊的去向
116,@115,異常行動
117,@115,回來的地方
118,@115,悲劇I
119,@115,海賊團的過去
120,@115,佛雷德利克的憤怒I
121,@115,悲劇II
122,@115,佛雷德利克的憤怒II
123,@115,悲報
124,14. 死亡小徑,解救歐瑞使節團
125,@124,還不能死!
126,@124,守護之樹
127,@124,過去的幽靈
128,@124,死去的回憶
129,@124,傳遞給未來的訊息
130,@124,潘是潘
131,@124,監視者們
132,@124,靈魂之劍
133,@124,希望浮現
